problem,seed,seed_hex,source_seed,baseline,candidate,baseline_status,candidate_status,baseline_time_per_source,candidate_time_per_source,time_delta_s_per_source,comparison,actual_polygon_clear_travel_delta_m,candidate_same_state_counterfactual_saving_m,whole_run_distance_delta_m,baseline_valid_full_clear,baseline_invalid_evidence,baseline_total,baseline_cleared,baseline_virtual_time_s,baseline_distance,baseline_polygon_clear_travel_m,baseline_same_state_clear_saving_m,baseline_polygon_certified_count,baseline_near_certified_count,baseline_polygon_zero_move_count,baseline_nccp_fallback_count,baseline_current_position_certified_count,baseline_current_position_certified_case_count,baseline_zero_move_clear_count,baseline_zero_move_clear_case_count,baseline_minimum_same_state_saving_m,candidate_valid_full_clear,candidate_invalid_evidence,candidate_total,candidate_cleared,candidate_virtual_time_s,candidate_distance,candidate_polygon_clear_travel_m,candidate_same_state_clear_saving_m,candidate_polygon_certified_count,candidate_near_certified_count,candidate_polygon_zero_move_count,candidate_nccp_fallback_count,candidate_current_position_certified_count,candidate_current_position_certified_case_count,candidate_zero_move_clear_count,candidate_zero_move_clear_case_count,candidate_minimum_same_state_saving_m
3,30,0000000000000000000000000000000040000000000000000000000000000000,132,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,338.3426720909091,335.69753372727274,-2.645138363636363,win,234.51309147936252,137.44316558973307,-145.48261969925443,True,False,11,11,3721.769393,15068.846980687269,495.156237850513,0.0,11,0,0,0,0,0,0,0,0.0,True,False,11,11,3692.672871,14923.364360988015,729.6693293298755,137.44316558973307,11,0,0,0,0,0,0,0,5.624631748391096
3,31,0000000000000000000000000000001000000000000000000000000000000000,138,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,299.00917592857144,297.4151987857143,-1.5939771428571134,win,-128.53890714936506,126.85755157358648,-111.5783761404673,True,False,14,14,4186.128463,16940.642304239715,3234.841794856641,0.0,13,0,0,0,0,0,0,0,0.0,True,False,14,14,4163.812783,16829.063928099247,3106.302887707276,126.85755157358648,13,0,0,0,0,0,0,0,0.5902334912594256
3,32,0000000000000000000000000000040000000000000000000000000000000000,144,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,312.6564291428571,311.0678628571428,-1.5885662857143075,win,-111.33750229911493,117.83638842893737,-111.19962906337241,True,False,14,14,4377.190008,18765.950028115494,2621.9811057676475,0.0,14,0,0,0,0,0,0,0,0.0,True,False,14,14,4354.95008,18654.75039905212,2510.6436034685325,117.83638842893737,14,0,0,0,0,0,0,0,1.9604316481554065
3,33,0000000000000000000000000001000000000000000000000000000000000000,150,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,489.81517840000004,490.15774880000004,0.3425703999999996,loss,-115.03703494677211,141.11539318395154,25.692785628274578,True,False,15,15,7347.227676,28991.13833550704,2460.2339619674854,0.0,14,0,0,0,0,0,0,0,0.0,True,False,15,15,7352.366232,29016.831121135314,2345.1969270207132,141.11539318395154,14,0,0,0,0,0,0,0,0.3100562091839265
3,34,0000000000000000000000000040000000000000000000000000000000000000,156,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,327.9853194285714,325.3573772857143,-2.627942142857137,win,-265.0083822772209,171.1361209064742,-183.95594110672755,True,False,14,14,4591.794472,19318.972358505478,860.81730800482,0.0,14,0,0,0,0,0,0,0,0.0,True,False,14,14,4555.003282,19135.01641739875,595.8089257275991,171.1361209064742,14,0,0,0,0,0,0,0,4.808115516654254
3,35,0000000000000000000000001000000000000000000000000000000000000000,162,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,407.01245827272726,406.1939987272727,-0.8184595454545729,win,-113.73193697559714,116.40723075230194,-45.015262045064446,True,False,11,11,4477.137041,18975.685195009988,1886.7950866991746,0.0,11,0,0,0,0,0,0,0,0.0,True,False,11,11,4468.133986,18930.669932964924,1773.0631497235775,116.40723075230194,11,0,0,0,0,0,0,0,2.1396495750642543
3,36,0000000000000000000000040000000000000000000000000000000000000000,168,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,354.75100636363635,352.20869536363637,-2.542310999999984,win,-126.35262296184646,124.44789260880093,-139.82709749616333,True,False,11,11,3902.26107,15646.305341341445,1328.9524126751212,0.0,11,0,0,0,0,0,0,0,0.0,True,False,11,11,3874.295649,15506.478243845282,1202.5997897132747,124.44789260880093,11,0,0,0,0,0,0,0,3.2935145379678374
3,37,0000000000000000000001000000000000000000000000000000000000000000,174,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,283.9517661333333,282.29326953333333,-1.6584965999999781,win,-506.0026690001964,125.8830285408284,-124.38724865151016,True,False,15,15,4259.276492,17996.38246005553,2374.798093694252,0.0,15,0,0,0,0,0,0,0,0.0,True,False,15,15,4234.399043,17871.99521140402,1868.7954246940558,125.8830285408284,14,1,0,0,0,0,1,1,0.1823116248180554
3,38,0000000000000000000040000000000000000000000000000000000000000000,180,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,379.30505750000003,378.1899722,-1.1150853000000325,win,-97.45424049996745,102.33139046816723,-55.75426910101851,True,False,10,10,3793.050575,15575.252881361988,1441.8948972146004,0.0,10,0,0,0,0,0,0,0,0.0,True,False,10,10,3781.899722,15519.49861226097,1344.440656714633,102.33139046816723,10,0,0,0,0,0,0,0,2.602835565949192
3,39,0000000000000000001000000000000000000000000000000000000000000000,186,P3_current_grid_v1,P3_current_grid_v1_nccp,FULL_CLEAR,FULL_CLEAR,306.1532107142857,304.51406828571425,-1.6391424285714606,win,-133.76800237020962,134.2463230489216,-114.73996778897708,True,False,14,14,4286.14495,17810.724743215804,2067.6048671640588,0.0,14,0,0,0,0,0,0,0,0.0,True,False,14,14,4263.196956,17695.984775426827,1933.8368647938491,134.2463230489216,14,0,0,0,0,0,0,0,3.4997881768857724
