seed,seed_hex,stress,problem,variant,run_status,engine_end_reason,total,cleared,clear_rate,error,mean_time_per_source,virtual_time_s,distance,runtime,device,fallback_count,grid_points,clear_attempts,optical_clear_attempts,diagnostic_count,detect_count,switch_count,config_hash,scene_hash,source_hash,directional_count,evidence,grid_version,stage_discovery_s,stage_active_localization_s,stage_diagnostic_s,stage_optical_fallback_s,stage_certified_clear_s,stage_sum_error_s
201,0000000000000008000000000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,16,16,1.0,,259.62868275,4154.058924,17100.29462082252,0.56392120000055,cpu,0,0,16,0,0,110,104,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,2e05e22b14c1defc62d85e5474bd891b4e8232d70584a9de3f5064933870c8e6,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1722.2692370000002,1632.7130669999992,0.0,0.0,799.0766200000005,0.0
202,0000000000000010000000000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,10,10,1.0,,371.5856552,3715.856552,14924.282753029198,0.6244335999999748,cpu,0,0,10,0,0,115,106,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,95a1f4233fcacc7d5252cee81c9a257615e16f076ef9a87de3d31029efcdcf98,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,2039.3971800000004,1437.5770930000003,0.0,0.0,238.88227899999958,0.0
203,0000000000000020000000000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,16,16,1.0,,313.1134400625,5009.815041,21864.075196959886,0.884297599999627,cpu,0,0,16,0,0,95,82,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,27be58f1ce2f5f0e3e95eb83cef9027680b0b705658a0e166b8e13167ef09a76,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,2031.8086239999993,2682.327628,0.0,0.0,295.67878900000045,0.0
204,0000000000000040000000000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,14,14,1.0,,280.77679792857145,3930.875171,16584.375854774593,0.6177403000001505,cpu,0,0,14,0,0,92,84,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,041d1660f92b7237a3ff3eed2f9cfa2b786cb5f42c569f926872b007039494d8,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1832.7055129999997,1479.4058959999998,0.0,0.0,618.7637620000007,4.547473508864641e-13
205,0000000000000080000000000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,11,11,1.0,,306.6737503636364,3373.411254,12807.056282082047,0.4944556999998895,cpu,0,0,11,0,0,127,122,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,d4a40fdaac7e71889503724d38ed6130de94c17a99e76fe195a1df4964de246c,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1426.1777889999998,1500.3294430000008,0.0,0.0,446.90402199999926,0.0
206,0000000000000100000000000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,13,13,1.0,,301.94673061538464,3925.307498,16156.537482892893,0.6466459000002942,cpu,0,0,13,0,0,106,99,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,769e8f6eb52426c9904fdf96befad6293ee687f2d30c0e3525d2200c3ca47bb5,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1969.549536,1406.5785000000003,0.0,0.0,549.1794619999996,4.547473508864641e-13
207,0000000000000200000000000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,12,12,1.0,,332.70709958333333,3992.485195,15977.425969753816,0.4753739999996469,cpu,1,24,20,9,0,120,113,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,0cb2407d05e696880fb8504ad2eb7f6f265cea442c906192078a6981a07bbe87,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1745.6970849999998,984.0893359999999,0.0,577.3227689999999,685.3760050000005,0.0
208,0000000000000400000000000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,12,12,1.0,,309.0053311666667,3708.063974,14760.3198770945,0.6819575999998051,cpu,1,20,18,7,0,114,108,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,2b811814059e5963416127d01986dcb5fb312e5313aee2813b9353970ea9486e,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1171.0592419999994,1887.8053440000008,0.0,384.1999300000002,264.99945799999983,0.0
209,0000000000000800000000000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,14,14,1.0,,315.1985738571429,4412.780034,18043.90016351762,0.7672364999998535,cpu,1,12,15,2,0,123,116,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,8776a5cbd718260b618afe02be4b82e48a632b2de4012c09ed7c30b419043c3f,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1843.6382449999999,1941.761221999999,0.0,114.7011250000005,512.679442000001,0.0
210,0000000000001000000000000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,15,15,1.0,,283.3009533333333,4249.5143,17707.571490409187,0.7992565000004106,cpu,0,0,15,0,0,107,98,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,e636a6832c3725dd817798d24f7aeb5b9f6fb641524ec0c903b37818156b32c5,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1730.487889,2028.1566380000002,0.0,0.0,490.8697729999997,0.0
