N,cohort,comparison,delta_detection_s,delta_failed_clear_s,delta_movement_s,delta_s_per_source,delta_switch_s,delta_total_s,directional_count,family,id,strict_mixed
15,evaluation,B-A,0,0,0.0,0.0,0,0.0,15,practice-gen-v1,43,False
15,evaluation,C-B,-50,0,-851.1148781534241,-60.07432519999986,0,-901.1148779999985,15,practice-gen-v1,43,False
15,evaluation,C-A,-50,0,-851.1148781534241,-60.07432519999986,0,-901.1148779999985,15,practice-gen-v1,43,False
10,evaluation,B-A,0,0,0.0,0.0,0,0.0,6,practice-gen-v1,44,True
10,evaluation,C-B,-295,0,-1367.8326241943694,-171.28326230000016,-50,-1712.8326230000002,6,practice-gen-v1,44,True
10,evaluation,C-A,-295,0,-1367.8326241943694,-171.28326230000016,-50,-1712.8326230000002,6,practice-gen-v1,44,True
15,evaluation,B-A,0,0,0.0,0.0,0,0.0,6,practice-gen-v1,45,True
15,evaluation,C-B,-225,0,-928.7939049119159,-79.38626019999992,-37,-1190.7939029999998,6,practice-gen-v1,45,True
15,evaluation,C-A,-225,0,-928.7939049119159,-79.38626019999992,-37,-1190.7939029999998,6,practice-gen-v1,45,True
10,evaluation,B-A,0,0,0.0,0.0,0,0.0,7,practice-gen-v1,46,True
10,evaluation,C-B,-795,0,-1626.9909157581715,-257.4990913999999,-153,-2574.990914,7,practice-gen-v1,46,True
10,evaluation,C-A,-795,0,-1626.9909157581715,-257.4990913999999,-153,-2574.990914,7,practice-gen-v1,46,True
13,evaluation,B-A,0,0,0.0,0.0,0,0.0,5,practice-gen-v1,47,True
13,evaluation,C-B,-580,0,-429.83541192413105,-86.14118569230766,-110,-1119.8354139999992,5,practice-gen-v1,47,True
13,evaluation,C-A,-580,0,-429.83541192413105,-86.14118569230766,-110,-1119.8354139999992,5,practice-gen-v1,47,True
15,evaluation,B-A,0,0,0.0,0.0,0,0.0,2,practice-gen-v1,48,True
15,evaluation,C-B,-95,0,-931.725477765812,-69.24836493333328,-12,-1038.725473999999,2,practice-gen-v1,48,True
15,evaluation,C-A,-95,0,-931.725477765812,-69.24836493333328,-12,-1038.725473999999,2,practice-gen-v1,48,True
15,evaluation,B-A,0,0,0.0,0.0,0,0.0,8,practice-gen-v1,49,True
15,evaluation,C-B,-205,0,-1041.5880664593583,-85.10587113333338,-30,-1276.5880670000006,8,practice-gen-v1,49,True
15,evaluation,C-A,-205,0,-1041.5880664593583,-85.10587113333338,-30,-1276.5880670000006,8,practice-gen-v1,49,True
14,evaluation,B-A,0,0,0.0,0.0,0,0.0,2,practice-gen-v1,50,True
14,evaluation,C-B,-105,0,-791.377622513118,-64.74125878571431,-10,-906.3776230000003,2,practice-gen-v1,50,True
14,evaluation,C-A,-105,0,-791.377622513118,-64.74125878571431,-10,-906.3776230000003,2,practice-gen-v1,50,True
10,evaluation,B-A,0,0,0.0,0.0,0,0.0,10,practice-gen-v1,51,False
10,evaluation,C-B,-535,0,-1396.4497203496358,-203.24497239999994,-101,-2032.449724,10,practice-gen-v1,51,False
10,evaluation,C-A,-535,0,-1396.4497203496358,-203.24497239999994,-101,-2032.449724,10,practice-gen-v1,51,False
12,evaluation,B-A,0,0,0.0,0.0,0,0.0,3,practice-gen-v1,52,True
12,evaluation,C-B,-900,0,-946.2691050192109,-168.35575841666673,-174,-2020.2691009999999,3,practice-gen-v1,52,True
12,evaluation,C-A,-900,0,-946.2691050192109,-168.35575841666673,-174,-2020.2691009999999,3,practice-gen-v1,52,True
11,evaluation,B-A,0,0,0.0,0.0,0,0.0,1,practice-gen-v1,53,True
11,evaluation,C-B,-245,0,-896.2869114362693,-107.75335527272728,-44,-1185.286908,1,practice-gen-v1,53,True
11,evaluation,C-A,-245,0,-896.2869114362693,-107.75335527272728,-44,-1185.286908,1,practice-gen-v1,53,True
13,evaluation,B-A,0,0,0.0,0.0,0,0.0,3,practice-gen-v1,54,True
13,evaluation,C-B,-645,0,-1427.3052322301228,-168.56194092307703,-119,-2191.3052320000006,3,practice-gen-v1,54,True
13,evaluation,C-A,-645,0,-1427.3052322301228,-168.56194092307703,-119,-2191.3052320000006,3,practice-gen-v1,54,True
11,evaluation,B-A,0,0,0.0,0.0,0,0.0,11,practice-gen-v1,55,False
11,evaluation,C-B,-615,0,-1177.9888998237068,-173.0898995454546,-111,-1903.9888950000004,11,practice-gen-v1,55,False
11,evaluation,C-A,-615,0,-1177.9888998237068,-173.0898995454546,-111,-1903.9888950000004,11,practice-gen-v1,55,False
11,evaluation,B-A,0,0,0.0,0.0,0,0.0,11,practice-gen-v1,56,False
11,evaluation,C-B,-470,0,-874.5665796561705,-129.96059818181823,-85,-1429.5665800000006,11,practice-gen-v1,56,False
11,evaluation,C-A,-470,0,-874.5665796561705,-129.96059818181823,-85,-1429.5665800000006,11,practice-gen-v1,56,False
13,evaluation,B-A,0,0,0.0,0.0,0,0.0,8,practice-gen-v1,57,True
13,evaluation,C-B,-305,0,-1033.347900268111,-107.25753130769237,-56,-1394.3479070000012,8,practice-gen-v1,57,True
13,evaluation,C-A,-305,0,-1033.347900268111,-107.25753130769237,-56,-1394.3479070000012,8,practice-gen-v1,57,True
15,evaluation,B-A,0,0,0.0,0.0,0,0.0,10,practice-gen-v1,58,True
15,evaluation,C-B,260,3,-648.0088252774324,-21.40058833333319,64,-321.008824999999,10,practice-gen-v1,58,True
15,evaluation,C-A,260,3,-648.0088252774324,-21.40058833333319,64,-321.008824999999,10,practice-gen-v1,58,True
13,evaluation,B-A,0,0,0.0,0.0,0,0.0,2,practice-gen-v1,59,True
13,evaluation,C-B,-185,0,-693.1192017970563,-69.7014768461537,-28,-906.1191989999988,2,practice-gen-v1,59,True
13,evaluation,C-A,-185,0,-693.1192017970563,-69.7014768461537,-28,-906.1191989999988,2,practice-gen-v1,59,True
16,evaluation,B-A,-280,0,-2292.7966626420994,-163.4247914375,-42,-2614.796663,5,practice-gen-v1,60,True
16,evaluation,C-B,15,0,141.83012613109022,9.989382999999975,3,159.8301279999996,5,practice-gen-v1,60,True
16,evaluation,C-A,-265,0,-2150.9665365110095,-153.43540843750003,-39,-2454.9665350000005,5,practice-gen-v1,60,True
12,evaluation,B-A,0,0,0.0,0.0,0,0.0,2,practice-gen-v1,61,True
12,evaluation,C-B,-475,0,-709.8125505485921,-105.90104550000012,-86,-1270.812546000001,2,practice-gen-v1,61,True
12,evaluation,C-A,-475,0,-709.8125505485921,-105.90104550000012,-86,-1270.812546000001,2,practice-gen-v1,61,True
10,evaluation,B-A,0,0,0.0,0.0,0,0.0,10,practice-gen-v1,62,False
10,evaluation,C-B,-760,0,-809.1184012923513,-171.71184019999998,-148,-1717.118402,10,practice-gen-v1,62,False
10,evaluation,C-A,-760,0,-809.1184012923513,-171.71184019999998,-148,-1717.118402,10,practice-gen-v1,62,False
14,evaluation,B-A,0,0,0.0,0.0,0,0.0,11,practice-gen-v1,63,True
