index,stage,path,channel,x,y,travel_m,travel_s,switch_s,measure_s,clear_s,total_s,result
198,discovery,/measure,15,-2100.0,-700.0,0.0,0.0,1,5,0,6.0,no_signal
199,discovery,/measure,16,-2100.0,-700.0,0.0,0.0,1,5,0,6.0,no_signal
200,discovery,/measure,17,-2100.0,-700.0,0.0,0.0,1,5,0,6.0,no_signal
201,discovery,/measure,18,-2100.0,-700.0,0.0,0.0,1,5,0,6.0,no_signal
202,discovery,/measure,19,-2100.0,-700.0,0.0,0.0,1,5,0,6.0,no_signal
203,discovery,/measure,19,-2100.0,0.0,700.0,140.0,0,5,0,145.0,direction
204,discovery,/measure,1,-2100.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
205,discovery,/measure,2,-2100.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
206,discovery,/measure,3,-2100.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
207,discovery,/measure,4,-2100.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
208,discovery,/measure,5,-2100.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
209,discovery,/measure,6,-2100.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
210,discovery,/measure,7,-2100.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
211,discovery,/measure,9,-2100.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
212,discovery,/measure,10,-2100.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
213,discovery,/measure,11,-2100.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
214,discovery,/measure,12,-2100.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
215,discovery,/measure,13,-2100.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
216,discovery,/measure,14,-2100.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
217,discovery,/measure,15,-2100.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
218,discovery,/measure,16,-2100.0,0.0,0.0,0.0,1,5,0,6.0,direction
219,discovery,/measure,17,-2100.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
220,discovery,/measure,18,-2100.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
221,discovery,/measure,20,-2100.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
222,discovery,/measure,20,-1400.0,0.0,700.0,140.0,0,5,0,145.0,no_signal
223,discovery,/measure,1,-1400.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
224,discovery,/measure,2,-1400.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
225,discovery,/measure,3,-1400.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
226,discovery,/measure,4,-1400.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
227,discovery,/measure,5,-1400.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
228,discovery,/measure,6,-1400.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
229,discovery,/measure,7,-1400.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
230,discovery,/measure,9,-1400.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
231,discovery,/measure,10,-1400.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
232,discovery,/measure,11,-1400.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
233,discovery,/measure,12,-1400.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
234,discovery,/measure,13,-1400.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
235,discovery,/measure,14,-1400.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
236,discovery,/measure,15,-1400.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
237,discovery,/measure,16,-1400.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
238,discovery,/measure,17,-1400.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
