index,x,y,D_old_m,J_old_m,T_s,continuous_LB_m,continuous_UB_m,gap_m,J_LB_m,J_UB_m,converged,splits,coarse_max_outer_D_m,fine_max_outer_D_m,fine_minus_coarse_m,coarse_scenarios,fine_scenarios,coarse_near_scenarios,fine_near_scenarios,near_boundary_scenarios,near_boundary_near_scenarios,near_boundary_max_outer_D_m,near_outer_upper_m,all_branch_outer_upper_m,R_at_sampled_D_argmax_m,sampled_D_argmax_report_deg,clip_max_residual_m,calipers_max_difference_m,nesting_residual_m,cached_wedge_evaluations,wedge_evaluations,near_disk_intersections,posterior_evaluations,runtime_s
97,809.519052838329,97.87187078897955,170.71756964081422,204.33412985184813,168.0828010551695,170.7168373521,170.72629674509173,0.009459392991743698,204.3333975631339,204.34285695612564,True,39,170.3716337480349,170.51724415301987,0.14561040498497846,765,5049,0,0,0,0,0.0,0.0,170.72629674509173,85.35841868605006,55.74859619140625,3.410605131648481e-13,0.40508709608599247,2.2737367544323206e-13,4180,4196,1,4197,0.42943440000817645
98,789.519052838329,132.5128869403571,186.4318805882232,219.45437268362392,165.11246047700348,186.43037460271674,186.43789786193537,0.007523259218629619,219.45286669811745,219.46038995733608,True,36,186.36111058899988,186.36111058899988,0.0,765,5049,0,0,0,0,0.0,0.0,186.43789786193537,93.2151873113584,53.1829833984375,3.410605131648481e-13,0.3578439590696405,3.410605131648481e-13,4208,4224,1,4225,0.45284369999717455
99,769.519052838329,167.15390309173466,206.77386599898193,239.272437395158,162.49285698088025,206.77266668763315,206.78062344566655,0.007956758033401456,239.2712380838092,239.2791948418426,True,32,206.7721574488855,206.7721574488855,0.0,765,5049,0,0,0,0,0.0,0.0,206.78062344566655,103.38633335381665,50.52001953125,3.268496584496461e-13,0.30743634317144597,3.410605131648481e-13,3950,3966,1,3967,0.44289910000225063
100,749.519052838329,201.7949192431122,233.85317997277662,265.90152936529665,160.24174696260025,233.85097861713095,233.85944659864194,0.008467981510989375,265.899328009651,265.907795991162,True,30,233.5623026548943,233.77968173786343,0.21737908296913133,765,5049,0,0,0,0,0.0,0.0,233.85944659864194,116.92548931856547,47.7667236328125,3.126388037344441e-13,0.2540424471595202,4.831690603168681e-13,4031,4047,1,4048,0.45944809999491554
101,729.519052838329,236.43593539448975,271.2723398996033,302.94741121166385,158.37535656030275,271.27175553479907,271.27743297903424,0.005677444235175244,302.9468268468596,302.9525042910948,True,27,271.0070108117756,271.2378942184259,0.23088340665026408,765,5049,0,0,0,0,0.0,0.0,271.27743297903424,135.63587777739963,44.931182861328125,2.8421709430404007e-13,0.19792347664338195,4.547473508864641e-13,4018,4034,1,4035,0.40306389999750536
102,709.519052838329,271.0769515458673,325.7317060319035,357.1132793947167,156.90786681406595,325.72678381825455,325.7363314907473,0.009547672492772108,357.10835718106773,357.1179048535605,True,24,325.48144776477113,325.48144776477113,0.0,765,5049,0,0,0,0,0.0,0.0,325.7363314907473,162.8633919191274,42.0245361328125,2.913225216616411e-13,0.1394254758331499,5.684341886080801e-13,3900,3916,1,3917,0.39711049999459647
103,689.519052838329,305.71796769724483,411.27419492920586,442.4443788862188,155.8509197850646,411.27391285332914,411.28349013715757,0.009577283828434702,442.44409681034205,442.4536740941705,True,20,411.20968529944207,411.20968529944207,0.0,765,5049,0,0,0,0,0.0,0.0,411.28349013715757,205.63695643666466,39.05914306640625,2.824407374646398e-13,0.07897585884239788,7.389644451905042e-13,3520,3536,1,3537,0.3635355000005802
104,669.519052838329,340.3589838486224,563.1479198483878,594.1905562173885,155.21318184500322,563.1470676870706,563.1543076092131,0.007239922142503019,594.1897040560713,594.1969439782138,True,15,562.9141737124867,563.1219631720206,0.20778945953395578,765,5049,0,0,0,0,0.0,0.0,563.1543076092131,281.5735338535353,36.0498046875,2.8421709430404007e-13,0.01707398181872577,6.821210263296962e-13,2918,2934,1,2935,0.3319335999985924
105,649.519052838329,374.99999999999994,752.0095195258065,783.0095195258065,155.0,752.0095195258048,752.0095195258064,1.5916157281026244e-12,783.0095195258048,783.0095195258064,True,0,752.0095195258084,752.0095195258091,6.821210263296962e-13,765,5049,15,45,25,16,58.522496647314576,10.0,752.0095195258064,376.0047597729024,32.5,6.5137069041777164e-12,0.0,0.0,2047,2063,1,2064,0.25463129999116063
106,629.519052838329,409.64101615137747,561.7973805399738,592.8400169089745,155.21318184500322,561.7948363742262,561.8020615262661,0.007225152039950444,592.8374727432268,592.8446978952668,True,13,561.3666616958976,561.6041856711282,0.23752397523060154,765,5049,0,0,0,0,0.0,0.0,561.8020615262661,280.8974181971131,23.94195556640625,2.8066438062523957e-13,0.0,0.0,2910,2926,1,2927,0.33536450000246987
107,609.519052838329,444.28203230275506,410.18181602370623,441.35199998071914,155.8509197850646,410.1800567053781,410.189609266286,0.009552560907934549,441.350240662391,441.35979322329894,True,15,409.7573943103945,410.0708916378589,0.31349732746440395,765,5049,0,0,0,0,0.0,0.0,410.189609266286,205.09002836268917,20.926513671875,1.3242628743417956e-12,0.0,0.0,3500,3516,1,3517,0.35632940000505187
108,589.519052838329,478.9230484541326,324.8256353284238,356.207208691237,156.90786681406595,324.8239812812657,324.83350171025296,0.009520428987286778,356.20555464407886,356.21507507306615,True,23,324.3684248076667,324.6808104088667,0.3123856011999919,765,5049,0,0,0,0,0.0,0.0,324.83350171025296,162.41199065063284,17.955322265625,5.044333402453034e-13,0.0,0.0,3896,3912,1,3913,0.39150169999629725
109,569.519052838329,513.5640646055101,270.5018509613733,302.17692227343383,158.37535656030275,270.5004452565808,270.5077195245088,0.007274267927982692,302.17551656864134,302.1827908365693,True,27,270.00358729535037,270.4081356120666,0.40454831671621605,765,5049,0,0,0,0,0.0,0.0,270.5077195245088,135.25022263829052,15.043182373046875,2.8421709430404007e-13,0.0,0.0,4018,4034,1,4035,0.45613730000332
110,549.519052838329,548.2050807568877,233.18462604820633,265.23297544072636,160.24174696260025,233.1841189318703,233.19199114135918,0.007872209488880344,265.23246832439037,265.24034053387925,True,32,232.70257276989193,233.12858349574657,0.4260107258546384,765,5049,0,0,0,0,0.0,0.0,233.19199114135918,116.59205947593514,12.202606201171875,3.268496584496461e-13,0.0,0.0,4039,4055,1,4056,0.37123479999718256
111,529.519052838329,582.8460969082653,206.1843511750016,238.68292257117767,162.49285698088025,206.18310300518237,206.19136881543523,0.008265810252851225,238.68167440135844,238.6899402116113,True,33,206.04143525364415,206.04143525364415,0.0,765,5049,0,0,0,0,0.0,0.0,206.19136881543523,103.09155151259128,9.444427490234375,3.126388037344441e-13,0.0,0.0,3954,3970,1,3971,0.38129160000244156
112,509.519052838329,617.4871130596428,185.90525911397162,218.92775120937233,165.11246047700348,185.9028013704851,185.91030136183218,0.007499991347089008,218.9252934658858,218.9327934572329,True,33,185.59864560743623,185.8445261008437,0.2458804934074692,765,5049,0,0,0,0,0.0,0.0,185.91030136183218,92.95140069524264,6.77734375,3.126388037344441e-13,0.0,0.0,4196,4212,1,4213,0.4529223000135971
113,489.519052838329,652.1281292110203,170.24206937789393,203.85862958892784,168.0828010551695,170.24122325413077,170.24793697658015,0.0067137224493762915,203.8577834651647,203.86449718761406,True,41,169.96541561400647,170.15240495624533,0.18698934223886,765,5049,0,0,0,0,0.0,0.0,170.24793697658015,85.12061163706538,4.208221435546875,3.1008464891821405e-13,0.0,0.0,4188,4204,1,4205,0.43921850000333507
114,469.519052838329,686.7691453623979,157.88030097328542,192.15732007055433,171.38509548634457,157.87810471271868,157.88753463920548,0.009429926486802742,192.1551238099876,192.1645537364744,True,43,157.67719834534054,157.77847193658064,0.10127359124010127,765,5049,0,0,0,0,0.0,0.0,157.88753463920548,78.93905236635935,1.74072265625,3.126388037344441e-13,0.0,0.0,4404,4420,1,4421,0.4870482999976957
115,449.519052838329,721.4101615137754,147.95704286512432,182.95704286512432,175.0,147.95637509851306,147.96532599322668,0.008950894713620983,182.95637509851306,182.96532599322668,True,49,147.70700078972249,147.92403307998572,0.21703229026323356,765,5049,0,0,0,0,0.0,0.0,147.96532599322668,73.97818755925653,359.3785095214844,3.694822225952521e-13,0.0,0.0,4379,4395,1,4396,0.4764617000037106
116,429.519052838329,756.051177665153,139.88263729994515,175.66424163327054,178.90802166662698,139.88155099802935,139.89008171637866,0.008530718349305744,175.66315533135474,175.67168604970405,True,51,139.70825589411982,139.79915032542473,0.09089443130491759,765,5049,0,0,0,0,0.0,0.0,139.89008171637866,69.94077550901477,357.12158203125,3.410605131648481e-13,0.0,0.0,4297,4313,1,4314,0.4620420999999624
117,409.519052838329,790.6921938165306,133.24072550898873,169.85869850016272,183.08986495586996,133.2392763010614,133.24796954734887,0.008693246287464262,169.8572492922354,169.86594253852286,True,51,133.04103189272652,133.17487582919037,0.1338439364638475,765,5049,0,0,0,0,0.0,0.0,133.24796954734887,66.6196381605307,354.9700927734375,3.410605131648481e-13,0.0,0.0,4257,4273,1,4274,0.40823359999922104
118,389.51905283832906,825.333209967908,127.72920204294986,165.23454411777502,187.5267103741258,127.72737959728622,127.73621242678512,0.008832829498899741,165.23272167211138,165.24155450161027,True,58,127.58074309771771,127.58074309771771,0.0,765,5049,0,0,0,0,0.0,0.0,127.73621242678512,63.86368980864322,352.92236328125,4.263256414560601e-13,0.0,0.0,4463,4479,1,4480,0.4540449000051012
119,369.51905283832906,859.9742261192856,123.12377772276284,161.56386319275074,192.20042734993956,123.12335255717515,123.13148273936987,0.008130182194719282,161.56343802716307,161.5715682093578,True,60,123.05045420751104,123.08999588704343,0.03954167953239107,765,5049,0,0,0,0,0.0,0.0,123.13148273936987,61.56167628858758,350.97625732421875,3.979039320256561e-13,0.0,0.0,4303,4319,1,4320,0.3841110000066692
120,349.51905283832906,894.6152422706632,119.2546477534953,158.6733931780924,197.09372712298548,119.25455934724057,119.26216823346574,0.007608886225170863,158.67330477183768,158.68091365806285,True,65,119.01909027362147,119.21754844751612,0.19845817389465026,765,5049,0,0,0,0,0.0,0.0,119.26216823346574,59.6272796836204,349.12811279296875,3.979039320256561e-13,0.0,0.0,4275,4291,1,4292,0.44668779999483377
121,972.820323027551,-84.97422611928573,116.37468182658161,156.43565979692946,200.30488985173926,116.37424320702719,116.38326800051554,0.009024793488350724,156.43522117737504,156.4442459708634,True,66,116.11738293513324,116.35316408542111,0.2357811502878775,765,5049,0,0,0,0,0.0,0.0,116.38326800051554,58.1871216135136,70.89553833007812,4.405364961712621e-13,0.6682190699447261,2.2737367544323206e-13,4359,4375,1,4376,0.37912739999592304
