mode,level,x,y,parent,reason
M1,0,373.2050807568877,-246.4101615137755,coarse_grid,float_prefilter
M1,0,353.2050807568877,-211.76914536239792,coarse_grid,float_prefilter
M1,0,333.2050807568877,-177.1281292110204,coarse_grid,float_prefilter
M1,0,313.2050807568877,-142.48711305964287,coarse_grid,float_prefilter
M1,0,293.20508075688775,-107.8460969082653,coarse_grid,float_prefilter
M1,0,273.20508075688775,-73.20508075688777,coarse_grid,float_prefilter
M1,0,253.20508075688775,-38.56406460551021,coarse_grid,float_prefilter
M1,0,233.20508075688775,-3.9230484541326547,coarse_grid,float_prefilter
M1,0,213.20508075688775,30.717967697244887,coarse_grid,float_prefilter
M1,0,193.20508075688775,65.35898384862244,coarse_grid,float_prefilter
M1,0,173.20508075688775,99.99999999999999,coarse_grid,float_prefilter
M1,0,153.20508075688775,134.64101615137753,coarse_grid,float_prefilter
M1,0,133.20508075688775,169.28203230275508,coarse_grid,float_prefilter
M1,0,113.20508075688775,203.92304845413264,coarse_grid,float_prefilter
M1,0,93.20508075688777,238.56406460551017,coarse_grid,float_prefilter
M1,0,73.20508075688777,273.20508075688775,coarse_grid,float_prefilter
M1,0,53.20508075688777,307.8460969082653,coarse_grid,float_prefilter
M1,0,33.20508075688778,342.4871130596428,coarse_grid,float_prefilter
M1,0,13.205080756887781,377.1281292110204,coarse_grid,float_prefilter
M1,0,-6.7949192431122185,411.7691453623979,coarse_grid,float_prefilter
M1,0,-26.79491924311222,446.4101615137755,coarse_grid,float_prefilter
M1,0,-46.79491924311222,481.05117766515303,coarse_grid,float_prefilter
M1,0,-66.79491924311222,515.6921938165306,coarse_grid,float_prefilter
M1,0,-86.79491924311219,550.3332099679081,coarse_grid,float_prefilter
M1,0,-106.79491924311219,584.9742261192856,coarse_grid,float_prefilter
M1,0,-126.79491924311219,619.6152422706632,coarse_grid,float_prefilter
M1,0,-146.7949192431122,654.2562584220408,coarse_grid,float_prefilter
M1,0,-166.7949192431122,688.8972745734184,coarse_grid,float_prefilter
M1,0,-186.7949192431122,723.5382907247958,coarse_grid,float_prefilter
M1,0,-206.7949192431122,758.1793068761734,coarse_grid,float_prefilter
M1,0,-226.7949192431122,792.820323027551,coarse_grid,float_prefilter
M1,0,-246.7949192431122,827.4613391789285,coarse_grid,float_prefilter
M1,0,-266.7949192431122,862.1023553303061,coarse_grid,float_prefilter
M1,0,-286.7949192431122,896.7433714816837,coarse_grid,float_prefilter
M1,0,-306.7949192431122,931.3843876330611,coarse_grid,float_prefilter
M1,0,-326.7949192431122,966.0254037844387,coarse_grid,float_prefilter
M1,0,716.5063509461096,-741.0254037844387,coarse_grid,float_prefilter
M1,0,696.5063509461096,-706.3843876330611,coarse_grid,float_prefilter
M1,0,676.5063509461096,-671.7433714816837,coarse_grid,float_prefilter
M1,0,656.5063509461096,-637.1023553303061,coarse_grid,float_prefilter
M1,0,636.5063509461096,-602.4613391789285,coarse_grid,float_prefilter
M1,0,616.5063509461096,-567.820323027551,coarse_grid,float_prefilter
M1,0,596.5063509461096,-533.1793068761734,coarse_grid,float_prefilter
M1,0,576.5063509461096,-498.53829072479584,coarse_grid,float_prefilter
M1,0,556.5063509461096,-463.8972745734184,coarse_grid,float_prefilter
M1,0,536.5063509461096,-429.2562584220408,coarse_grid,float_prefilter
M1,0,516.5063509461096,-394.6152422706632,coarse_grid,float_prefilter
M1,0,496.5063509461096,-359.9742261192857,coarse_grid,float_prefilter
M1,0,476.5063509461096,-325.33320996790815,coarse_grid,float_prefilter
M1,0,456.50635094610965,-290.69219381653056,coarse_grid,float_prefilter
