prior_radius,id,method,top1,top3,mrr,brier,fallback
2000,6,distance,0.28,0.32,0.361047619047619,,0.0
2000,6,geometry,0.12,0.64,0.37333333333333335,0.21487137483653068,0.0
2000,6,uniform,0.18702582529568665,0.3856783080068852,0.3169560615770188,0.21688270704365434,0.0
2000,7,R12,0.32,0.56,0.46266666666666667,,0.0
2000,7,belief,0.28,0.76,0.5133333333333333,0.1568633548628397,0.0
2000,7,distance,0.32,0.52,0.4567142857142857,,0.0
2000,7,geometry,0.08,0.76,0.36,0.1875650465488777,0.0
2000,7,uniform,0.5105897147198534,0.7347994981193259,0.619239844086491,0.16995935817707142,0.0
2000,8,R12,0.24,0.44,0.32666666666666666,,0.0
2000,8,belief,0.4,0.44,0.42,0.07089777571202921,0.0
2000,8,distance,0.24,0.4,0.33,,0.0
2000,8,geometry,0.44,0.44,0.44,0.1088308748769175,0.0
2000,8,uniform,0.2657388744277962,0.40725096449743103,0.33653335052861955,0.11035592670995494,0.0
2000,9,R12,0.32,0.6,0.45799999999999996,,0.0
2000,9,belief,0.56,0.56,0.588,0.22582373205924927,0.0
2000,9,distance,0.32,0.52,0.44420634920634916,,0.0
2000,9,geometry,0.56,0.56,0.5830952380952381,0.3308681591137943,0.0
2000,9,uniform,0.2874979810575449,0.5334104823699655,0.4309463799055453,0.3354873734097751,0.0
2000,10,R12,0.5,0.6666666666666666,0.6327380952380952,,0.0
2000,10,belief,1.0,1.0,1.0,0.12840707449711306,0.0
2000,10,distance,0.5,0.6666666666666666,0.6257936507936508,,0.0
2000,10,geometry,1.0,1.0,1.0,0.19438961221816445,0.0
2000,10,uniform,0.740462343988054,0.9762894121926293,0.8552264517843443,0.20431524497098372,0.0
2000,11,R12,0.16,0.28,0.2769062049062049,,0.0
2000,11,belief,0.4,0.48,0.5,0.19790950484020062,0.0
2000,11,distance,0.2,0.24,0.2968095238095238,,0.0
2000,11,geometry,0.16,0.56,0.39,0.3188731692679188,0.0
2000,11,uniform,0.3639864843999721,0.6404109495296734,0.5108713523093583,0.3133888490056912,0.0
2000,12,R12,0.28,0.56,0.44266666666666665,,0.0
2000,12,belief,0.72,0.76,0.74,0.12046319909791643,0.0
2000,12,distance,0.32,0.52,0.45371428571428574,,0.0
2000,12,geometry,0.6,0.76,0.68,0.23733774562500007,0.0
2000,12,uniform,0.49288310556496046,0.7270056304578447,0.6072527625669796,0.25097310075349305,0.0
2000,13,R12,0.45454545454545453,0.8636363636363636,0.6643939393939394,,0.0
2000,13,belief,1.0,1.0,1.0,0.18276850185372312,0.0
2000,13,distance,0.45454545454545453,0.8181818181818182,0.6681818181818181,,0.0
2000,13,geometry,0.5909090909090909,1.0,0.7651515151515151,0.22705508672517744,0.0
2000,13,uniform,0.7493564750584079,0.9813850883093501,0.8613465667653641,0.21945519477102923,0.0
2000,14,R12,0.16,0.2,0.1954037629037629,,0.0
2000,14,belief,0.12,0.2,0.19333333333333333,0.15959260905374476,0.0
2000,14,distance,0.16,0.2,0.20228327228327228,,0.0
2000,14,geometry,0.12,0.12,0.17133333333333334,0.33110830754558274,0.0
2000,14,uniform,0.13574391590073376,0.26273880586143344,0.2151096417522117,0.3180213418168906,0.0
2000,15,R12,0.24,0.44,0.3963809523809524,,0.0
2000,15,belief,0.44,0.8,0.5866666666666667,0.18657531831429877,0.0
2000,15,distance,0.24,0.48,0.4026666666666667,,0.0
2000,15,geometry,0.04,0.8,0.33333333333333337,0.3722780624125655,0.0
2000,15,uniform,0.4858487611668928,0.754415735787522,0.6179258114533028,0.3576853927590018,0.0
2000,16,R12,0.24,0.44,0.36838095238095236,,0.0
2000,16,belief,0.6,0.64,0.62,0.1173949972068551,0.0
2000,16,distance,0.24,0.44,0.3637142857142857,,0.0
2000,16,geometry,0.64,0.64,0.64,0.17597654917280703,0.0
2000,16,uniform,0.3958850386791833,0.5984794371016877,0.49652663549599213,0.1843863510242672,0.0
2000,17,R12,0.16,0.36,0.3147950937950938,,0.0
2000,17,belief,0.6,0.72,0.6566666666666667,0.12467477784040973,0.0
2000,17,distance,0.16,0.32,0.30742857142857144,,0.0
2000,17,geometry,0.12,0.76,0.44,0.26553072352877904,0.0
2000,17,uniform,0.3383940251250522,0.6020660957026551,0.4855927418753566,0.26462463003474584,0.0
2000,18,R12,0.16,0.28,0.24941025641025638,,0.0
2000,18,belief,0.24,0.36,0.31571428571428567,0.10776513810030933,0.0
2000,18,distance,0.16,0.24,0.22647907647907647,,0.0
2000,18,geometry,0.12,0.4,0.2533333333333333,0.19730932737553508,0.0
2000,18,uniform,0.1532138940119422,0.3065394795853404,0.25017387324864704,0.19366495430961742,0.0
2000,19,R12,0.5,0.7142857142857143,0.6412698412698413,,0.0
2000,19,belief,0.8571428571428571,0.9285714285714286,0.8988095238095238,0.1765591426946544,0.0
2000,19,distance,0.5714285714285714,0.7142857142857143,0.6779761904761905,,0.0
2000,19,geometry,1.0,1.0,1.0,0.18833910966210593,0.0
2000,19,uniform,0.4390475210396417,0.7810824803989862,0.6319302087869555,0.20260793677216918,0.0
2000,20,R12,0.28,0.4,0.3457142857142857,,0.0
2000,20,belief,0.28,0.28,0.30714285714285716,0.17076269352489795,0.0
2000,20,distance,0.28,0.36,0.32726739926739923,,0.0
2000,20,geometry,0.08,0.28,0.222,0.16220907752591474,0.0
2000,20,uniform,0.18901914825426736,0.3576941953097829,0.2857645801922067,0.15846972641988077,0.0
2000,21,R12,0.28,0.4,0.37215873015873013,,0.0
2000,21,belief,0.64,0.64,0.64,0.09230292389527409,0.0
2000,21,distance,0.28,0.44,0.38799999999999996,,0.0
2000,21,geometry,0.04,0.64,0.34,0.17591528770418952,0.0
2000,21,uniform,0.4505045519727577,0.6223630442111395,0.5338289739696669,0.1723042371872643,0.0
2000,22,R12,0.24,0.4,0.3313333333333333,,0.0
2000,22,belief,0.16,0.16,0.18957042957042958,0.23726241947584154,0.0
2000,22,distance,0.24,0.4,0.3203030303030303,,0.0
2000,22,geometry,0.16,0.16,0.23399999999999999,0.27568286928736496,0.0
2000,22,uniform,0.16725909781279277,0.3100245537654341,0.2632068013505153,0.2673215851461743,0.0
2000,23,R12,0.16,0.2,0.18890376290376287,,0.0
2000,23,belief,0.16,0.4,0.28,0.09321131227957562,0.0
2000,23,distance,0.16,0.16,0.1968095238095238,,0.0
2000,23,geometry,0.12,0.4,0.26,0.09209350558435171,0.0
2000,23,uniform,0.14856322820925055,0.2831101250568877,0.2288888808227187,0.0981021315318444,0.0
2000,24,R12,0.4,0.8,0.6266666666666667,,0.0
2000,24,belief,1.0,1.0,1.0,0.1788954763252529,0.0
2000,24,distance,0.4,0.8,0.6154761904761905,,0.0
2000,24,geometry,0.45,0.85,0.635,0.26186803524029256,0.0
2000,24,uniform,0.610357193693595,0.9414396613168318,0.7729788408605988,0.23074341674514418,0.0
2000,25,R12,0.36,0.84,0.59,,0.0
2000,25,belief,0.88,0.88,0.88,0.19277345057228867,0.0
2000,25,distance,0.4,0.72,0.5760000000000001,,0.0
2000,25,geometry,0.36,0.88,0.62,0.1739244797568354,0.0
2000,25,uniform,0.7515700284385303,0.8785279699481207,0.8129273426067374,0.1574185515628783,0.0
2000,26,R12,0.32,0.64,0.49504761904761907,,0.0
2000,26,belief,0.8,0.84,0.82,0.14227383483328906,0.0
2000,26,distance,0.28,0.68,0.498,,0.0
2000,26,geometry,0.84,0.84,0.84,0.18624120141114697,0.0
2000,26,uniform,0.5205254748751047,0.794664818243631,0.6547988684831038,0.19868374395328509,0.0
2000,27,R12,0.24,0.64,0.466,,0.0
2000,27,belief,0.76,0.88,0.8066666666666668,0.19723405621895132,0.0
2000,27,distance,0.28,0.72,0.5146666666666667,,0.0
2000,27,geometry,0.76,0.88,0.82,0.19766428253340299,0.0
2000,27,uniform,0.6343982984500282,0.860489400333592,0.743518163307977,0.20596963389722828,0.0
2000,28,R12,0.4,0.72,0.5673809523809524,,0.0
2000,28,belief,0.68,0.8,0.7366666666666667,0.1472119795951077,0.0
2000,28,distance,0.44,0.68,0.572047619047619,,0.0
2000,28,geometry,0.56,0.8,0.6546666666666667,0.16735710306204252,0.0
2000,28,uniform,0.6222494279101494,0.799755074826013,0.7123771615117913,0.15982651836124181,0.0
2000,29,R12,0.28,0.56,0.43799999999999994,,0.0
2000,29,belief,0.32,0.72,0.46,0.2325077430318518,0.0
2000,29,distance,0.28,0.6,0.44,,0.0
2000,29,geometry,0.72,0.72,0.72,0.20213543752085414,0.0
2000,29,uniform,0.3924595899516346,0.6551388677280453,0.5244416769833495,0.22622915307280317,0.0
2000,30,R12,0.16,0.32,0.276,,0.0
2000,30,belief,0.56,0.56,0.56,0.19390583652045776,0.0
2000,30,distance,0.16,0.28,0.263,,0.0
2000,30,geometry,0.48,0.56,0.52,0.36684856384324893,0.0
2000,30,uniform,0.24882807850380875,0.4684913656362034,0.3647795722471666,0.369964595522859,0.0
2000,31,R12,0.5384615384615384,0.8461538461538461,0.7141025641025641,,0.0
2000,31,belief,0.9230769230769231,1.0,0.9487179487179488,0.18006694132837467,0.0
2000,31,distance,0.5384615384615384,0.7692307692307693,0.6923076923076923,,0.0
2000,31,geometry,0.7692307692307693,1.0,0.8846153846153846,0.2113191661673797,0.0
2000,31,uniform,0.6869041265881093,0.9435448011128555,0.8161752055688556,0.22517895935542576,0.0
2000,32,R12,0.28,0.56,0.4387142857142857,,0.0
2000,32,belief,0.56,0.8,0.68,0.15012329417464973,0.0
2000,32,distance,0.32,0.56,0.47204761904761905,,0.0
2000,32,geometry,0.36,0.8,0.5666666666666667,0.15258273052123225,0.0
2000,32,uniform,0.6564540871401822,0.79409549068063,0.7228139568644236,0.13839801452101008,0.0
2000,33,R12,0.24,0.28,0.27304761904761904,,0.0
2000,33,belief,0.4,0.4,0.4,0.0551733502887378,0.0
2000,33,distance,0.24,0.32,0.28904761904761905,,0.0
2000,33,geometry,0.4,0.4,0.4,0.08311865999986388,0.0
2000,33,uniform,0.2601658755312679,0.3718574554847943,0.31654500458136725,0.08949118773645591,0.0
2000,34,R12,0.36,0.72,0.5537142857142857,,0.0
2000,34,belief,0.88,0.92,0.9,0.18004361579037215,0.0
2000,34,distance,0.4,0.72,0.5773333333333334,,0.0
2000,34,geometry,0.76,0.8,0.7979999999999999,0.24430562182328233,0.0
2000,34,uniform,0.49817976739313397,0.8263505727502631,0.6646942446221076,0.2534100608734343,0.0
2000,35,R12,0.6153846153846154,1.0,0.782051282051282,,0.0
2000,35,belief,0.8461538461538461,0.9230769230769231,0.8931623931623931,0.1931815721746821,0.0
2000,35,distance,0.6153846153846154,0.9230769230769231,0.7532051282051282,,0.0
2000,35,geometry,1.0,1.0,1.0,0.18465588496305316,0.0
2000,35,uniform,0.5030484752800883,0.8056923473429216,0.6736262305492472,0.18583342068003306,0.0
2000,36,R12,0.16,0.24,0.21577777777777776,,0.0
2000,36,belief,0.4,0.4,0.4,0.17080352709714386,0.0
2000,36,distance,0.16,0.2,0.21087301587301588,,0.0
2000,36,geometry,0.04,0.4,0.22,0.37846601118503354,0.0
2000,36,uniform,0.1166516504583943,0.2348474117751948,0.19578619215507076,0.38084950812438145,0.0
2000,37,R12,0.2,0.48,0.38576190476190475,,0.0
2000,37,belief,0.72,0.84,0.7733333333333333,0.1769424992571679,0.0
2000,37,distance,0.24,0.6,0.44799999999999995,,0.0
2000,37,geometry,0.72,0.84,0.78,0.23047863247578212,0.0
2000,37,uniform,0.6054069051317806,0.8245799648415479,0.7108009714549514,0.22983885405438056,0.0
2000,38,R12,0.24,0.4,0.3775821009056303,,0.0
2000,38,belief,0.92,0.96,0.94,0.2329286422533257,0.0
2000,38,distance,0.24,0.6,0.46799999999999997,,0.0
2000,38,geometry,0.96,0.96,0.96,0.20942086099249685,0.0
2000,38,uniform,0.5286920308076184,0.8214157875103762,0.6864207888206008,0.23382502161765686,0.0
2000,39,R12,0.28,0.44,0.38299999999999995,,0.0
2000,39,belief,0.12,0.56,0.3433333333333334,0.14273493291336248,0.0
2000,39,distance,0.24,0.44,0.36,,0.0
2000,39,geometry,0.16,0.56,0.37,0.23658440778381795,0.0
2000,39,uniform,0.356224699677762,0.560185984249519,0.45729244874148123,0.23988228885081203,0.0
2000,40,R12,0.36,0.56,0.4893333333333333,,0.0
2000,40,belief,0.8,0.8,0.8,0.12768410947438508,0.0
2000,40,distance,0.4,0.68,0.5313333333333333,,0.0
2000,40,geometry,0.8,0.8,0.8,0.1792216458909546,0.0
2000,40,uniform,0.6264887648105174,0.7930448431632979,0.7068935822643155,0.18948453000652143,0.0
2000,41,R12,0.24,0.44,0.3884920634920635,,0.0
2000,41,belief,0.8,0.8,0.8,0.11939251653185927,0.0
2000,41,distance,0.24,0.44,0.3913809523809524,,0.0
2000,41,geometry,0.8,0.8,0.8,0.2281334117122488,0.0
2000,41,uniform,0.5657409885593087,0.7706342886260775,0.6664296928228297,0.23482293898816792,0.0
2000,42,R12,0.32,0.64,0.498,,0.0
2000,42,belief,0.84,0.84,0.84,0.11113348327181514,0.0
2000,42,distance,0.32,0.72,0.5366666666666666,,0.0
2000,42,geometry,0.76,0.84,0.8,0.17687501009226542,0.0
2000,42,uniform,0.7175442920759114,0.8355625078470683,0.7747756254055891,0.17201657151032804,0.0
2000,43,R12,0.2,0.36,0.3207950937950938,,0.0
2000,43,belief,0.64,0.68,0.66,0.14256970422162782,0.0
2000,43,distance,0.2,0.36,0.3240952380952381,,0.0
2000,43,geometry,0.16,0.68,0.42,0.2330516103295636,0.0
2000,43,uniform,0.28972729624513177,0.5565818510918793,0.4323939405668761,0.2410063918622629,0.0
2000,44,R12,0.32,0.6,0.4613333333333333,,0.0
2000,44,belief,0.72,0.72,0.72,0.11943385244205836,0.0
2000,44,distance,0.32,0.64,0.4733333333333334,,0.0
2000,44,geometry,0.68,0.72,0.7,0.2245993783105501,0.0
2000,44,uniform,0.5291306707381549,0.7080284352879588,0.6151636620015908,0.24094748518683112,0.0
2000,45,R12,0.2,0.32,0.3072053502053502,,0.0
2000,45,belief,0.2,0.56,0.35600000000000004,0.16891699610077887,0.0
2000,45,distance,0.16,0.32,0.288984126984127,,0.0
2000,45,geometry,0.72,0.72,0.72,0.2616337060194281,0.0
2000,45,uniform,0.20677825406970649,0.40284730047177214,0.34284185171125997,0.26819688855168056,0.0
2000,46,R12,0.24,0.24,0.29647098979451925,,0.0
2000,46,belief,0.64,0.8,0.7066666666666667,0.24643640396857383,0.0
2000,46,distance,0.24,0.6,0.4406666666666667,,0.0
2000,46,geometry,0.8,0.8,0.8,0.22558249751866977,0.0
2000,46,uniform,0.2536836995687043,0.541800137310529,0.425708933799259,0.27493960621675567,0.0
2000,47,R12,0.32,0.64,0.4746666666666667,,0.0
2000,47,belief,0.72,0.72,0.72,0.18060309104048952,0.0
2000,47,distance,0.36,0.64,0.488,,0.0
2000,47,geometry,0.72,0.72,0.72,0.23816754461920087,0.0
2000,47,uniform,0.4446225858913973,0.6709417473539159,0.5578650521211165,0.24319782494493686,0.0
2000,48,R12,0.28,0.6,0.4738253968253968,,0.0
2000,48,belief,0.72,0.92,0.82,0.19821043946165673,0.0
2000,48,distance,0.28,0.52,0.46485714285714286,,0.0
2000,48,geometry,0.88,0.92,0.9,0.24983942547858018,0.0
2000,48,uniform,0.48198184498381025,0.8050429762995115,0.6498816893869099,0.24825699470155704,0.0
2000,49,R12,0.12,0.24,0.20335714285714285,,0.0
2000,49,belief,0.32,0.4,0.36333333333333334,0.14061561159259045,0.0
2000,49,distance,0.12,0.2,0.1951919191919192,,0.0
2000,49,geometry,0.12,0.44,0.24,0.40038420744624353,0.0
2000,49,uniform,0.15496710430653088,0.2920417811470174,0.24073134337727392,0.39389123794785946,0.0
2000,50,R12,0.4,0.64,0.5487142857142857,,0.0
2000,50,belief,0.6,0.84,0.7066666666666667,0.14104390769132574,0.0
2000,50,distance,0.44,0.6,0.5573809523809524,,0.0
2000,50,geometry,0.52,0.84,0.66,0.19660863040185217,0.0
2000,50,uniform,0.5260603213675094,0.8027272012368661,0.6604662542068097,0.19793055573554583,0.0
2000,51,R12,0.24,0.36,0.305,,0.0
2000,51,belief,0.44,0.44,0.44,0.10943659802401182,0.0
2000,51,distance,0.24,0.4,0.31466666666666665,,0.0
2000,51,geometry,0.4,0.44,0.42,0.20916824292770372,0.0
2000,51,uniform,0.2500952875873323,0.39488111023001315,0.32447546762613494,0.2196085350066083,0.0
2000,52,R12,0.4,0.65,0.5667261904761904,,0.0
2000,52,belief,0.8,0.95,0.8729166666666666,0.2172876505030558,0.0
2000,52,distance,0.4,0.7,0.5713095238095238,,0.0
2000,52,geometry,0.6,0.9,0.7474999999999999,0.22113662786034075,0.0
2000,52,uniform,0.47606473122045545,0.8497103481780929,0.6727031035273552,0.24334351492185952,0.0
2000,53,R12,0.38095238095238093,0.7142857142857143,0.5825396825396825,,0.0
2000,53,belief,0.6666666666666666,1.0,0.8333333333333334,0.247325425810467,0.0
2000,53,distance,0.38095238095238093,0.8571428571428571,0.6087301587301587,,0.0
2000,53,geometry,0.14285714285714285,1.0,0.5714285714285714,0.2589109609679309,0.0
2000,53,uniform,0.6303846256195159,0.9476126395467588,0.786565267810615,0.2662323655939226,0.0
2000,54,R12,0.36,0.6,0.5274920634920635,,0.0
2000,54,belief,0.68,0.8,0.7583333333333333,0.25662642584267387,0.0
2000,54,distance,0.36,0.68,0.5331587301587302,,0.0
2000,54,geometry,0.68,0.92,0.7733333333333333,0.21738444548462332,0.0
2000,54,uniform,0.5502645118615102,0.8525107978618949,0.7014522776722759,0.22948606563331864,0.0
2000,55,R12,0.24,0.4,0.3724285714285714,,0.0
2000,55,belief,0.76,0.76,0.76,0.10754823993281759,0.0
2000,55,distance,0.24,0.48,0.3917142857142857,,0.0
2000,55,geometry,0.72,0.76,0.74,0.23189211317812788,0.0
2000,55,uniform,0.44701317913775845,0.7019903730002666,0.5741244848785327,0.24636535774409843,0.0
2000,56,R12,0.32,0.6,0.49049206349206353,,0.0
2000,56,belief,0.68,0.88,0.78,0.284117733710486,0.0
2000,56,distance,0.32,0.56,0.48442857142857143,,0.0
2000,56,geometry,0.12,0.8,0.4733333333333334,0.2852944142489384,0.0
2000,56,uniform,0.5091051784353305,0.8223217088426,0.6632532913972898,0.24900028886153883,0.0
2000,57,R12,0.3333333333333333,0.5555555555555556,0.5011042969376303,,0.0
2000,57,belief,0.9444444444444444,1.0,0.9722222222222222,0.1991466384214825,0.0
2000,57,distance,0.2777777777777778,0.5555555555555556,0.46911375661375665,,0.0
