arm,metric,delta_per_scene,delta_per_source
B5,discovery__clear_s,0.0,0.0
B5,discovery__total_s,199.21241771093742,15.901369583261975
B5,active_localization__travel_s,-55.594381039062384,-4.050714539227238
B5,active_localization__measure_s,-1.9921875,-0.1544632125686813
B5,active_localization__switch_s,-0.1953125,-0.012184657790126537
B5,active_localization__clear_s,0.0,0.0
B5,active_localization__total_s,-57.781881039062384,-4.217362409586045
B5,diagnostic__travel_s,51.035110164062544,4.023615678590488
B5,diagnostic__measure_s,1.0546875,0.0825331894667832
B5,diagnostic__switch_s,0.125,0.009225767721861473
B5,diagnostic__clear_s,0.0,0.0
B5,diagnostic__total_s,52.214797664062544,4.115374635779133
B5,optical_fallback__travel_s,-5.120985757812491,-0.5001105914210457
B5,optical_fallback__measure_s,0.0,0.0
B5,optical_fallback__switch_s,0.0,0.0
B5,optical_fallback__clear_s,-1.5703125,-0.15789535984848485
B5,optical_fallback__total_s,-6.691298257812491,-0.6580059512695307
B5,certified_clear__travel_s,14.283785906249925,0.6439893511625702
B5,certified_clear__measure_s,0.0,0.0
B5,certified_clear__switch_s,0.0,0.0
B5,certified_clear__clear_s,0.1171875,0.010904947916666666
B5,certified_clear__total_s,14.400973406249923,0.654894299079237
B5,all__travel_s,229.565946984375,18.121756259704
B5,all__measure_s,-22.1875,-1.8107597155448718
B5,all__switch_s,-4.5703125,-0.36773597496253746
B5,all__clear_s,-1.453125,-0.14699041193181817
B5,last_source_first_seen_s,-14.606097007812473,-0.5663610500703062
B5,post_last_seen_discovery_s,166.13002049218738,12.94570014794176
B5,post_all_cleared_discovery_s,-34.15480309375006,-2.555228650454758
B5,discovery_nodes,0.0703125,0.00439453125
B5,detect_count,-4.4375,-0.36215194310897436
B5,clear_attempts,-0.484375,-0.048996803977272727
B5,fallback_count,-0.0234375,-0.0021809895833333334
B5,diagnostic_count,0.2109375,0.016506637893356643
B5,distance,1147.8297347216442,90.6087812883
B10,total,192.479955078125,15.31295218132541
B10,runtime,1.9259361257810497,0.15443834376195614
B10,discovery__travel_s,221.39309264062484,17.851278592826695
B10,discovery__measure_s,-27.578125,-2.174063078848235
B10,discovery__switch_s,-5.75,-0.4514923227813853
B10,discovery__clear_s,0.0,0.0
B10,discovery__total_s,188.0649676406249,15.225723191197076
