seed,baseline,delta_diameter_m,delta_time_s
56,perpendicular_midpoint,1.5739803361450697,10.27624554260666
57,perpendicular_midpoint,-76.53711705893818,10.070255175065057
58,perpendicular_midpoint,-4.135830295946974,14.588072322296597
59,perpendicular_midpoint,-1.4641500403797068,10.059711069796606
60,perpendicular_midpoint,19.396673610733068,25.7220589746741
61,perpendicular_midpoint,-20.538694420839825,31.852585351416167
62,perpendicular_midpoint,-39.35643166889214,34.07253479296571
63,perpendicular_midpoint,-34.36302248483986,22.25521748627824
64,perpendicular_midpoint,7.828565483531584,17.956439728587867
65,perpendicular_midpoint,19.348243807177887,28.742977924895285
66,perpendicular_midpoint,-12.236823876075277,26.24946266848741
67,perpendicular_midpoint,25.044081572557833,35.47001975713229
68,perpendicular_midpoint,17.13242709875965,25.496083458829276
69,perpendicular_midpoint,-48.43731364402677,25.388271668671877
70,perpendicular_midpoint,-34.354657118747426,18.38798076345668
71,perpendicular_midpoint,13.951971905091689,20.31133384162132
72,perpendicular_midpoint,-24.979886021301624,12.68614035476
73,perpendicular_midpoint,-4.143441149642342,10.357519669644319
74,perpendicular_midpoint,-42.87346100046262,33.531652010356424
75,perpendicular_midpoint,20.90102224567415,25.742311578292004
76,perpendicular_midpoint,-3.7678347947447897,13.254667683740792
77,perpendicular_midpoint,-16.907904108671552,23.81433788474655
78,perpendicular_midpoint,-61.97385450280251,34.361442067497364
79,perpendicular_midpoint,5.39867832129876,13.299652539021508
80,perpendicular_midpoint,-21.627968098527646,29.4166855069154
81,perpendicular_midpoint,-52.0106294360682,32.203356553710904
82,perpendicular_midpoint,-3.94388746516087,8.761508677097424
83,perpendicular_midpoint,-62.82878106639137,8.112062767574372
84,perpendicular_midpoint,-1.2204952324068188,24.826240626122143
85,perpendicular_midpoint,19.171758754593668,26.181750877731076
86,perpendicular_midpoint,2.636382728177459,12.092931220312948
87,perpendicular_midpoint,-3.9875923471184507,14.384163046158136
88,perpendicular_midpoint,5.092460040510016,17.053543788589877
