certified_clears,clear_attempts,clear_rate,cleared,distance_m,error,evidence,localization_observations,mean_time_per_source_s,measure_count,mixed,optical_fallbacks,policy,runtime_s,seed,stress,switch_count,total,use_negative,virtual_time_s
16,16,1.0,16,36210.17415632048,,synthetic_local,44,500.43967695400585,120,False,0,P1,0.07360470000000063,13,edge,85,16,True,8007.034831264094
16,16,1.0,16,37213.15775233544,,synthetic_local,40,511.7269719041934,116,False,0,P2,1.365053500000002,13,edge,85,16,True,8187.631550467095
16,16,1.0,16,19286.27107021288,,synthetic_local,40,289.0158883776609,116,False,0,P3,1.3089340000000007,13,edge,107,16,True,4624.254214042574
7,1259,1.0,16,383348.65969266294,,synthetic_local,31,5239.108246158288,572,True,9,P1,0.1677950000000017,13,edge,487,16,True,83825.73193853261
15,154,1.0,16,78223.39178948222,,synthetic_local,44,1228.1048973685267,593,True,1,P4,3.5405017,13,edge,546,16,True,19649.678357896428
12,282,1.0,16,114723.91270294013,,synthetic_local,41,1709.2989087867495,596,True,4,P4,1.9951086000000018,13,edge,546,16,False,27348.782540587992
11,11,1.0,11,26544.684340726344,,synthetic_local,32,551.8124425586607,122,False,0,P1,0.0554667000000002,14,bias,96,11,True,6069.936868145267
11,11,1.0,11,27532.79046519154,,synthetic_local,28,567.9598266398461,118,False,0,P2,0.9209771000000018,14,bias,96,11,True,6247.558093038308
11,11,1.0,11,15089.89484427278,,synthetic_local,29,343.5435426231415,119,False,0,P3,0.799507000000002,14,bias,111,11,True,3778.978968854556
8,374,1.0,11,136955.51642463118,,synthetic_local,28,2854.0093895387513,488,True,3,P1,0.10765739999999724,14,bias,419,11,True,31394.103284926266
11,11,1.0,11,39464.04069189423,,synthetic_local,36,1010.0734671253499,535,True,0,P4,1.9110511000000017,14,bias,488,11,True,11110.808138378849
10,15,1.0,11,39598.238079905255,,synthetic_local,34,1013.1497832710047,534,True,1,P4,1.5162793999999984,14,bias,488,11,False,11144.647615981052
16,16,1.0,16,32167.943392719742,,synthetic_local,48,433.16179240899686,76,False,0,P1,0.07563840000000255,15,cluster,37,16,True,6930.58867854395
16,16,1.0,16,35491.9954293029,,synthetic_local,48,474.7124428662859,76,False,0,P2,1.7531531999999999,15,cluster,37,16,True,7595.399085860575
16,16,1.0,16,11854.218120271074,,synthetic_local,48,181.0527265033884,76,False,0,P3,1.2473400999999988,15,cluster,66,16,True,2896.8436240542146
11,558,1.0,16,212017.64611317927,,synthetic_local,35,2879.7830764147425,341,True,5,P1,0.14323269999999866,15,cluster,262,16,True,46076.52922263588
15,16,1.0,16,35732.79484033691,,synthetic_local,55,657.3474355042118,556,True,1,P4,2.0051977,15,cluster,511,16,True,10517.55896806739
