case_id,family,total_sources,stage,travel_m,travel_s,switch_s,measure_s,clear_s,total_s,actions
42,all_directional,10,discovery,16681.38235337049,3336.2764740000002,295.0,1545.0,0.0,5176.276474000001,309
42,all_directional,10,active_localization,5695.741486135772,1139.1482970000004,8.0,85.0,0.0,1232.1482970000004,17
42,all_directional,10,diagnostic,964.9758677962798,192.99517299999934,0.0,10.0,0.0,202.99517299999934,2
42,all_directional,10,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
42,all_directional,10,certified_clear,857.5046528132821,171.50093000000015,0.0,0.0,50.0,221.50093000000015,10
43,mixed,14,discovery,19133.473593276132,3826.694722,220.0,1175.0,0.0,5221.694722,235
43,mixed,14,active_localization,5224.121025230472,1044.824204000001,9.0,65.0,0.0,1118.824204000001,13
43,mixed,14,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
43,mixed,14,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
43,mixed,14,certified_clear,4544.880704191646,908.9761419999993,0.0,0.0,70.0,978.9761419999993,14
44,mixed,11,discovery,15625.942030455919,3125.18841,277.0,1455.0,0.0,4857.188410000001,291
44,mixed,11,active_localization,4988.05463705863,997.6109260000003,10.0,75.0,0.0,1082.6109260000003,15
44,mixed,11,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
44,mixed,11,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
44,mixed,11,certified_clear,1797.4723555560383,359.49447099999963,0.0,0.0,55.0,414.49447099999963,11
45,mixed,11,discovery,15507.309357233355,3101.4618759999994,266.0,1400.0,0.0,4767.461875999999,280
45,mixed,11,active_localization,6825.825278476122,1365.1650570000004,9.0,60.0,0.0,1434.1650570000004,12
45,mixed,11,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
45,mixed,11,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
45,mixed,11,certified_clear,2484.633043029665,496.92660800000033,0.0,0.0,55.0,551.9266080000003,11
46,mixed,11,discovery,16066.253160047767,3213.2506350000003,258.0,1365.0,0.0,4836.250635,273
46,mixed,11,active_localization,7122.426796687336,1424.4853590000002,8.0,80.0,0.0,1512.4853590000002,16
46,mixed,11,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
46,mixed,11,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
46,mixed,11,certified_clear,2154.997176186319,430.99943599999955,0.0,0.0,55.0,485.99943599999955,11
47,mixed,10,discovery,16565.004354151417,3313.000875,283.0,1485.0,0.0,5081.000875,297
47,mixed,10,active_localization,6231.744819465498,1246.348964999999,9.0,85.0,0.0,1340.348964999999,17
47,mixed,10,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
47,mixed,10,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
47,mixed,10,certified_clear,801.0793314817405,160.21586400000047,0.0,0.0,50.0,210.21586400000047,10
48,mixed,15,discovery,14226.450788856566,2845.2901620000007,219.0,1170.0,0.0,4234.290162000001,234
48,mixed,15,active_localization,3836.9969367429367,767.3993879999998,9.0,45.0,0.0,821.3993879999998,9
48,mixed,15,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
48,mixed,15,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
48,mixed,15,certified_clear,3700.7719354421138,740.1543869999991,0.0,0.0,75.0,815.1543869999991,15
49,all_directional,12,discovery,15871.88391164679,3174.376783999999,288.0,1520.0,0.0,4982.376783999999,304
49,all_directional,12,active_localization,5796.0376818394525,1159.2075369999986,7.0,70.0,0.0,1236.2075369999986,14
49,all_directional,12,diagnostic,945.7130715264495,189.14261499999998,0.0,10.0,0.0,199.14261499999998,2
49,all_directional,12,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
49,all_directional,12,certified_clear,3269.799934125676,653.959989000002,0.0,0.0,60.0,713.959989000002,12
50,mixed,15,discovery,17519.142821415444,3503.828567999999,183.0,995.0,0.0,4681.828567999999,199
50,mixed,15,active_localization,5122.436883527868,1024.4873760000003,11.0,110.0,0.0,1145.4873760000003,22
50,mixed,15,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
50,mixed,15,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
50,mixed,15,certified_clear,3296.43357927782,659.2867160000001,0.0,0.0,75.0,734.2867160000001,15
51,mixed,11,discovery,16965.8954551664,3393.179092000001,252.0,1330.0,0.0,4975.179092000001,266
51,mixed,11,active_localization,5478.964314250744,1095.7928619999998,9.0,85.0,0.0,1189.7928619999998,17
51,mixed,11,diagnostic,359.5480097860774,71.90960199999972,0.0,5.0,0.0,76.90960199999972,1
51,mixed,11,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
51,mixed,11,certified_clear,1491.075334880626,298.21506799999884,0.0,0.0,55.0,353.21506799999884,11
52,mixed,10,discovery,16268.83447481697,3253.766898,296.0,1555.0,0.0,5104.766898,311
52,mixed,10,active_localization,4831.69597542207,966.339193,7.0,75.0,0.0,1048.339193,15
52,mixed,10,diagnostic,344.8276985630845,68.96554000000015,0.0,5.0,0.0,73.96554000000015,1
52,mixed,10,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
52,mixed,10,certified_clear,1223.217384421883,244.64347599999962,0.0,0.0,50.0,294.6434759999996,10
53,mixed,13,discovery,15773.137371420526,3154.6274780000003,230.0,1225.0,0.0,4609.627478,245
53,mixed,13,active_localization,5930.31777443692,1186.063555,10.0,105.0,0.0,1301.063555,21
53,mixed,13,diagnostic,386.33587661315426,77.26717600000006,0.0,10.0,0.0,87.26717600000006,2
53,mixed,13,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
53,mixed,13,certified_clear,1898.5343299380643,379.70686599999965,0.0,0.0,65.0,444.70686599999965,13
54,mixed,10,discovery,16559.578252127896,3311.9156539999985,265.0,1405.0,0.0,4981.9156539999985,281
54,mixed,10,active_localization,2900.388223735037,580.077644,6.0,30.0,0.0,616.077644,6
54,mixed,10,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
54,mixed,10,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
54,mixed,10,certified_clear,3737.444022317407,747.4888040000012,0.0,0.0,50.0,797.4888040000012,10
55,mixed,12,discovery,15622.614409436757,3124.5228859999997,237.0,1260.0,0.0,4621.522886,252
55,mixed,12,active_localization,3650.7148834969694,730.1429770000005,8.0,45.0,0.0,783.1429770000005,9
55,mixed,12,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
55,mixed,12,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
55,mixed,12,certified_clear,3484.9762225999157,696.9952449999996,0.0,0.0,60.0,756.9952449999996,12
56,mixed,16,discovery,15118.130474632537,3023.626096,203.0,1080.0,0.0,4306.626095999999,216
56,mixed,16,active_localization,5242.091221739485,1048.4182439999995,10.0,85.0,0.0,1143.4182439999995,17
56,mixed,16,diagnostic,101.11874208078335,20.223747999999887,0.0,5.0,0.0,25.223747999999887,1
56,mixed,16,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
56,mixed,16,certified_clear,4524.873096337703,904.9746200000006,0.0,0.0,80.0,984.9746200000006,16
57,mixed,14,discovery,13687.51366939496,2737.5027370000007,250.0,1310.0,0.0,4297.502737000001,262
57,mixed,14,active_localization,6330.50950919115,1266.101901999999,9.0,60.0,0.0,1335.101901999999,12
57,mixed,14,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
