case_id,event_index,vertex_index,x_m,y_m
4,5,2,501.61451586257465,-1387.0414874521045
4,5,3,508.3911787369382,-1364.5179797050819
4,6,0,1237.9631542572529,1205.2778732296456
4,6,1,1238.5619060398747,1204.8448472493749
4,6,2,1248.6657923882617,1217.6362912181487
4,6,3,1247.630982356344,1218.441433844238
4,7,0,416.2748981765252,982.9646638517197
4,7,1,424.7415000016161,964.1913832007644
4,7,2,425.55785103803834,964.1696498480156
4,8,0,1366.773820875537,821.2071701155947
4,8,1,1366.5099326857796,820.6179305851092
4,8,2,1377.7801181643897,799.6211273137883
4,8,3,1379.236959880488,799.8234103899218
4,9,0,463.9047457765764,1604.953504878667
4,9,1,464.6577477719546,1604.9698696978053
4,9,2,465.19486483936595,1621.3770987227097
4,9,3,463.8660067131772,1621.3948423837794
4,10,0,319.6465870761631,-134.26859315427075
4,10,1,333.6507040461752,-140.15106823755184
4,10,2,329.17744374502627,-124.8784517294409
4,10,3,324.7408711610369,-123.19537068667353
4,11,0,-863.150629877307,336.5615445167813
4,11,1,-861.8650625898093,337.5481732451537
4,11,2,-869.4272626084538,343.61639548616506
4,11,3,-872.9541686616429,345.0103047840852
4,12,0,-501.25006567025883,-281.21211514240457
4,12,1,-500.4453205500886,-281.6667693006183
4,12,2,-481.82267285981,-271.4098271993137
4,12,3,-482.1870229762797,-269.82344478557366
4,13,0,-1426.9122902566583,579.0296779891498
4,13,1,-1439.3326373136672,576.8340473707744
4,13,2,-1448.043033768673,565.0303394011611
4,13,3,-1436.663169334004,550.7110689074276
4,13,4,-1426.1922110325706,552.9434260054178
4,13,5,-1416.5827840925972,565.0523028023429
5,0,0,779.3836149376115,599.9677399198093
5,0,1,779.6068588110661,599.3578622817201
5,0,2,797.6861903927762,616.1024377265006
5,0,3,797.1804974221094,617.6500646507383
5,1,0,-86.38582146873296,616.1432578131158
5,1,1,-101.05815830096833,614.4728532048872
5,1,2,-108.94240116588423,584.4732424415793
5,1,3,-92.99354229600988,586.8582382786627
5,2,0,-325.12905013313707,-141.8089331527589
5,2,1,-337.2803978144369,-147.10888912515742
5,2,2,-332.88326061384885,-159.31238230514538
5,2,3,-320.49388177774455,-153.3830320157346
5,3,0,-785.4909274751263,-157.88347716253554
5,3,1,-804.5512116316875,-161.71458944287332
5,3,2,-799.4389647184427,-190.08464582020338
