case_id,channel,observation_index,time,diameter,mec_radius,particle_count
2,14,1,407.8,1500.2471395831203,750.2310808002992,8072
2,14,2,694.357426,1500.2471395831203,750.2310808002992,7078
2,14,3,1009.78036,1500.2471395831203,750.2310808002992,7078
2,14,4,1750.026392,1500.2471395831203,750.2310808002992,7078
2,14,5,2032.1054,1500.2471395831203,750.2310808002992,7078
2,14,6,2445.924569,1500.2471395831203,750.2310808002992,7051
2,14,7,2790.752534,1500.2471395831203,750.2310808002992,7051
2,14,8,3121.31261,1500.2471395831203,750.2310808002992,6990
2,14,9,3376.517093,1500.2471395831203,750.2310808002992,2598
2,14,10,3631.932052,53.58633896603289,26.7931694930165,3381
2,14,11,3748.123729,10.774315145866279,5.387157582933139,3720
2,15,0,89.0,1500.5107655603658,750.2856911862941,8628
2,15,1,413.8,1500.5107655603658,750.2856911862941,7766
2,15,2,700.357426,1500.5107655603658,750.2856911862941,7730
2,15,3,1015.78036,1500.5107655603658,750.2856911862941,7730
2,15,4,1756.026392,1500.5107655603658,750.2856911862941,7730
2,15,5,2038.1054,1500.5107655603658,750.2856911862941,7730
2,15,6,2451.924569,1500.5107655603658,750.2856911862941,3996
2,15,7,2796.752534,1500.5107655603658,750.2856911862941,3996
2,15,8,3127.31261,64.44741005737693,32.22370503868852,5000
2,15,9,3270.190216,24.33831852957668,12.16915927478834,4968
2,16,0,419.8,945.9561552648901,472.9780776424451,10553
2,16,1,706.357426,945.9561552648901,472.9780776424451,8346
2,16,2,1021.78036,945.9561552648901,472.9780776424451,8230
2,16,3,1499.370913,49.544797513367094,24.772398766683555,9556
2,16,4,1563.774431,10.839566961743207,5.419783490871604,8304
2,17,0,101.0,1501.0714952449055,750.5357476324527,8767
2,17,1,425.8,1501.0714952449055,750.5357476324527,8182
2,17,2,712.357426,1501.0714952449055,750.5357476324527,8156
2,17,3,1027.78036,1501.0714952449055,750.5357476324527,8156
2,17,4,1762.026392,1501.0714952449055,750.5357476324527,8156
2,17,5,2044.1054,1501.0714952449055,750.5357476324527,8156
2,17,6,2457.924569,100.89726279057638,50.44863140528819,2606
2,17,7,2802.752534,100.89726279057638,50.44863140528819,2606
2,17,8,3133.31261,47.22773333644009,23.613866678220106,1180
2,17,9,3382.517093,33.202159510223865,16.618653059670617,318
2,18,0,107.0,1500.6488918892542,750.33651704237,8600
2,18,1,431.8,45.6002733519838,22.800136685991916,9738
2,18,2,527.273974,16.360045702078622,8.180022861039312,326
2,19,0,2050.1054,1425.4912580768037,712.7456290484018,1125
2,19,1,2463.924569,1425.4912580768037,712.7456290484018,1010
2,19,2,2556.335425,45.58980146927354,22.79490074463681,1767
2,19,3,2593.879439,7.668513988837612,3.834257004418806,1573
2,20,0,5896.190685,1415.9174052834096,707.9587026517048,499
2,20,1,6026.779871,28.17095759283057,14.085478806415287,1344
3,1,0,1709.407749,1248.4234832310487,624.2117416255245,1275
3,1,1,2075.205779,1248.4234832310487,624.2117416255245,1054
3,1,2,2418.037445,1248.4234832310487,624.2117416255245,1054
3,1,3,2712.116453,64.51079917741954,32.2553995987098,204
3,1,4,3041.284451,6.5384461059973935,3.2692230629987002,178
