family,id,seconds_per_source,cumulative_probability
mixed,867,430.5810479333333,0.17293233082706766
mixed,809,431.1039524666666,0.17400644468313642
mixed,329,431.44078406666665,0.17508055853920515
mixed,746,431.8292865,0.1761546723952739
mixed,297,431.8370652,0.17722878625134264
mixed,685,432.0149367857143,0.17830290010741137
mixed,665,432.5783906,0.17937701396348013
mixed,41,432.6366681333333,0.18045112781954886
mixed,702,432.7082336875,0.18152524167561762
mixed,164,432.9728575,0.18259935553168635
mixed,169,433.1520842666667,0.1836734693877551
mixed,610,433.69324553333337,0.18474758324382384
mixed,566,434.188843,0.1858216970998926
mixed,727,434.339343875,0.18689581095596133
mixed,560,434.3478245,0.18796992481203006
mixed,684,435.346663,0.18904403866809882
mixed,138,435.61443164285714,0.19011815252416756
mixed,7,436.1756576428571,0.19119226638023631
mixed,998,436.3547643333333,0.19226638023630505
mixed,263,436.6583559375,0.1933404940923738
mixed,176,436.8105066428572,0.19441460794844254
mixed,543,437.088646125,0.19548872180451127
mixed,227,437.2107580666667,0.19656283566058003
mixed,50,437.4401773333333,0.19763694951664876
mixed,395,437.51538066666666,0.19871106337271752
mixed,653,437.7134896428571,0.19978517722878625
mixed,856,437.893006,0.200859291084855
mixed,907,438.0978851333333,0.20193340494092374
mixed,192,438.18375906666665,0.20300751879699247
mixed,501,438.24445413333336,0.20408163265306123
mixed,599,439.10303707142856,0.20515574650912996
mixed,416,439.4886514,0.20622986036519872
mixed,127,440.2526804666667,0.20730397422126745
mixed,386,440.39558785714286,0.2083780880773362
mixed,350,440.7825556,0.20945220193340494
mixed,309,441.4333948666666,0.21052631578947367
mixed,575,441.951257,0.21160042964554243
mixed,445,441.9628316,0.21267454350161116
mixed,958,442.261638,0.21374865735767992
mixed,535,442.4346960714286,0.21482277121374865
mixed,195,442.46733592857146,0.2158968850698174
mixed,199,442.6327966,0.21697099892588614
mixed,338,442.6489834615385,0.21804511278195488
mixed,433,442.88175413333335,0.21911922663802363
mixed,483,442.89599633333336,0.22019334049409237
mixed,105,443.3303401333333,0.22126745435016112
mixed,135,443.38987993333336,0.22234156820622986
mixed,91,443.4143034,0.22341568206229862
mixed,974,443.42107664285714,0.22448979591836735
mixed,215,443.440644875,0.22556390977443608
mixed,565,443.6285688666667,0.22663802363050484
mixed,570,443.883587875,0.22771213748657357
mixed,527,444.103946,0.22878625134264233
mixed,600,444.9239791333333,0.22986036519871106
mixed,668,444.9479894,0.23093447905477982
mixed,10,445.3913822142857,0.23200859291084855
mixed,592,445.9546086428572,0.23308270676691728
mixed,837,446.0264427333333,0.23415682062298604
mixed,291,446.45320028571433,0.23523093447905477
mixed,502,447.3371299333333,0.23630504833512353
mixed,306,448.88174146666665,0.23737916219119226
mixed,459,449.56034346666667,0.23845327604726102
mixed,460,450.41947285714286,0.23952738990332975
mixed,597,450.7832961428571,0.24060150375939848
mixed,508,450.8036719285714,0.24167561761546724
mixed,705,451.0832614666666,0.24274973147153597
mixed,405,451.1823303333333,0.24382384532760473
mixed,393,451.46798985714287,0.24489795918367346
mixed,220,451.84161193333335,0.24597207303974222
mixed,275,452.2349786,0.24704618689581095
mixed,323,452.4733567142857,0.24812030075187969
mixed,880,452.5941255625,0.24919441460794844
