case_id,action_count,cost_sum_s,end_time_s,ledger_error_s
531,309,7289.409104,7289.409104,0.0
532,295,6910.007771,6910.007771,0.0
533,305,6868.486381,6868.486381,0.0
534,348,6783.857996,6783.857996,0.0
535,300,6194.085745,6194.085745,0.0
536,334,7636.203806,7636.203806,0.0
537,147,4435.896143,4435.896143,0.0
538,332,6780.122065,6780.122065,0.0
539,280,6807.012114,6807.012114,0.0
540,255,6216.674698,6216.674698,0.0
541,273,6400.427373,6400.427373,0.0
542,152,4218.747092,4218.747092,0.0
543,261,6993.418338,6993.418338,0.0
544,291,6888.858209,6888.858209,0.0
545,329,6809.20576,6809.20576,0.0
546,288,6047.478884,6047.478884,0.0
547,266,6087.050519,6087.050519,0.0
548,165,3759.789817,3759.789817,0.0
549,293,6646.116707,6646.116707,0.0
550,318,5829.240935,5829.240935,0.0
551,277,6155.306163,6155.306163,0.0
552,269,6806.175024,6806.175024,0.0
553,264,6411.481603,6411.481603,0.0
554,297,6941.943156,6941.943156,0.0
555,256,6348.233367,6348.233367,0.0
556,291,7243.478114,7243.478114,0.0
557,286,6182.580173,6182.580173,0.0
558,255,6417.520935,6417.520935,0.0
559,323,6540.443262,6540.443262,0.0
560,284,6949.565192,6949.565192,0.0
561,312,7343.426001,7343.426001,0.0
562,274,6098.148317,6098.148317,0.0
563,311,6870.773886,6870.773886,0.0
564,315,7249.711961,7249.711961,0.0
565,269,6654.428533,6654.428533,0.0
566,238,6512.832645,6512.832645,0.0
567,275,6588.917471,6588.917471,0.0
568,275,7110.027992,7110.027992,0.0
569,299,6613.537169,6613.537169,0.0
570,296,7102.137406,7102.137406,0.0
571,294,6477.603365,6477.603365,0.0
572,262,6972.402538,6972.402538,0.0
573,253,6287.843734,6287.843734,0.0
574,194,5621.559279,5621.559279,0.0
575,266,6629.268855,6629.268855,0.0
576,327,6368.643965,6368.643965,0.0
577,302,7091.186953,7091.186953,0.0
578,319,7525.177493,7525.177493,0.0
579,356,7204.854537,7204.854537,0.0
580,251,5601.739941,5601.739941,0.0
581,204,5472.516767,5472.516767,0.0
582,267,6752.687772,6752.687772,0.0
583,286,7153.214687,7153.214687,0.0
584,252,6612.526803,6612.526803,0.0
585,298,6675.805722,6675.805722,0.0
586,249,5645.716598,5645.716598,0.0
587,261,6613.092841,6613.092841,0.0
588,295,6443.518204,6443.518204,0.0
589,305,6887.973279,6887.973279,0.0
590,289,6376.760884,6376.760884,0.0
591,259,7055.949166,7055.949166,0.0
592,272,6243.364521,6243.364521,0.0
593,275,7087.130996,7087.130996,0.0
594,291,6415.297049,6415.297049,0.0
595,337,7627.818793,7627.818793,0.0
596,314,6770.995167,6770.995167,0.0
597,259,6310.966146,6310.966146,0.0
598,305,6453.695291,6453.695291,0.0
599,230,6147.442519,6147.442519,0.0
600,282,6673.859687,6673.859687,0.0
601,315,6438.956561,6438.956561,0.0
602,302,6398.281717,6398.281717,0.0
603,323,6175.703942,6175.703942,0.0
604,289,6503.942005,6503.942005,0.0
605,212,5143.402639,5143.402639,0.0
606,186,4775.471375,4775.471375,0.0
607,304,7082.446734,7082.446734,0.0
608,287,7241.259741,7241.259741,0.0
609,273,6673.370393,6673.370393,0.0
610,263,6505.398683,6505.398683,0.0
611,292,7534.852508,7534.852508,0.0
612,246,7151.981024,7151.981024,0.0
613,260,6215.656825,6215.656825,0.0
614,269,6214.697031,6214.697031,0.0
615,298,7782.873161,7782.873161,0.0
616,312,7337.660534,7337.660534,0.0
617,327,6716.347358,6716.347358,0.0
618,325,6432.886474,6432.886474,0.0
619,309,6583.676004,6583.676004,0.0
620,322,6766.125924,6766.125924,0.0
621,336,8106.072441,8106.072441,0.0
622,237,5747.057739,5747.057739,0.0
623,290,7084.929384,7084.929384,0.0
624,294,6271.73021,6271.73021,0.0
625,314,6230.232099,6230.232099,0.0
626,303,7657.78218,7657.78218,0.0
627,315,6795.114278,6795.114278,0.0
628,336,6977.954432,6977.954432,0.0
629,172,4877.195431,4877.195431,0.0
630,329,7191.398223,7191.398223,0.0
631,298,6600.134935,6600.134935,0.0
632,280,6200.183761,6200.183761,0.0
633,323,6547.50463,6547.50463,0.0
634,302,6453.406894,6453.406894,0.0
635,191,5444.018637,5444.018637,0.0
636,296,7734.010869,7734.010869,0.0
637,319,6102.365615,6102.365615,0.0
638,331,6626.539,6626.539,0.0
639,312,6607.444511,6607.444511,0.0
640,238,6446.368582,6446.368582,0.0
641,297,6611.846494,6611.846494,0.0
642,248,6449.51122,6449.51122,0.0
643,289,6685.300592,6685.300592,0.0
644,310,8284.561112,8284.561112,0.0
645,302,7042.3569,7042.3569,0.0
646,302,6527.696655,6527.696655,0.0
647,269,6775.128848,6775.128848,0.0
648,326,6666.554293,6666.554293,0.0
649,339,7683.804766,7683.804766,0.0
650,344,6829.716601,6829.716601,0.0
651,339,6557.808402,6557.808402,0.0
652,342,7171.574039,7171.574039,0.0
653,268,6127.988855,6127.988855,0.0
654,308,6101.265351,6101.265351,0.0
655,293,6791.77532,6791.77532,0.0
656,252,7043.272958,7043.272958,0.0
657,344,7495.160873,7495.160873,0.0
658,295,8000.865245,8000.865245,0.0
659,309,7043.155301,7043.155301,0.0
660,307,6233.143234,6233.143234,0.0
661,323,6701.507117,6701.507117,0.0
662,259,6584.004453,6584.004453,0.0
663,330,6507.641724,6507.641724,0.0
664,298,6489.170718,6489.170718,0.0
665,268,6488.675859,6488.675859,0.0
666,282,6952.496716,6952.496716,0.0
667,317,8789.321842,8789.321842,0.0
668,285,6674.219841,6674.219841,0.0
669,309,7373.026212,7373.026212,0.0
670,216,5463.026252,5463.026252,0.0
671,300,6713.139642,6713.139642,0.0
672,234,5645.754906,5645.754906,0.0
673,288,6527.433455,6527.433455,0.0
674,322,5995.733928,5995.733928,0.0
675,299,6129.572361,6129.572361,0.0
676,253,6348.560828,6348.560828,0.0
677,267,6718.421238,6718.421238,0.0
678,265,7037.672137,7037.672137,0.0
679,221,5173.652422,5173.652422,0.0
680,307,6542.503087,6542.503087,0.0
681,353,7069.151051,7069.151051,0.0
682,281,6020.136629,6020.136629,0.0
683,304,6281.820733,6281.820733,0.0
684,262,6530.199945,6530.199945,0.0
685,262,6048.209115,6048.209115,0.0
686,270,6399.024135,6399.024135,0.0
687,276,6191.480794,6191.480794,0.0
688,284,6948.515925,6948.515925,0.0
689,287,6548.233409,6548.233409,0.0
690,332,6375.475244,6375.475244,0.0
691,272,7078.125528,7078.125528,0.0
692,208,5025.663801,5025.663801,0.0
693,229,5849.350664,5849.350664,0.0
694,271,6013.374439,6013.374439,0.0
695,300,6207.589122,6207.589122,0.0
696,294,7256.608578,7256.608578,0.0
697,310,6548.845527,6548.845527,0.0
698,325,6384.984328,6384.984328,0.0
699,336,7242.067394,7242.067394,0.0
700,277,6323.422526,6323.422526,0.0
701,283,6555.467924,6555.467924,0.0
702,277,6923.331739,6923.331739,0.0
703,292,6727.988035,6727.988035,0.0
704,253,6139.373153,6139.373153,0.0
705,300,6766.248922,6766.248922,0.0
706,330,6741.3648,6741.3648,0.0
707,303,7023.126137,7023.126137,0.0
708,277,6735.14169,6735.14169,0.0
709,216,5545.573545,5545.573545,0.0
710,326,6751.149488,6751.149488,0.0
711,294,7271.97539,7271.97539,0.0
712,337,6605.721734,6605.721734,0.0
713,290,6430.376077,6430.376077,0.0
714,302,6628.493685,6628.493685,0.0
715,275,6348.468913,6348.468913,0.0
716,267,6071.670039,6071.670039,0.0
717,343,6668.970906,6668.970906,0.0
718,288,6975.092276,6975.092276,0.0
719,279,6648.436998,6648.436998,0.0
720,354,6580.937613,6580.937613,0.0
721,308,6988.630572,6988.630572,0.0
722,355,7337.70288,7337.70288,0.0
723,291,7083.950459,7083.950459,0.0
724,298,6347.498719,6347.498719,0.0
725,313,7226.22453,7226.22453,0.0
726,294,6312.041802,6312.041802,0.0
727,283,6949.429502,6949.429502,0.0
728,335,6747.056887,6747.056887,0.0
729,305,6095.647951,6095.647951,0.0
730,318,6747.266004,6747.266004,0.0
731,321,6612.627385,6612.627385,0.0
732,310,6815.143393,6815.143393,0.0
733,302,6010.916997,6010.916997,0.0
734,305,6898.034961,6898.034961,0.0
735,305,6632.07566,6632.07566,0.0
736,321,7167.590446,7167.590446,0.0
737,302,6638.747052,6638.747052,0.0
738,299,6124.902289,6124.902289,0.0
739,340,6570.21094,6570.21094,0.0
740,330,7050.591975,7050.591975,0.0
741,315,6557.650187,6557.650187,0.0
742,295,6552.027227,6552.027227,0.0
743,277,6483.250569,6483.250569,0.0
744,319,6878.134728,6878.134728,0.0
745,267,6569.148363,6569.148363,0.0
746,272,6909.268584,6909.268584,0.0
747,293,7995.759224,7995.759224,0.0
748,304,6323.526134,6323.526134,0.0
749,193,4782.724753,4782.724753,0.0
