id,step,phase,N,time_s,nodes,sample_group,remaining_cost,spearman,constant_prediction,top1_optimal,top3_best_recall,top3_overlap,predictor_regret,R12_regret,predictor_gain,top3_available_gain,margin,H1_pred,H1_R12,H2_pred,H2_R12,H3_pred,H3_R12
378,11,middle,16,3683.73744,14,middle,2076.671956,0.4813186813186813,False,False,True,0.3333333333333333,119.98401300000023,86.15228200000001,-33.83173100000022,86.15228200000001,0.28739370808479114,True,True,False,False,False,False
378,15,late,16,4859.61188,10,N16_late,900.7975159999996,0.38181818181818183,False,False,True,0.6666666666666666,170.51433599999928,234.36574399999972,63.85140800000045,234.36574399999972,0.4215549456249542,True,True,False,False,True,False
379,17,late,16,5016.929908,8,N16_late,693.6004720000001,0.28571428571428575,False,False,True,0.6666666666666666,438.5814419999997,452.6829509999998,14.101509000000078,452.6829509999998,0.0005229783617703987,False,False,False,False,False,False
381,14,late,16,5169.217436,11,late,1933.7294499999998,0.33257489473208984,False,False,True,0.6666666666666666,243.08710800000063,336.9500109999999,93.86290299999928,336.9500109999999,0.33899326079590364,True,False,False,False,True,False
382,13,middle,16,4228.89712,12,middle,2375.299967,0.4265734265734266,False,False,True,0.6666666666666666,2.26075899999978,168.10636499999964,165.84560599999986,168.10636499999964,0.4178297525784298,True,False,False,False,True,False
382,15,late,16,4822.370486,10,N16_late,1781.8266009999998,0.012158110873601292,False,False,True,0.3333333333333333,396.1019040000001,252.38957799999935,-143.71232600000076,252.38957799999935,0.3284894670570466,True,False,False,False,True,False
382,19,late,16,5634.035818,6,late,970.1612689999993,-0.2,False,False,True,0.3333333333333333,868.6329579999992,77.58580899999924,-791.047149,77.58580899999924,0.23836540673158002,False,False,False,False,False,False
383,3,early,16,1048.401515,22,early,5004.1913939999995,-0.29531338226990406,False,False,False,0.0,1809.2447380000008,1717.6965809999997,-91.54815700000108,238.86974699999882,0.1817302754307062,True,True,False,False,False,False
383,5,early,16,1599.828418,20,early,4452.764491,-0.23759398496240602,False,False,False,0.0,1330.8046859999995,1660.2256459999999,329.4209600000004,329.4209600000004,0.6731705641601282,True,False,False,False,False,False
383,8,middle,16,2338.200504,17,middle,3714.392405,-0.49509803921568635,False,False,False,0.0,1403.577781,1308.6902,-94.88758099999995,-94.88758099999995,0.7032151700540703,True,False,False,False,False,False
383,9,middle,16,2465.182647,16,middle,3587.410262,-0.43529411764705883,False,False,False,0.0,1428.9601160000002,1148.3863270000002,-280.57378900000003,-280.57378900000003,0.6466561649199508,True,False,False,False,False,False
383,15,late,16,4283.169803,10,N16_late,1769.4231060000002,-0.6242424242424242,False,False,False,0.0,624.367193,0.0,-624.367193,-624.367193,0.4184391529663355,True,True,False,False,False,False
383,17,late,16,4702.654968,8,N16_late,1349.9379410000001,-0.6904761904761906,False,False,False,0.0,1169.7517120000002,387.02961099999993,-782.7221010000003,-406.8256000000001,0.5248396944064901,True,False,False,False,False,False
383,18,late,16,5045.517909,7,N16_late,1007.0749999999998,-0.5714285714285715,False,False,False,0.0,680.4379880000006,220.43653900000027,-460.0014490000003,0.0,0.04550266741794662,True,True,False,False,False,False
383,20,late,16,5351.255029,5,late,701.33788,-0.7,False,False,False,0.3333333333333333,663.9183039999998,0.0,-663.9183039999998,-253.14334599999984,0.07361533068473936,False,True,False,False,False,True
384,13,late,16,3582.193104,12,late,2208.9729829999997,0.27272727272727276,False,False,True,0.6666666666666666,33.221363999999994,86.36986199999956,53.14849799999956,86.36986199999956,0.4306147877471489,True,True,False,False,False,False
386,6,early,16,1896.30875,19,early,4961.746251,-0.05263157894736842,False,False,False,0.0,657.5488800000003,800.995594,143.4467139999997,143.4467139999997,0.7070403040901827,True,False,False,False,False,False
386,17,late,16,4871.828044,8,N16_late,1986.2269569999999,0.6666666666666669,False,False,True,0.6666666666666666,71.70528300000024,255.4646329999996,183.75934999999936,255.4646329999996,0.29321225354120417,True,False,False,False,True,False
386,20,late,16,5707.575467,5,N16_late,1150.479534,-0.3,False,False,False,0.6666666666666666,94.34704000000056,0.0,-94.34704000000056,-94.34704000000056,0.07640887568470889,True,True,False,False,True,True
387,17,late,16,4722.036755,8,N16_late,2293.518664,-0.4761904761904762,False,False,True,0.3333333333333333,851.177576,469.1290370000006,-382.04853899999944,469.1290370000006,0.2945296351541554,True,False,False,False,False,False
387,22,late,16,6124.42215,3,late,891.1332689999999,1.0,False,True,True,1.0,0.0,31.15491900000052,31.15491900000052,31.15491900000052,0.00830522160281133,True,True,False,False,True,False
388,17,late,16,4799.360865,8,N16_late,2361.8218210000005,0.6904761904761906,False,True,True,1.0,0.0,198.7764470000002,198.7764470000002,198.7764470000002,0.2583690926803023,True,True,False,False,False,False
388,20,late,16,5511.974105,5,N16_late,1649.2085809999999,-0.49999999999999994,False,False,False,0.3333333333333333,345.3785799999996,300.4266889999999,-44.951890999999705,182.4509539999999,0.18910612140356864,False,False,False,False,False,False
389,1,early,16,119.0,24,early,6300.62988,0.10828441221409092,False,False,False,0.0,531.1664869999995,390.78240900000037,-140.38407799999914,0.0,0.00030701020080170505,True,True,False,False,False,False
389,3,early,16,1278.3308,22,early,5141.299080000001,-0.5098814229249012,False,False,False,0.0,874.288117,54.333755000000565,-819.9543619999995,-819.9543619999995,0.4470213736799459,True,True,False,False,False,False
389,13,late,16,4271.127352,12,N16_late,2148.502528,-0.18181818181818185,False,False,True,0.3333333333333333,956.755647,55.11362000000008,-901.6420269999999,55.11362000000008,0.4016320327728039,False,False,False,False,False,False
389,14,late,16,4674.175266,11,N16_late,1745.4546140000002,-0.02727272727272728,False,False,True,0.3333333333333333,982.9744469999996,366.838624,-616.1358229999996,366.838624,0.3679395915108773,False,False,False,False,False,False
390,7,middle,16,2149.940494,18,middle,3113.732636,0.1475748194014448,False,False,False,0.0,2061.367505999999,0.0,-2061.367505999999,-352.44145800000024,0.5801960764609139,True,True,False,False,False,False
390,8,middle,16,2420.940494,17,middle,2842.732636,0.22549019607843138,False,False,False,0.0,2030.5245099999997,0.0,-2030.5245099999997,-868.8093200000003,0.34440758442756036,True,True,False,False,False,False
390,10,late,16,2949.106399,15,N16_late,2314.5667310000003,0.682142857142857,False,False,False,0.3333333333333333,258.3601150000004,47.978879000000234,-210.38123600000017,-210.38123600000017,0.257001826994964,True,True,False,False,False,False
390,13,late,16,4331.997975,12,N16_late,931.6751549999999,-0.4265734265734266,False,False,False,0.0,1633.6662019999994,0.0,-1633.6662019999994,-1275.1892550000002,0.23750577367205516,False,False,False,False,False,False
391,2,early,16,982.557945,23,early,4258.262637,0.21936758893280633,False,False,False,0.3333333333333333,1832.261128999999,363.6878039999997,-1468.5733249999994,-58.98079300000063,0.18716612364032292,True,True,False,False,False,False
