id,step,group,N,node,probability,cost,gain,prediction_rank,cost_rank,hit,quick_clear,release16
658,18,late,12,4,0.36649548092868034,2013.6291460000002,-545.4147970000004,4.0,6.0,False,False,False
658,18,late,12,5,0.12614231903934625,2041.067336,-572.8529870000002,7.0,7.0,False,False,False
658,18,late,12,6,0.3870494517663885,1739.5457690000003,-271.33142000000043,2.0,3.0,False,False,False
659,23,late,13,0,0.013607722437197656,317.6653319999996,0.0,2.0,1.0,False,False,False
659,23,late,13,1,0.03457741171572404,473.6831889999994,-156.01785699999982,1.0,2.0,False,False,False
660,15,middle,14,0,0.020774804457736495,2261.4390679999997,0.0,10.0,1.0,False,False,False
660,15,middle,14,1,0.406343816062799,2451.143819,-189.70475100000021,7.0,2.5,False,False,False
660,15,middle,14,2,0.5249926065186481,2451.143819,-189.70475100000021,5.0,2.5,False,False,False
660,15,middle,14,3,0.6513539467173373,2714.315627,-452.87655900000027,1.0,4.0,True,False,False
660,15,middle,14,4,0.6225461305953589,2731.144133,-469.7050650000001,3.0,5.0,True,False,False
660,15,middle,14,5,0.5895020837177481,3238.5817049999996,-977.1426369999999,4.0,10.0,True,False,False
660,15,middle,14,6,0.6401724452288267,2841.369248,-579.9301800000003,2.0,6.0,False,False,False
660,15,middle,14,7,0.4361028469542645,3142.7530449999995,-881.3139769999998,6.0,7.0,True,False,False
660,15,middle,14,8,0.40529524705783493,3177.997133,-916.5580650000002,8.0,9.0,True,False,False
660,15,middle,14,9,0.12439875389308397,3143.102194,-881.6631260000004,9.0,8.0,False,False,False
660,24,late,14,0,0.022082913471092924,232.6831890000003,0.0,1.0,1.0,False,False,False
662,0,early,10,0,0.996108384677589,6565.449974,0.0,1.0,1.0,True,False,False
662,0,early,10,1,0.9884761912326466,7218.277327,-652.8273529999997,5.0,9.0,True,False,False
662,0,early,10,2,0.9884835720847396,7081.1902,-515.7402259999999,4.0,2.0,True,False,False
662,0,early,10,3,0.8334448530614802,7249.439286,-683.9893119999997,24.0,11.0,False,False,False
662,0,early,10,4,0.8593481230082713,7494.172616,-928.7226419999997,16.5,19.0,True,False,False
662,0,early,10,5,0.913016104436036,7613.240233,-1047.7902590000003,12.0,22.0,True,False,False
662,0,early,10,6,0.8339176192276415,7336.343589,-770.893615,21.0,13.0,True,False,False
662,0,early,10,7,0.8596272587920986,7104.815385,-539.3654109999998,15.0,4.0,True,False,False
662,0,early,10,8,0.9132230277411864,7081.799701,-516.3497269999998,10.0,3.0,True,False,False
662,0,early,10,9,0.8335904547469071,7762.578565,-1197.1285909999997,23.0,24.0,False,False,False
662,0,early,10,10,0.9884628945388296,7845.091002,-1279.641028,6.0,25.0,True,False,False
662,0,early,10,11,0.988576192470848,7193.654931,-628.2049569999999,2.0,8.0,True,False,False
662,0,early,10,12,0.9131639541965223,7373.227082,-807.7771080000002,11.0,16.0,True,False,False
662,0,early,10,13,0.8590684633682323,7163.666929,-598.2169549999999,19.0,6.0,False,False,False
662,0,early,10,14,0.8339902399204127,7226.842682,-661.3927080000003,20.0,10.0,True,False,False
662,0,early,10,15,0.9135080162075038,7428.454213,-863.0042389999999,8.0,18.0,True,False,False
662,0,early,10,16,0.8601376502285261,7526.604598,-961.1546239999998,14.0,21.0,True,False,False
662,0,early,10,17,0.8338631340241456,7521.981361,-956.531387,22.0,20.0,True,False,False
662,0,early,10,18,0.9133213994705629,7325.037825,-759.5878510000002,9.0,12.0,True,False,False
662,0,early,10,19,0.8590995625598239,7368.718179,-803.2682050000003,18.0,14.0,True,False,False
662,0,early,10,20,0.8332991310898219,7184.589625,-619.1396509999995,25.0,7.0,True,False,False
662,0,early,10,21,0.8593481230082713,7371.132329,-805.6823549999999,16.5,15.0,False,False,False
662,0,early,10,22,0.9129075304908125,7391.434284,-825.9843099999998,13.0,17.0,True,False,False
662,0,early,10,23,0.9884377393674262,7742.912411,-1177.4624370000001,7.0,23.0,True,False,False
662,0,early,10,24,0.9885262938354676,7128.572724,-563.1227499999995,3.0,5.0,True,False,False
662,2,early,10,0,0.7649786662547867,5990.950383,0.0,16.0,1.0,True,False,False
662,2,early,10,1,0.5187694020301363,6170.660103,-179.70971999999983,19.0,2.0,True,False,False
662,2,early,10,2,0.48036807372829093,6173.4885300000005,-182.5381470000002,22.0,3.0,True,False,False
662,2,early,10,3,0.28312874690488665,6225.1810940000005,-234.23071100000016,23.0,6.0,False,False,False
662,2,early,10,4,0.5155010673421346,6771.5546,-780.6042170000001,20.0,18.0,False,False,False
662,2,early,10,5,0.48207990674331447,7118.579205,-1127.6288219999997,21.0,23.0,False,False,False
662,2,early,10,6,0.6710020465361921,6302.819595,-311.8692119999996,18.0,9.0,True,False,False
662,2,early,10,7,0.8288331943267558,6495.375033,-504.42464999999993,6.0,11.0,True,True,False
662,2,early,10,8,0.7920898035550319,6517.736008,-526.7856249999995,13.0,12.0,True,False,False
662,2,early,10,9,0.7943750056522688,6564.159502,-573.2091190000001,12.0,15.0,True,False,False
662,2,early,10,10,0.8559546291602621,6561.0525640000005,-570.1021810000002,4.0,14.0,True,False,False
662,2,early,10,11,0.8144898591314098,6272.364068,-281.41368499999953,8.0,8.0,True,False,False
662,2,early,10,12,0.7957069700988151,6900.273774,-909.3233909999999,10.0,22.0,True,False,False
662,2,early,10,13,0.9125723385041452,6197.570799,-206.62041599999975,1.0,5.0,True,False,False
662,2,early,10,14,0.8558720797038928,6771.958018,-781.0076349999999,5.0,19.0,True,False,False
662,2,early,10,15,0.813997102589658,6828.764162,-837.8137790000001,9.0,21.0,False,False,False
662,2,early,10,16,0.7945454787715072,6825.430125,-834.4797419999995,11.0,20.0,False,False,False
662,2,early,10,17,0.8286644686962434,6622.619406,-631.6690229999995,7.0,16.0,True,False,False
662,2,early,10,18,0.7920036644662869,6643.548478000001,-652.5980950000003,14.0,17.0,True,False,False
662,2,early,10,19,0.6729106022931015,6520.545418000001,-529.5950350000003,17.0,13.0,False,False,False
662,2,early,10,20,0.9059867807620028,6227.946384,-236.99600099999952,3.0,7.0,True,False,False
662,2,early,10,21,0.9063803050307863,6407.163175000001,-416.21279200000026,2.0,10.0,True,False,False
662,2,early,10,22,0.7650427939685561,6181.688994,-190.73861099999976,15.0,4.0,True,False,False
662,10,middle,10,0,0.38576132959913567,3725.303125,0.0,14.5,1.0,False,False,False
662,10,middle,10,1,0.8513318557376008,3936.0597599999996,-210.75663499999973,3.0,2.0,True,False,False
662,10,middle,10,2,0.6078548245715955,4052.5112999999997,-327.20817499999976,11.0,4.0,False,False,False
662,10,middle,10,3,0.5498348495929846,4017.1860869999996,-291.8829619999997,12.0,3.0,False,False,False
662,10,middle,10,4,0.7404813022521867,4087.5529299999994,-362.24980499999947,9.0,5.0,True,False,False
662,10,middle,10,5,0.8599752689132574,4398.2278320000005,-672.9247070000006,2.0,8.0,True,False,False
662,10,middle,10,6,0.8186277735218713,4395.279643,-669.9765179999999,5.0,7.0,True,False,False
662,10,middle,10,7,0.8007382463704559,4629.927706999999,-904.624581999999,6.0,10.0,True,False,False
662,10,middle,10,8,0.916800250688598,4362.683235999999,-637.380110999999,1.0,6.0,True,False,False
662,10,middle,10,9,0.8353535548895545,4696.22753,-970.9244050000002,4.0,11.0,True,False,False
662,10,middle,10,10,0.7956777307858451,4757.423599,-1032.1204739999998,7.0,12.0,False,False,False
662,10,middle,10,11,0.6621582713881575,4930.206678999999,-1204.903553999999,10.0,15.0,False,False,False
662,10,middle,10,12,0.7629934302435543,4590.633769,-865.3306440000001,8.0,9.0,True,False,False
662,10,middle,10,13,0.43333961514897346,4796.5971420000005,-1071.2940170000006,13.0,13.0,True,False,False
662,10,middle,10,14,0.38576132959913567,4799.5544709999995,-1074.2513459999996,14.5,14.0,True,False,False
662,20,late,10,0,0.017427685243805557,1052.8321409999999,0.0,5.0,1.0,False,False,False
662,20,late,10,1,0.1889964031331769,1283.462203,-230.63006200000018,1.0,3.0,False,False,False
662,20,late,10,2,0.16231101657619218,1253.9410349999998,-201.10889399999996,4.0,2.0,False,False,False
662,20,late,10,3,0.1798121527740939,1344.8914589999995,-292.0593179999996,2.0,4.0,False,False,False
662,20,late,10,4,0.1747229912733037,1351.4071409999997,-298.5749999999998,3.0,5.0,False,False,False
663,5,early,11,0,0.39947254508958174,6142.801565,0.0,19.0,5.0,True,False,False
663,5,early,11,1,0.3572045573033463,6138.97814,3.823424999999588,20.0,4.0,True,False,False
663,5,early,11,2,0.6218087183855763,6072.1914050000005,70.61015999999927,16.0,3.0,True,False,False
663,5,early,11,3,0.793298716093408,6301.857317,-159.0557520000002,6.0,8.0,True,False,False
663,5,early,11,4,0.7546020301664711,6295.864941,-153.06337600000006,11.0,7.0,True,False,False
663,5,early,11,5,0.7571481408153924,7438.397738,-1295.596173,10.0,18.0,True,False,False
663,5,early,11,6,0.8229033690127436,6650.5922390000005,-507.79067400000076,4.0,13.0,False,False,False
663,5,early,11,7,0.7783601957726316,6551.148657,-408.347092,7.0,11.0,False,False,False
663,5,early,11,8,0.7585457816073803,6616.944031,-474.14246600000024,9.0,12.0,True,False,False
663,5,early,11,9,0.8861108580098271,6689.186635,-546.3850700000003,1.0,14.0,True,False,False
663,5,early,11,10,0.8228134257910713,6227.1341760000005,-84.33261100000072,5.0,6.0,True,False,False
663,5,early,11,11,0.7778377590410772,6539.289313,-396.48774800000047,8.0,10.0,True,False,False
663,5,early,11,12,0.752031967882149,6325.401239,-182.59967400000005,12.0,9.0,False,False,False
663,5,early,11,13,0.7281191805967966,7780.961117999999,-1638.1595529999995,13.0,20.0,False,False,False
663,5,early,11,14,0.6881371810727523,7768.618052,-1625.816487,15.0,19.0,False,False,False
663,5,early,11,15,0.4244821706188303,7194.766002,-1051.9644370000005,18.0,17.0,False,False,False
663,5,early,11,16,0.575272738968426,5885.029338,257.7722269999995,17.0,1.0,False,False,False
663,5,early,11,17,0.8612984418484053,6838.704311,-695.9027460000007,3.0,15.0,False,False,False
