seed,index,remaining,r12_m,reference_m,gap,saving_s,reference_kind,reference_wall_s,r12_wall_s
380,19,7,5324.403317239074,4963.155932242378,0.07278582215197138,72.2494769993391,exact_dp_fp64,1.4699995517730713e-05,0.001259800003026612
380,20,7,5301.737332837702,4946.552562446912,0.07180450746389934,71.03695407815795,exact_dp_fp64,1.2799995602108538e-05,0.0010726000036811456
380,21,5,3607.9004990396907,3607.9004990396907,0.0,0.0,exact_dp_fp64,5.199995939619839e-06,0.00016490000416524708
380,22,5,3631.995175503708,3631.995175503708,0.0,0.0,exact_dp_fp64,3.300010575912893e-06,0.00015490000077988952
380,23,3,1343.845942381257,1343.845942381257,0.0,0.0,exact_dp_fp64,1.6999983927235007e-06,0.0001939999929163605
381,0,23,18247.708811447494,17519.203583120157,0.04158323892241624,145.70104566546723,multistart_2opt_relocate,0.0036414000060176477,0.006346599999233149
381,1,23,17035.76995798069,17035.76995798069,0.0,0.0,multistart_2opt_relocate,0.003771699994103983,0.018836400005966425
381,2,23,17011.45178510163,17011.45178510163,0.0,0.0,multistart_2opt_relocate,0.0034349999914411455,0.013974599991342984
381,3,23,17021.286917160578,17021.286917160578,0.0,0.0,multistart_2opt_relocate,0.00387879999470897,0.0107958000007784
381,4,20,16389.34071253563,15679.251429193822,0.04528846842902626,142.01785666836184,multistart_2opt_relocate,0.002520499998354353,0.004157199990004301
