audit,delta,directional_count,full,historical_B,historical_failed,id,revised_B,revised_failed,scene_hash,total
True,0.1784947999999531,1,True,421.6922704666667,0,15,421.87076526666664,0,ec6cadb444f05773b27a795aa75034a3e218315eee006770d25eba59fd07e103,15
True,0.0,13,True,521.3833264615384,0,16,521.3833264615384,0,5b71c8be497d0cfa2e1d2be364568f5410dcc7080d2b689cec725583ee7c09fd,13
True,0.0,11,True,667.57384675,0,17,667.57384675,0,1976bf0c964704ebd5d3ec8f1b029b8a13c8480881b1dbaead35269d38fdb7cb,12
True,0.2553180714285759,2,True,480.93291371428575,0,18,481.1882317857143,0,38dba346665d8ee34c5bef28ff8a8d4ca78bc0123aac336cf577ecbd67efe8c6,14
True,-5.440000001044609e-05,1,True,424.2696452,0,19,424.2695908,0,01131bf00ddf18fa15c78403684101dd5d9099ec8196cab3bb29b60b4ead9150,15
True,0.0,9,True,255.9630410625,0,20,255.9630410625,0,8aac9b224b50a1d7ba2f4b40254ab26865429e16792f463d5074530d28277198,16
True,0.0,4,True,529.1719525384616,0,21,529.1719525384616,0,2c1c64725cd12574613350fa1cb48ddbebb688407f824024fc99f75cc23da7f2,13
True,0.0,10,True,677.58386825,0,22,677.58386825,0,308d672db22495c7efc7c676ccfea259a7da15194d980cb9602e13830ba85fbf,12
True,0.0,12,True,484.340579875,0,23,484.340579875,0,328cc1a48bbe255fbe78de8805be77577e5b83333cc20791c90f5aaa581b8980,16
True,0.0,4,True,497.6046041538462,0,24,497.6046041538462,0,baffa4a45fa0660793f446b33ee69e606a8196c8e57db11c84c411abf1e07cfd,13
True,0.004867214285752652,14,True,510.28066135714283,0,25,510.2855285714286,0,e54d042d9e1b3f7c16af96c45964a26b2138307d483c5b7c5fcff3d6451ad7c3,14
True,0.0,10,True,588.1565615000001,0,26,588.1565615000001,0,74b8ce4f7c334003d68f796349ee4e27280c802ddc599b86c610422b772f0adf,12
True,-0.09110128571427367,5,True,470.2669824285714,0,27,470.1758811428571,0,f7d87d1d2bd37b09713adcdac72aabf1e60be71d85e1d9b388fe07ed32f9dae4,14
True,0.0,6,True,518.0638435,0,28,518.0638435,0,020e335528dc02ee1b24ed57e2cafb65fcf93e4505ac78462e33de30649a934e,14
True,0.0,8,True,373.1264720625,0,29,373.1264720625,0,c20c5591e799bde0cd4e99d392fb117b14266664a7523efb7a952eab54c248c9,16
True,0.0,13,True,545.9459176923077,0,30,545.9459176923077,0,f3a2f1c7cabdfa0c97f04a313e0b6f0d1d475fd62d0a9f291e8030ece44b155e,13
True,0.0,3,True,489.1471776428571,0,31,489.1471776428571,0,df2290683a6271db19d4175c708f36bec9d13dc45f1335042730d1aafd77fc5a,14
True,0.0641549000000623,4,True,593.5369991,0,32,593.6011540000001,0,235d3cf9d160fd235f785e8e3e1e341aa18b5ad41e5f0211654fc37a18b26784,10
True,0.0,9,True,782.0298454,0,33,782.0298454,0,2666922a299d658b00be238f7a9c447997c049f4aeb717c2be69b4b9685fc53a,10
True,0.0,5,True,505.63833107692307,0,34,505.63833107692307,0,29fec4f2f9c984168bc2378c6d0a4a465dcb89b265cf13ecb1ec2cf57c40aa9b,13
True,-0.09996435714288054,1,True,411.3056542857143,0,35,411.2056899285714,0,f97d8b5d3c60c51977faa371653052c4ad838c12eb1ca04da28b6ef5be147bd1,14
True,0.0,13,True,374.9853844375,0,36,374.9853844375,0,cb2803fc318c4bdaa9839fda2492c3f49557782e6b88f8d9496a5d26b33d2ab8,16
