id,step,node,probability_range,mean_probability
472,4,1,7.008341618097713e-05,0.09432628931278438
472,4,2,0.00010767324251792498,0.1019616115648199
472,4,3,0.00018455401616834788,0.10730084074735802
472,4,4,0.00018591014256863492,0.20234778061315542
472,4,5,0.0003024596492965381,0.19541024884117522
472,4,6,0.00014237835052632875,0.22738316033174896
472,4,7,8.578785886548257e-05,0.20482920203737864
472,4,8,0.0001545920805557932,0.2023759267926454
472,4,9,0.00018805419341771934,0.195286353773122
472,4,10,0.00014550009220115623,0.1155785740649053
472,4,11,0.00039906161219049885,0.24060028321100715
472,4,12,0.00021963776349620545,0.21987611012439998
472,4,13,5.621587820070495e-05,0.3483384167974209
472,4,14,9.87172063675601e-05,0.46610909198742423
472,4,15,0.00027967423880170816,0.43390584740309107
472,4,16,6.957505287852328e-05,0.34830986435824146
472,4,17,0.00015982835543293383,0.2199473829047669
472,4,18,0.00023015855687291698,0.24064377582448257
472,4,19,0.00020836488144115872,0.4195421832240129
472,4,20,0.00010242191330878114,0.4194748092887542
479,21,0,0.00024210458841800175,0.014537974374242387
479,21,1,0.00019960081428238574,0.033988791292258215
479,21,2,0.00012602761630808867,0.07255694431846549
479,21,3,6.433794352389555e-05,0.07249049953617082
484,1,0,5.748741353261977e-05,0.8040541450647178
484,1,1,0.0001423134420025507,0.8040896974476225
484,1,2,0.00011138782743291831,0.7314694313203965
484,1,3,0.000121880176034872,0.6828700311330848
484,1,4,0.00011854793549104237,0.6615546886238414
484,1,5,0.00018675264084100363,0.7314527093104006
484,1,6,0.0002445246372582144,0.6829249147983566
484,1,7,0.00039564501587452394,0.6614691950443315
484,1,8,0.00016219760055047328,0.7314050554660932
484,1,9,4.3435631248645024e-05,0.6829145475609973
484,1,10,0.00010446214047610258,0.6613892190062883
484,1,11,0.0001534885175167311,0.7314249237507481
484,1,12,0.00010399680282147106,0.6828398233244969
484,1,13,0.0001560693356827958,0.6614089046498192
484,1,14,0.00026527930048270143,0.8041235400515886
484,1,15,0.00022540802094739298,0.7314899300167816
484,1,16,0.00023694074702906853,0.6830194339642682
484,1,17,0.00020630267240540068,0.6615571373626127
484,1,18,2.3136398537682012e-05,0.7315068202303706
484,1,19,4.562851608080898e-05,0.6829821963428975
484,1,20,5.6514180813982406e-05,0.6615470230547368
484,1,21,0.0001579531654419819,0.8041016988472163
484,1,22,8.37926291972213e-05,0.8041627200209995
484,1,23,0.00013198097724342883,0.8040808316996703
486,11,0,0.00016244273298937628,0.19806950632500897
486,11,1,0.00011879324692709581,0.17283913555604258
486,11,2,1.1324114237543093e-05,0.3494633374942662
486,11,3,7.933058682674243e-05,0.4368885837375121
486,11,4,4.4328116776792825e-05,0.5145543351211002
486,11,5,0.00017530313969771338,0.47099154074912747
486,11,6,0.00012955398487690672,0.4744812911626571
486,11,7,2.8017928040968698e-05,0.6218062994938236
486,11,8,0.0002646447226133386,0.4369315770034364
486,11,9,9.58998335530703e-05,0.5145990002399031
486,11,10,7.351778608621906e-05,0.4710020355563869
486,11,11,6.886018012453032e-05,0.3495188512901118
486,11,12,0.00019517172973904096,0.19813207238881073
486,11,13,1.8308833439673045e-05,0.1728849060949098
499,14,0,0.0004550080804863743,0.5406056982361226
499,14,1,0.0006823359221690417,0.26288519982525665
499,14,2,0.00040411326699008043,0.23033802497022196
499,14,3,0.0003658537584362298,0.4526542264255631
499,14,4,0.00017932585745417118,0.6022712204521321
499,14,5,0.00043439483824991854,0.5652551583005693
499,14,6,0.0002610112828089761,0.4617514538005379
499,14,7,0.0002138464230373449,0.5483628761232288
499,14,8,0.0005884074651422155,0.3136358625833943
499,14,9,0.0005689358547275036,0.2861158404837797
499,14,10,0.0002856898613509129,0.07884884086623178
500,16,0,8.032245995015508e-05,0.016992152339107447
500,16,1,0.0003498238087988881,0.1270174429973958
500,16,2,0.00020158920742374686,0.365264513616056
500,16,3,0.0003315999924629054,0.35305238730739935
500,16,4,0.00023043548380086154,0.418729365865331
500,16,5,0.0004487860392088372,0.36213530080745443
500,16,6,0.0002687144468696001,0.34981573968145474
500,16,7,0.00032094206773702894,0.11268084093835966
500,16,8,0.000726413115220037,0.3819540063305988
527,17,0,0.00017543342895054437,0.6170387900583943
527,17,1,0.00030796096764829084,0.3713442731922288
527,17,2,0.0003496485919344261,0.33156366274806087
527,17,3,0.00023785743236670598,0.5666966356848016
527,17,4,0.00036127585241074733,0.6317792875366329
527,17,5,0.00033383633355965614,0.6047544430220053
527,17,6,0.0005891493310155038,0.389377479270616
527,17,7,0.00019427589669318568,0.5121117718955285
547,0,0,1.250965520060987e-08,0.9961091923724107
547,0,1,1.0403136382675093e-05,0.9884943802954332
547,0,2,3.2487153889260156e-06,0.9884917959211638
547,0,3,0.00010254034765044828,0.8335548002681064
547,0,4,0.0001722129046446419,0.8593849632824605
547,0,5,6.395012207127682e-05,0.9131786248510777
547,0,6,7.831466909025142e-05,0.8335440768072783
547,0,7,2.6864441708962516e-06,0.8594732566021456
547,0,8,5.903488578240523e-05,0.9131891594143954
547,0,9,0.00016251996829741433,0.8335149999139886
547,0,10,8.017682565975015e-06,0.9884888343689338
547,0,11,9.093546422977994e-06,0.9884919608811469
547,0,12,4.852244371544856e-05,0.9132154394731223
547,0,13,0.00014699904719939205,0.8594481055636626
547,0,14,0.00011325877546919383,0.8335472814775141
547,0,15,4.664870236281704e-05,0.9132352119997346
547,0,16,0.00020763009567104085,0.8594164362797115
547,0,17,6.907992993909762e-05,0.8335854097093128
547,0,18,1.0090391230233031e-05,0.9131680633747751
547,0,19,8.274642713668179e-05,0.8593711366971085
547,0,20,8.421190350471619e-05,0.8335842811065414
547,0,21,0.00011868702977246848,0.8593614719781878
547,0,22,4.4867315455943135e-05,0.9131833215358486
547,0,23,1.027605199210857e-05,0.9884816335854447
547,0,24,2.445356585834002e-05,0.9884830804442934
557,22,0,3.781781225742353e-05,0.09625378453456772
557,22,1,0.00023885318008443068,0.09574631678644445
557,22,2,2.6088464067708372e-05,0.10486247585234403
559,22,0,0.0002346218682960366,0.10238813354898768
559,22,1,0.0005098707833696148,0.10180625406455383
559,22,2,0.00012741808134875132,0.11144579079848323
561,7,0,0.0006809878996574259,0.35329343249260176
561,7,1,0.0003652445427125839,0.314044159806168
561,7,2,0.00020123680741601646,0.5591732138672715
561,7,3,0.00020050594587206483,0.7298140828231549
561,7,4,0.0002567274640670192,0.6896308042268143
561,7,5,0.00026582779910211407,0.6934815972801468
561,7,6,2.2513622076503204e-05,0.8224125744424499
561,7,7,0.00032570214780536233,0.6559168055748817
561,7,8,0.0002537976609111592,0.8224237534232524
561,7,9,0.0003242218628490834,0.656010620150045
561,7,10,0.0004079585418242937,0.3535549304539785
561,7,11,0.0004210737024624711,0.3141861431636583
561,7,12,0.00017349221659868075,0.5593180428134755
561,7,13,0.00015441053174858332,0.7297820387930974
561,7,14,0.0001348727709922226,0.6896128973228309
561,7,15,0.00031715288607192527,0.6935594806516402
561,7,16,0.00016755030806225868,0.7613428941520569
561,7,17,0.0002659495180626914,0.7148513479033879
590,20,0,0.0008484481105295316,0.517612758839077
590,20,1,0.00029687300462877264,0.7445631221916926
590,20,2,0.0001605114330380797,0.6846628192749341
590,20,3,0.00021215042132016748,0.6066099774352944
590,20,4,0.0002825115379039289,0.7005523623269299
592,22,0,0.00021540423320620672,0.08978281642773223
592,22,1,0.0001093305572740233,0.08930392694395413
592,22,2,0.00016351898982791546,0.09784292492175568
