cohort,method,id,N,baseline_s,candidate_s,delta_s,improvement_pct,distance_delta_m,measure_delta,post_known16_s,baseline_post_known16_s,trace_path
development,C2,109,14,491.9280616428572,544.8869704285714,52.95890878571424,-10.765579952656324,1992.1236068919425,57,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0109.json.gz
development,C2,110,15,457.2272845333334,490.2765235333334,33.049239,-7.2281860943035126,1068.6929324160956,47,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0110.json.gz
development,C2,111,16,386.061190875,394.8611165,8.799925624999958,-2.27941213284224,518.9940553101333,6,594.3958629999997,1453.883917,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0111.json.gz
development,C2,112,10,723.9099521,783.3798868,59.46993469999995,-8.215101136195567,2098.4967333169952,29,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0112.json.gz
development,C2,113,11,638.3127077272727,669.5000063636363,31.187298636363607,-4.885896561170888,1535.301426572867,6,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0113.json.gz
development,C2,114,12,497.57263166666667,554.0777702500001,56.505138583333405,-11.356158877562073,3210.3083120667616,6,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0114.json.gz
development,C2,115,13,538.0284827692308,538.0284827692308,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0115.json.gz
development,C2,116,14,451.6526656428572,449.4889302142857,-2.163735428571499,0.47907066495262995,-256.46148794009423,4,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0116.json.gz
development,C2,117,15,448.1244064,533.0459134,84.92150700000002,-18.95043112742185,1619.11303708806,159,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0117.json.gz
development,C2,118,16,410.750250625,410.750250625,0.0,0.0,0.0,0,733.2894339999993,733.2894339999993,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0118.json.gz
development,C2,119,10,715.1283581,732.0077073,16.87934919999998,-2.360324410130521,753.9674579627062,3,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0119.json.gz
development,C2,120,11,581.5762854545454,581.5762854545454,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0120.json.gz
development,C2,121,12,639.3757073333334,639.7941604166666,0.4184530833332474,-0.06544713515601597,0.1071867531791213,1,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0121.json.gz
development,C2,122,13,570.8517064615385,592.6144334615385,21.76272700000004,-3.812325820114948,1089.5772513777156,11,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0122.json.gz
development,C2,123,14,505.5664333571429,530.8503832142857,25.283949857142773,-5.001113244257183,189.8764739683793,53,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0123.json.gz
development,C2,124,15,424.07664953333335,525.3216174,101.24496786666668,-23.874214243599525,6383.3725787445255,40,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0124.json.gz
development,C2,125,16,385.5901103125,426.4470475,40.85693718750002,-10.595950491154383,2428.554975896539,28,1141.2037520000003,100.25754199999938,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0125.json.gz
development,C2,126,10,624.0944336,736.1786083,112.08417469999995,-17.959489568503017,1624.208728720012,133,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0126.json.gz
development,C2,127,11,659.2247986363636,671.1704677272727,11.945669090909064,-1.8120782342562425,152.01180796412518,17,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0127.json.gz
development,D,0,10,743.7616928,743.7616928,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0000.json.gz
development,D,1,11,690.230715090909,690.230715090909,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0001.json.gz
development,D,2,12,594.9172105833333,594.9172105833333,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0002.json.gz
development,D,3,13,559.4055166153846,559.4055166153846,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0003.json.gz
development,D,4,14,496.43408871428574,496.43408871428574,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0004.json.gz
development,D,5,15,457.42669813333333,457.42669813333333,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0005.json.gz
development,D,6,16,471.866453875,476.1036475,4.237193625000032,-0.8979645809113812,413.9754825751188,-3,901.365984,833.5708859999995,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0006.json.gz
development,D,7,10,738.4458083000001,738.4458083000001,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0007.json.gz
development,D,8,11,669.0200831818182,669.0200831818182,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0008.json.gz
development,D,9,12,575.2638424166666,575.2638424166666,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0009.json.gz
development,D,10,13,546.0069040769231,546.0069040769231,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0010.json.gz
development,D,11,14,512.9626,512.9626,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0011.json.gz
development,D,12,15,480.66360406666666,480.66360406666666,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0012.json.gz
development,D,13,16,386.1688009375,400.239119375,14.070318437499964,-3.643566855567193,1175.6254756882154,-2,1268.649864,1043.5247690000006,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0013.json.gz
development,D,14,10,712.4332158999999,712.4332158999999,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0014.json.gz
development,D,15,11,640.7460734545455,640.7460734545455,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0015.json.gz
development,D,16,12,521.3897100833334,521.3897100833334,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0016.json.gz
development,D,17,13,628.1263039230769,628.1263039230769,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0017.json.gz
development,D,18,14,487.87779635714287,487.87779635714287,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0018.json.gz
development,D,19,15,464.9257619333333,464.9257619333333,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0019.json.gz
development,D,20,16,342.909811125,360.0444445625,17.134633437500042,-4.996833826738767,1370.7706763431415,0,1099.5354190000007,825.381284,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0020.json.gz
development,D,21,10,813.9605859999999,813.9605859999999,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0021.json.gz
development,D,22,11,637.2225356363637,637.2225356363637,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0022.json.gz
development,D,23,12,676.4773823333334,676.4773823333334,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0023.json.gz
development,D,24,13,529.2860086923076,529.2860086923076,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0024.json.gz
development,D,25,14,498.77655085714287,498.77655085714287,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0025.json.gz
development,D,26,15,435.2220332,435.2220332,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0026.json.gz
development,D,27,16,386.188032,386.188032,0.0,0.0,0.0,0,1136.258441,1136.258441,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0027.json.gz
development,D,28,10,771.3961633,771.3961633,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0028.json.gz
development,D,29,11,623.3035789090909,623.3035789090909,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0029.json.gz
development,D,30,12,536.41761375,536.41761375,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0030.json.gz
development,D,31,13,535.8460436153846,535.8460436153846,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0031.json.gz
development,D,32,14,522.8648622142857,522.8648622142857,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0032.json.gz
development,D,33,15,462.58779239999996,462.58779239999996,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0033.json.gz
development,D,34,16,411.187939375,421.98261525,10.794675874999996,-2.625241365641151,813.5740583697625,2,1143.557213,970.8423990000001,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0034.json.gz
development,D,35,10,622.9991828,622.9991828,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0035.json.gz
development,D,36,11,592.4297061818182,592.4297061818182,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0036.json.gz
development,D,37,12,637.0681231666666,637.0681231666666,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0037.json.gz
development,D,38,13,560.1846464615385,560.1846464615385,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0038.json.gz
development,D,39,14,494.5499255,494.5499255,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0039.json.gz
