cohort,method,id,kind,time_s,remaining_nodes,remaining_targets,nearest_node_m,accepted,index,point,estimated_cost,direct_cost,estimated_value_s,travel_m
regression,D,96,release,4528.637398,9.0,4.0,969.9999999999999,,,,,,,
regression,D,96,support_decision,4528.637398,,,,False,0.0,"[485.0, 840.0446416709054]",248.85622534020663,174.92237029024992,-73.93385504995672,969.9999999999999
regression,D,96,support_decision,4695.075763,,,,False,0.0,"[485.0, 840.0446416709054]",663.0693967865114,533.4730983149065,-129.596298471605,217.55554430091595
regression,D,96,support_decision,4855.95821,,,,False,2.0,"[-485.0, 840.0446416709054]",295.4763224924083,292.9484090502904,-2.5279134421178924,1035.9592212951688
regression,D,96,support_decision,5137.317296,,,,False,1.0,"[970.0, 0.0]",460.0213688436322,412.74846574208595,-47.27290310154626,1857.3419601438363
regression,D,103,release,4707.236089,9.0,5.0,189.91071665818893,,,,,,,
regression,D,103,support_decision,4707.236089,,,,False,0.0,"[1619.4675050769001, -935.0]",176.80206268084117,93.77831650444915,-83.02374617639202,189.91071665818893
regression,D,103,support_decision,4734.83966,,,,False,0.0,"[1619.4675050769001, -935.0]",335.17006004416754,99.64263804920708,-235.52742199496046,290.4877839062968
regression,D,103,support_decision,4801.197623,,,,False,2.0,"[970.0, 0.0]",389.4322204021655,332.3642370868357,-57.0679833153298,639.5262156768274
regression,D,103,support_decision,5041.522181,,,,False,1.0,"[1940.0, 0.0]",534.9476092845551,522.7834018857641,-12.164207398791063,907.9999711289269
regression,D,103,support_decision,5208.349514,,,,False,2.0,"[970.0, 0.0]",371.15144068648254,343.4749292433237,-27.67651144315886,222.50467086803337
regression,D,103,support_decision,5539.690052,,,,False,6.0,"[485.0, 840.0446416709054]",519.2670863817979,390.74020354340234,-128.52688283839552,356.3266404316934
regression,D,110,release,4580.147818,11.0,5.0,189.91071665818913,,,,,,,
regression,D,110,support_decision,4853.404135,,,,False,2.0,"[-485.0, 840.0446416709054]",772.9035100666906,182.3177819838028,-590.5857280828878,1617.8537964329348
regression,D,110,support_decision,4988.971019,,,,False,10.0,"[0.0, -1870.0]",694.5995678004485,430.60173785140535,-263.9978299490432,2492.310469442292
regression,D,110,support_decision,5414.921722,,,,True,7.0,"[-1455.0, -840.0446416709054]",812.8847009942706,931.8983333907108,119.01363239644024,1952.6201129285441
regression,D,110,support_decision,5847.561407,,,,True,1.0,"[-970.0, 1680.0892833418109]",913.7652260185582,1518.0352193814706,604.2699933629124,2411.305461831566
regression,D,110,support_decision,6335.822499,,,,False,1.0,"[-485.0, 840.0446416709054]",347.34989635891634,227.2437869756995,-120.10610938321685,969.9999999999999
regression,D,122,release,2611.290852,17.0,8.0,969.9999999999999,,,,,,,
regression,D,122,support_decision,2611.290852,,,,False,2.0,"[0.0, 1870.0]",616.2100367813039,403.64128739649277,-212.5687493848111,988.4159449855244
regression,D,122,support_decision,2747.515599,,,,False,0.0,"[485.0, 840.0446416709054]",285.09777772824515,157.8919351250043,-127.20584260324085,546.9122208431853
regression,D,122,support_decision,2861.445187,,,,True,4.0,"[-485.0, 840.0446416709054]",692.572400771886,1153.7913059908294,461.2189052189434,702.5476085048933
regression,D,122,support_decision,3007.954709,,,,False,0.0,"[485.0, 840.0446416709054]",388.7893280690681,243.0086442119911,-145.780683857077,970.0
regression,D,122,support_decision,3169.624849,,,,False,0.0,"[485.0, 840.0446416709054]",256.61110320838304,135.3822944101055,-121.22880879827756,514.2641336307958
regression,D,122,support_decision,3179.21705,,,,False,0.0,"[485.0, 840.0446416709054]",217.41014141403116,46.78305662487423,-170.62708478915692,502.780836756324
regression,D,122,support_decision,3200.304595,,,,False,0.0,"[485.0, 840.0446416709054]",879.7309947650275,796.7787735142706,-82.9522212507569,482.84872308520454
regression,D,122,support_decision,3362.484855,,,,False,0.0,"[485.0, 840.0446416709054]",604.5071186729451,373.0931527032074,-231.41396596973772,465.5771202253183
regression,D,122,support_decision,3866.952413,,,,True,11.0,"[0.0, -1680.0892833418109]",584.0777476970757,869.8970181843724,285.81927048729676,1051.3750150454148
regression,D,122,support_decision,4258.596325,,,,False,4.0,"[-970.0, 0.0]",683.5473149278329,376.08172772188567,-307.4655872059472,1134.7895264814842
regression,D,122,support_decision,4563.872866,,,,True,0.0,"[485.0, 840.0446416709054]",1293.4108526814346,1754.2063149808346,460.7954622994,2141.187091221578
regression,D,122,support_decision,4998.110284,,,,False,0.0,"[0.0, 1680.0892833418109]",591.8807784626315,200.7986134285365,-391.082165034095,969.9999999999999
regression,D,142,release,4516.800516,11.0,5.0,969.9999999999999,,,,,,,
regression,D,142,support_decision,4516.800516,,,,False,0.0,"[485.0, 840.0446416709054]",415.6303274984683,172.84734571180633,-242.782981786662,969.9999999999999
regression,D,142,support_decision,4640.75257,,,,False,0.0,"[485.0, 840.0446416709054]",365.9427981460359,110.79479035492625,-255.14800779110965,623.1055707878387
regression,D,142,support_decision,4661.264636,,,,False,7.0,"[1455.0, -840.0446416709054]",393.88931187261625,289.1466067817907,-104.74270509082555,1478.3120070053878
regression,D,142,support_decision,4916.416494,,,,False,6.0,"[1940.0, 0.0]",560.8553369462957,403.5959343957985,-157.25940255049716,799.2002240648469
regression,D,142,support_decision,4963.974802,,,,False,6.0,"[1940.0, 0.0]",247.70085104050133,210.28758838357814,-37.413262656923195,623.0555920053947
regression,D,142,support_decision,5141.353767,,,,False,4.0,"[1455.0, 840.0446416709054]",659.1782022520395,611.6558465022035,-47.522355749835924,489.3475460521871
regression,D,142,support_decision,5236.183345,,,,True,0.0,"[485.0, 840.0446416709054]",553.1269200777024,1063.9421149813634,510.815194903661,869.4055929865456
regression,D,142,support_decision,5523.005627,,,,False,1.0,"[0.0, 1870.0]",771.4157765890991,655.3866887788533,-116.02908781024576,1557.0447236853065
regression,D,155,release,3499.448344,14.0,4.0,969.9999999999999,,,,,,,
regression,D,155,support_decision,3499.448344,,,,False,1.0,"[1455.0, -840.0446416709054]",551.6431732960212,370.7593817160258,-180.88379157999543,969.9999999999999
regression,D,155,support_decision,3634.719226,,,,False,0.0,"[970.0, 0.0]",196.64745495933738,134.56231123619546,-62.085143723141925,377.59293116718675
regression,D,155,support_decision,3747.997015,,,,True,4.0,"[485.0, -840.0446416709054]",756.8369165152842,1005.1449537406551,248.30803722537087,1006.1690705685171
regression,D,155,support_decision,3955.230829,,,,False,0.0,"[970.0, 0.0]",297.77143313691704,158.78224008072527,-138.98919305619177,969.9999999999999
regression,D,155,support_decision,4093.223302,,,,False,0.0,"[970.0, 0.0]",688.4422115727492,629.6379592594345,-58.80425231331469,332.961259924685
regression,D,155,support_decision,4113.190128,,,,False,1.0,"[1455.0, -840.0446416709054]",232.56076181515147,161.58921129039103,-70.97155052476043,772.347753477429
regression,D,155,support_decision,4243.013563,,,,False,10.0,"[-1455.0, 840.0446416709054]",704.4959883025068,676.7102764085936,-27.78571189391323,3114.0677662181533
regression,D,161,release,4147.954637,10.0,5.0,969.9999999999999,,,,,,,
regression,D,161,support_decision,4147.954637,,,,False,0.0,"[-970.0, 0.0]",329.8541309452409,166.39389133800597,-163.46023960723494,969.9999999999999
regression,D,161,support_decision,4302.564543,,,,False,7.0,"[485.0, 840.0446416709054]",913.4989315869261,549.5168353511809,-363.9820962357452,1138.3298357859703
regression,D,161,support_decision,4524.089881,,,,False,3.0,"[-970.0, 1680.0892833418109]",542.7986943688845,251.17648407637827,-291.6222102925062,916.1561938696902
regression,D,161,support_decision,4651.256523,,,,False,7.0,"[485.0, 840.0446416709054]",1145.213462817155,436.48470653479916,-708.7287562823558,1262.0775966549645
regression,D,161,support_decision,4856.982534,,,,False,7.0,"[485.0, 840.0446416709054]",138.3544170537302,121.21568851103126,-17.138728542698942,271.17608886629665
regression,D,161,support_decision,4921.308963,,,,False,7.0,"[485.0, 840.0446416709054]",152.97241773786908,87.99130814577926,-64.98110959208982,335.66447026175916
regression,D,161,support_decision,4948.235802,,,,False,7.0,"[485.0, 840.0446416709054]",597.5730996904581,572.305126826748,-25.267972863710042,363.6525837243163
regression,D,191,release,6762.719623,3.0,4.0,189.91071665818913,,,,,,,
regression,D,191,support_decision,6762.719623,,,,False,0.0,"[0.0, 1870.0]",280.07903340172385,179.6948476606801,-100.38418574104375,189.91071665818913
regression,D,191,support_decision,6939.944059,,,,False,2.0,"[-485.0, 840.0446416709054]",890.2139121602751,569.8905549353076,-320.3233572249675,426.2629029390073
regression,D,191,support_decision,7069.827975,,,,False,2.0,"[-485.0, 840.0446416709054]",2470.883397735914,1774.2758635107348,-696.6075342251793,540.4956017921995
regression,D,191,support_decision,7574.399693,,,,False,2.0,"[-485.0, 840.0446416709054]",2442.0155902590695,1431.2880470817727,-1010.7275431772969,1243.728369774596
regression,D,194,release,6141.982696,5.0,3.0,969.9999999999999,,,,,,,
regression,D,194,support_decision,6141.982696,,,,False,2.0,"[-970.0, 1680.0892833418109]",440.2869564427779,70.95873121552236,-369.32822522725553,969.9999999999999
regression,D,194,support_decision,6200.801733,,,,False,3.0,"[-1455.0, 840.0446416709054]",578.4045273824878,353.248699714624,-225.15582766786378,741.0161644974686
regression,D,194,support_decision,6230.897338,,,,False,3.0,"[-1455.0, 840.0446416709054]",314.10793339615424,141.93452661766477,-172.17340677848946,637.8839085877225
regression,D,194,support_decision,6341.123149,,,,False,3.0,"[-1455.0, 840.0446416709054]",2823.8639470115277,1649.984386240691,-1173.8795607708366,811.9391299874794
regression,D,201,release,5390.312216,7.0,3.0,969.9999999999999,,,,,,,
regression,D,201,support_decision,5390.312216,,,,False,3.0,"[-485.0, 840.0446416709054]",657.992496366804,554.8160103046681,-103.17648606213584,969.9999999999999
regression,D,201,support_decision,5480.543671,,,,False,0.0,"[-1455.0, 840.0446416709054]",292.1720475301176,162.14525809852262,-130.02678943159498,632.6088720151495
regression,D,201,support_decision,5597.205417,,,,False,3.0,"[-485.0, 840.0446416709054]",615.0373186889329,556.7101540600271,-58.32716462890585,776.9881427652597
regression,D,201,support_decision,5611.49171,,,,True,3.0,"[-485.0, 840.0446416709054]",481.16835506069816,912.7002482429967,431.5318931822986,803.8070195624036
regression,D,201,support_decision,5777.253114,,,,False,2.0,"[-970.0, 1680.0892833418109]",383.0466195468815,173.37835676400215,-209.66826278287937,969.9999999999999
regression,D,201,support_decision,5936.199467,,,,False,0.0,"[-1455.0, 840.0446416709054]",2060.423743467256,775.0363194025784,-1285.3874240646774,291.42167752587187
regression,D,203,release,6390.915812,2.0,3.0,189.91071665818893,,,,,,,
regression,D,203,support_decision,6390.915812,,,,True,0.0,"[1619.4675050769001, -935.0]",164.28486871123073,555.940160240834,391.65529152960323,189.91071665818893
regression,D,203,support_decision,6433.897955,,,,False,0.0,"[1940.0, 0.0]",884.3738666021409,378.065331376544,-506.30853522559687,988.4159449855244
regression,D,203,support_decision,6500.478377,,,,False,0.0,"[1940.0, 0.0]",757.0381060970305,131.25181698884205,-625.7862891081885,1219.4713258796648
regression,D,203,support_decision,6576.629147,,,,False,0.0,"[1940.0, 0.0]",735.1301629838088,61.081666289832285,-674.0484966939765,1500.881908982381
regression,D,203,support_decision,6620.786906,,,,True,0.0,"[1940.0, 0.0]",690.2525909913411,692.4328340993793,2.180243108038212,1621.51829284349
regression,D,215,release,1906.122258,20.0,7.0,969.9999999999999,,,,,,,
regression,D,215,support_decision,1906.122258,,,,False,18.0,"[-485.0, 840.0446416709054]",832.8701177823878,646.9097904325693,-185.9603273498185,970.0
regression,D,215,support_decision,2117.79412,,,,False,0.0,"[0.0, 1680.0892833418109]",506.2631503531076,397.3089300071997,-108.95422034590791,438.76768315148615
