question,new_run,time_s,radius_m,field,old,new,new_minus_old
q1,EXP104_B_Q1_nr40__cuda001,600.0,0.005,C,2.5499999995792044,2.5499999983436643,-1.2355401146635359e-09
q1,EXP104_B_Q1_nr40__cuda001,600.0,0.01,T,28.804598115745993,28.804310185915938,-0.00028792983005487827
q1,EXP104_B_Q1_nr40__cuda001,600.0,0.01,C,2.5499868360745213,2.549980059794669,-6.7762798523496315e-06
q1,EXP104_B_Q1_nr40__cuda001,600.0,0.015,T,29.316124492914184,29.316229380375034,0.00010488746085002276
q1,EXP104_B_Q1_nr40__cuda001,600.0,0.015,C,2.5351782049584637,2.5341843339900594,-0.000993870968404309
q1,EXP104_B_Q1_nr40__cuda001,600.0,0.02,T,30.164473348007594,30.16546825951616,0.000994911508566787
q1,EXP104_B_Q1_nr40__cuda001,600.0,0.02,C,1.8775069988061546,1.8759767817488022,-0.0015302170573523455
q1,EXP104_B_Q1_nr40__cuda001,900.0,0.0,T,29.325267764861078,29.325211448289394,-5.631657168336801e-05
q1,EXP104_B_Q1_nr40__cuda001,900.0,0.0,C,2.549999999895626,2.549999999656845,-2.387809949766506e-10
q1,EXP104_B_Q1_nr40__cuda001,900.0,0.005,T,29.459249543777055,29.458820141042224,-0.00042940273483083047
q1,EXP104_B_Q1_nr40__cuda001,900.0,0.005,C,2.549999746804207,2.5499995638499087,-1.8295429837777988e-07
q1,EXP104_B_Q1_nr40__cuda001,900.0,0.01,T,29.876539904331423,29.87585816687374,-0.0006817374576826296
q1,EXP104_B_Q1_nr40__cuda001,900.0,0.01,C,2.5496699263201887,2.549612990321668,-5.693599852074627e-05
q1,EXP104_B_Q1_nr40__cuda001,900.0,0.015,T,30.617020488818326,30.616416134208976,-0.0006043546093508212
q1,EXP104_B_Q1_nr40__cuda001,900.0,0.015,C,2.5044934538974433,2.5032515875068753,-0.0012418663905680027
q1,EXP104_B_Q1_nr40__cuda001,900.0,0.02,T,31.72995664631644,31.730559149410624,0.000602503094182083
q1,EXP104_B_Q1_nr40__cuda001,900.0,0.02,C,1.755087121844075,1.7542899406176595,-0.0007971812264153666
q1,EXP104_B_Q1_nr40__cuda001,1200.0,0.0,T,30.543807553900955,30.543772761766206,-3.479213474832932e-05
q1,EXP104_B_Q1_nr40__cuda001,1200.0,0.0,C,2.5499999741534594,2.549999953090638,-2.106282126490555e-08
q1,EXP104_B_Q1_nr40__cuda001,1200.0,0.005,T,30.71081433061591,30.710386470390574,-0.00042786022533647383
q1,EXP104_B_Q1_nr40__cuda001,1200.0,0.005,C,2.5499922904552172,2.549989915442384,-2.3750128330668474e-06
q1,EXP104_B_Q1_nr40__cuda001,1200.0,0.01,T,31.22331415384371,31.222772168708786,-0.0005419851349230953
q1,EXP104_B_Q1_nr40__cuda001,1200.0,0.01,C,2.5481476590639587,2.54799525503765,-0.00015240402630878336
q1,EXP104_B_Q1_nr40__cuda001,1200.0,0.015,T,32.113645136780534,32.11284896857114,-0.0007961682093906575
q1,EXP104_B_Q1_nr40__cuda001,1200.0,0.015,C,2.46456632697982,2.4633134383653674,-0.0012528886144527185
q1,EXP104_B_Q1_nr40__cuda001,1200.0,0.02,T,33.42990797943017,33.42781465410695,-0.002093325323215822
q1,EXP104_B_Q1_nr40__cuda001,1200.0,0.02,C,1.658835448489275,1.6584309483700195,-0.0004045001192556352
q1,EXP104_B_Q1_nr40__cuda001,1500.0,0.0,T,31.99680034606281,31.99686340222422,6.305616141233372e-05
q1,EXP104_B_Q1_nr40__cuda001,1500.0,0.0,C,2.549999203376448,2.549998882711772,-3.206646757014653e-07
q1,EXP104_B_Q1_nr40__cuda001,1500.0,0.005,T,32.18784283887078,32.1873671149699,-0.00047572390087680105
q1,EXP104_B_Q1_nr40__cuda001,1500.0,0.005,C,2.5499347185364845,2.549923955367812,-1.0763168672323076e-05
q1,EXP104_B_Q1_nr40__cuda001,1500.0,0.01,T,32.767353836999334,32.76640832445628,-0.0009455125430548605
q1,EXP104_B_Q1_nr40__cuda001,1500.0,0.01,C,2.544493037715331,2.544234918673151,-0.0002581190421797608
q1,EXP104_B_Q1_nr40__cuda001,1500.0,0.015,T,33.7480809789457,33.74646451451224,-0.0016164644334608624
q1,EXP104_B_Q1_nr40__cuda001,1500.0,0.015,C,2.420640565453518,2.4194591928495606,-0.0011813726039573424
q1,EXP104_B_Q1_nr40__cuda001,1500.0,0.02,T,35.12146379923663,35.12026049510848,-0.0012033041281469536
q1,EXP104_B_Q1_nr40__cuda001,1500.0,0.02,C,1.5789400076749798,1.5787728142706423,-0.00016719340433746233
q1,EXP104_B_Q1_nr40__cuda001,1800.0,0.0,T,33.57641897783885,33.57645054951871,3.157167986245213e-05
q1,EXP104_B_Q1_nr40__cuda001,1800.0,0.0,C,2.549991746036824,2.54998981551177,-1.9305250540391228e-06
q1,EXP104_B_Q1_nr40__cuda001,1800.0,0.005,T,33.77295025528546,33.772585500978494,-0.00036475430696469857
q1,EXP104_B_Q1_nr40__cuda001,1800.0,0.005,C,2.549715972191714,2.549687514564149,-2.8457627565092736e-05
q1,EXP104_B_Q1_nr40__cuda001,1800.0,0.01,T,34.364782995478,34.36452244431621,-0.00026055116179435345
q1,EXP104_B_Q1_nr40__cuda001,1800.0,0.01,C,2.5382424851387824,2.537892629942907,-0.0003498551958753815
q1,EXP104_B_Q1_nr40__cuda001,1800.0,0.015,T,35.362627844241246,35.36234689076093,-0.00028095348031342837
q1,EXP104_B_Q1_nr40__cuda001,1800.0,0.015,C,2.375520744426938,2.3744335729505064,-0.0010871714764317808
q1,EXP104_B_Q1_nr40__cuda001,1800.0,0.02,T,36.78612149441159,36.78565462158707,-0.00046687282451784995
q1,EXP104_B_Q1_nr40__cuda001,1800.0,0.02,C,1.5104100744240234,1.510400360154637,-9.71426938645159e-06
q2,EXP102_B_Q23_S0__cuda001,1800.0,0.0,T,32.19038349906311,32.192600946854725,0.002217447791615257
q2,EXP102_B_Q23_S0__cuda001,1800.0,0.0,C,2.5499308951486457,2.5498850970388367,-4.5798109808981025e-05
q2,EXP102_B_Q23_S0__cuda001,1800.0,0.005,T,32.38316516408511,32.38430750347402,0.0011423393889060662
