id,N,group,spearman,top1,top3,pred_gain,best_gain,top3_gain,hit,R12hit,pred_release,R12release
54,16,late,-0.06293706293706294,False,False,-80.73720000000048,105.92174900000009,0.0,True,False,False,False
54,16,N16_late,0.26666666666666666,False,False,-274.98992,0.0,0.0,True,True,True,True
55,16,middle,-0.23076923076923078,False,False,-206.03963699999986,122.74545699999999,0.0,True,True,False,False
55,16,N16_late,0.045454545454545456,False,False,-366.0993360000002,0.0,0.0,True,True,False,False
55,16,N16_late,-0.6571428571428573,False,False,-492.3939330000003,0.0,0.0,False,True,False,True
56,16,N16_late,0.22377622377622378,False,False,-385.23389899999984,0.0,0.0,True,True,False,False
57,16,middle,-0.39999999999999997,False,False,-1046.9486710000006,448.16597400000046,0.0,True,False,False,False
57,16,middle,-0.6,False,False,-823.4290689999998,994.054607,0.0,True,False,False,False
57,16,middle,0.35757575757575755,False,False,-166.05645600000025,33.94354399999975,0.0,True,False,False,False
58,16,early,-0.21626199887069456,False,False,179.66202599999997,471.52415800000017,179.66202599999997,True,True,False,False
59,16,late,-0.44175824175824174,False,False,-926.4767380000003,268.42273600000044,0.0,False,False,False,False
59,16,N16_late,-0.2377622377622378,False,False,-693.1656679999996,112.66572700000052,86.98859900000025,False,False,False,False
61,16,N16_late,-0.06071428571428571,True,True,425.8883820000001,425.8883820000001,425.8883820000001,True,False,True,False
61,16,N16_late,-0.367032967032967,False,False,-30.316001000000142,445.84796600000027,0.0,True,False,False,False
61,16,N16_late,-0.02097902097902098,False,False,-255.64989699999933,160.26935500000036,0.0,True,True,False,False
61,16,N16_late,-0.17272727272727276,False,False,-1486.6959749999996,52.00674700000036,0.0,False,True,False,True
62,16,middle,0.2692307692307692,False,True,821.0955469999999,1073.630231,1073.630231,True,False,False,False
63,16,middle,0.011351909184726523,False,False,299.22762000000057,411.5730510000003,299.22762000000057,True,True,False,False
63,16,middle,0.08823529411764706,False,False,769.4034940000001,1024.0919940000003,769.4034940000001,True,False,False,False
64,16,early,-0.023150762281197064,False,False,-153.47986200000014,93.37282200000027,0.0,True,True,False,False
64,16,late,-0.06363636363636364,False,False,487.90182899999945,537.8389219999999,487.90182899999945,True,False,True,False
65,16,N16_late,-0.21978021978021978,False,False,-514.3256879999999,94.66533199999958,0.0,True,False,True,False
66,16,N16_late,0.21078431372549022,False,False,-1077.7848629999999,558.2906309999998,0.0,False,False,False,False
66,16,N16_late,-0.0029411764705882353,False,False,-1198.3207330000005,409.51888400000007,0.0,False,True,False,False
67,16,late,0.35467264936741927,False,True,95.53605900000002,252.09688599999936,252.09688599999936,True,False,False,False
67,16,late,0.21071428571428572,False,False,160.15327999999954,248.37768099999994,160.15327999999954,True,False,True,False
68,16,middle,0.3398496240601503,False,False,563.3785589999998,820.2199259999998,652.0690960000002,True,False,True,False
69,16,middle,-0.08214285714285713,False,False,-793.4924350000001,350.69579499999963,189.1498649999994,False,False,False,False
69,16,N16_late,-0.14285714285714288,False,False,-283.6257620000006,0.0,0.0,True,True,True,True
70,16,early,-0.2535333828145181,False,False,746.596485,1302.7941970000002,746.596485,False,True,False,False
70,16,middle,-0.054945054945054944,False,False,342.53055399999994,434.2429140000004,342.53055399999994,True,False,False,False
70,16,late,-0.3,False,False,-605.9758849999998,0.0,0.0,True,False,False,False
71,16,late,-0.4010989010989011,False,False,-1440.0314259999996,0.0,0.0,True,False,False,False
71,16,N16_late,0.0979020979020979,False,False,-523.0942919999998,234.83490100000017,0.0,True,False,False,False
71,16,late,0.28484848484848485,False,False,-689.4885379999996,0.0,0.0,False,True,False,False
71,16,N16_late,-0.4666666666666666,False,False,-1340.897285,0.0,0.0,False,True,False,True
73,16,late,0.790909090909091,False,True,504.72307699999965,508.05161599999974,508.05161599999974,True,False,True,False
73,16,N16_late,0.6121212121212121,False,False,-83.47332800000004,423.81422099999963,411.0332900000003,True,True,False,False
74,16,middle,-0.37941176470588234,False,False,-672.7347729999983,0.0,0.0,True,False,False,False
74,16,N16_late,0.6606060606060605,False,False,326.9200660000006,433.080559,328.9538190000003,True,False,False,False
74,16,late,0.4523809523809524,False,True,377.12774100000024,505.84871400000065,505.84871400000065,True,False,True,False
74,16,late,0.25,False,False,121.84595500000069,293.03844300000037,287.75217800000064,True,False,True,False
75,16,middle,-0.08333333333333334,False,False,-541.3937770000002,525.982062,331.54916499999945,True,False,False,False
75,16,N16_late,0.6272727272727273,False,True,286.503342,395.7699159999993,395.7699159999993,True,False,False,False
