mode,region,level,step_m,key,x,y,parent,rank_cumulative,in_Csafe,in_Q0,in_Qvis_Q5,squared_slack_lower_m2,boundary_distance_m,D_lower_m,D_upper_m,inner_gap_m,T_s,J_lower_m,J_upper_m,near_possible,near_upper_m,score_elapsed_s,safety_status
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.e5cef9a2220bfp+9,-0x1.5eb551060d201p+7",971.6169932047122,-175.35413378629895,retained_B_pool,427,True,True,True,31210135004165539272697159447535/1237940039285380274899124224,12.686142242443225,115.95779124574672,115.96768252350105,0.009891277754334737,202.46277155151137,156.450345556049,156.46023683380332,False,0.0,0.03893120000429917,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.8157533b3dd37p+8,0x1.c01dc8b5b0119p+9",385.3411137605612,896.2326876744947,retained_B_pool,428,True,True,True,14941687321189791893602591386731/309485009821345068724781056,24.438210870024818,116.43472336438226,116.4433314279589,0.008608063576630798,200.11235782599505,156.45719492958128,156.46580299315792,False,0.0,0.03658919999725185,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.4c5504a0075a2p+8,0x1.cf8d3f283d480p+9",332.3321018236112,927.1034899043298,retained_B_pool,429,True,True,True,2323806348372824538245324366175/77371252455336267181195264,15.131731196863711,116.06505407912863,116.07495782774244,0.009903748613808716,201.97365376062726,156.45978483125407,156.4696885798679,False,0.0,0.019538199994713068,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.4c45be8917c2dp+8,0x1.cf67ca1d2d726p+9",332.2724385912905,926.8108555290135,retained_B_pool,430,True,True,True,9475398752528673086376960784775/309485009821345068724781056,15.427333624467906,116.10736022817956,116.11686029504492,0.009500066865356871,201.9145332751064,156.49026688320083,156.4997669500662,False,0.0,0.024180899999919347,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.e55588e3d73b9p+9,-0x1.5e1383eea5688p+7",970.6682400513592,-175.03811593789237,retained_B_pool,431,True,True,True,2101776589036258044104053115339/77371252455336267181195264,13.67592837065456,116.09710146175539,116.10698219370497,0.009880731949579058,202.26481432586908,156.5500643269292,156.55994505887878,False,0.0,0.025734399998327717,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.4c1977b873b55p+8,0x1.cefae1b29d7e8p+9",332.0994830400935,925.9600127476706,retained_B_pool,432,True,True,True,9998838032026403374235672882375/309485009821345068724781056,16.286621091710686,116.2285244254517,116.23772692193548,0.009202496483780465,201.74267578165785,156.57705958178326,156.58626207826705,False,0.0,0.025111399998422712,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.e51328029299cp+9,-0x1.5dbad90d59415p+7",970.1496585098098,-174.86493722643414,retained_B_pool,433,True,True,True,34949391747224578847553413465415/1237940039285380274899124224,14.21700857749363,116.17450190327742,116.18383143625526,0.009329532977844224,202.15659828450129,156.60582156017767,156.61515109315553,False,0.0,0.020845100007136352,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.e960e12eccb10p+9,-0x1.e68d93e801430p+3",978.7568720340223,-15.20478244126761,retained_B_pool,434,True,True,True,51750597860193624204555311405175/1237940039285380274899124224,21.125033539569017,116.47836360157089,116.48768225678212,0.00931865521123143,200.7749932920862,156.63336225998813,156.64268091519938,False,0.0,0.02515450000646524,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.4bf8cdaa84eaap+8,0x1.ceaa39844cc8bp+9",331.97188821549446,925.3298802733347,retained_B_pool,435,True,True,True,1298261689355502513892147565863/38685626227668133590597632,16.92283014402949,116.32039367295238,116.33031239322014,0.009918720267762637,201.6154339711941,156.6434804671912,156.65339918745897,False,0.0,0.031229300002451055,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.e4dc22847a309p+9,-0x1.5d713a81ac914p+7",969.7198033901815,-174.7211494944719,retained_B_pool,436,True,True,True,1126371576524217404908963807627/38685626227668133590597632,14.66555060336907,116.23820026226738,116.24807068866397,0.009870426396588527,202.0668898793262,156.65157823813263,156.66144866452922,False,0.0,0.02560589999484364,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.e4c27052cac26p+9,-0x1.6683344dcbfaep+7",969.5190528383289,-179.25625842204084,coarse_grid,437,False,True,True,8634631774015572707108230947551/309485009821345068724781056,14.048682743412542,116.2569387034981,116.26618074311561,0.009242039617518572,202.1902634513175,156.6949913937616,156.7042334333791,False,0.0,0.031133999989833683,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.e484b60d3b2eap+9,-0x1.5cfc06c60abcap+7",969.0368057764983,-174.49223917847695,retained_B_pool,438,True,True,True,9445521964335758444808071621015/309485009821345068724781056,15.378309967204814,116.34018176770721,116.35009435946674,0.009912591759530187,201.92433800655903,156.72504936901902,156.73496196077855,False,0.0,0.02285959999426268,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.e46a570c1032ep+9,-0x1.c99ac9d82adb8p+6",968.8307814673515,-114.40116060029584,retained_B_pool,439,True,True,True,3735429238219200808485833333483/77371252455336267181195264,24.438259941825322,116.71676248516673,116.72611110543774,0.009348620271012464,200.11234801163494,156.73923208749372,156.74858070776475,False,0.0,0.025865600007819012,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.e4563dd59ea35p+9,-0x1.5cbd9d3ec166ap+7",968.6737620377158,-174.37034031020022,retained_B_pool,440,True,True,True,9676397671127246708733012257571/309485009821345068724781056,15.75720838799316,116.39442601902337,116.40434178577733,0.009915766753962885,201.84855832240137,156.76413768350363,156.7740534502576,False,0.0,0.02841210000042338,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.1fda23082048ep+9,0x1.98d43a82fb7b8p+9",575.7041940839424,817.6580356338445,retained_B_pool,441,True,True,True,341933758976084656958271/19342813113834066795298816,8.838780559017323e-06,115.78070309493873,115.78998049640622,0.009277401467485902,204.99999823224388,156.7807027413875,156.789980142855,False,0.0,0.018578999995952472,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.8af4177414458p+8,0x1.bc19729018863p+9",394.95348287100705,888.1988086814639,retained_B_pool,442,True,True,True,4264287381090907500921285308967/77371252455336267181195264,27.947852543336808,116.90578833080644,116.91502679204659,0.009238461240144602,199.41042949133265,156.78787422907297,156.79711269031313,False,0.0,0.02008170000044629,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.e420710ce2be5p+9,-0x1.5c754202b2feep+7",968.2534500224252,-174.22901924548154,retained_B_pool,443,True,True,True,9943600285740998732370910233675/309485009821345068724781056,16.195906377915435,116.45606555858134,116.46527176722599,0.009206208644641833,201.7608187244169,156.8082293034647,156.81743551210937,False,0.0,0.026385500008473173,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.4ba627beac2e6p+8,0x1.cddcf118a1039p+9",331.649043957745,923.726107672329,retained_B_pool,444,True,True,True,1421270821444445540701746707667/38685626227668133590597632,18.541386326678776,116.55107189301175,116.5602888475732,0.00921695456145244,201.29172273466423,156.80941643994458,156.81863339450604,False,0.0,0.023704999999608845,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.fddc1a4806b2ap+8,0x1.a35d64cde0a78p+9",509.8597760216095,838.7296388003297,retained_B_pool,445,True,True,True,2829900120036906707116808167175/77371252455336267181195264,18.458152595144156,116.58942116496914,116.59875952271196,0.00933835774281988,201.30836948097118,156.8510950611634,156.8604334189062,False,0.0,0.018749399998341687,SAFE
