id,cohort,family,total,comparison,delta_s_per_source,delta_percent,delta_total_s,baseline_s_per_source,valid
25,development,strict_mixed_stratified,16,R2-R0,-113.50337668750001,-22.709446338831107,-1816.0540270000001,499.8068865,True
25,development,strict_mixed_stratified,16,R12-R0,-163.5803259375,-32.72870589739263,-2617.285215,499.8068865,True
25,development,strict_mixed_stratified,16,R12-R1,-146.1179430625,-30.29327419808224,-2337.887089,482.344503625,True
25,development,strict_mixed_stratified,16,R12-R2,-50.076949249999984,-12.96311008779232,-801.2311879999997,386.3035098125,True
26,development,strict_mixed_stratified,10,R1-R0,0.0,0.0,0.0,915.4995160000001,True
26,development,strict_mixed_stratified,10,R2-R0,-210.87944690000006,-23.034359190201915,-2108.7944690000004,915.4995160000001,True
26,development,strict_mixed_stratified,10,R12-R0,-210.87944690000006,-23.034359190201915,-2108.7944690000004,915.4995160000001,True
26,development,strict_mixed_stratified,10,R12-R1,-210.87944690000006,-23.034359190201915,-2108.7944690000004,915.4995160000001,True
26,development,strict_mixed_stratified,10,R12-R2,0.0,0.0,0.0,704.6200691,True
27,development,strict_mixed_stratified,11,R1-R0,0.0,0.0,0.0,819.185743,True
27,development,strict_mixed_stratified,11,R2-R0,-223.25267409090907,-27.252997992045017,-2455.779415,819.185743,True
27,development,strict_mixed_stratified,11,R12-R0,-223.25267409090907,-27.252997992045017,-2455.779415,819.185743,True
27,development,strict_mixed_stratified,11,R12-R1,-223.25267409090907,-27.252997992045017,-2455.779415,819.185743,True
27,development,strict_mixed_stratified,11,R12-R2,0.0,0.0,0.0,595.9330689090909,True
28,development,strict_mixed_stratified,12,R1-R0,0.0,0.0,0.0,718.0123816666666,True
28,development,strict_mixed_stratified,12,R2-R0,-162.22739966666654,-22.593955732365036,-1946.7287959999994,718.0123816666666,True
28,development,strict_mixed_stratified,12,R12-R0,-162.22739966666654,-22.593955732365036,-1946.7287959999994,718.0123816666666,True
28,development,strict_mixed_stratified,12,R12-R1,-162.22739966666654,-22.593955732365036,-1946.7287959999994,718.0123816666666,True
28,development,strict_mixed_stratified,12,R12-R2,0.0,0.0,0.0,555.784982,True
29,development,strict_mixed_stratified,13,R1-R0,0.0,0.0,0.0,684.3439758461539,True
29,development,strict_mixed_stratified,13,R2-R0,-136.40912107692304,-19.932829964384595,-1773.3185740000008,684.3439758461539,True
29,development,strict_mixed_stratified,13,R12-R0,-136.40912107692304,-19.932829964384595,-1773.3185740000008,684.3439758461539,True
29,development,strict_mixed_stratified,13,R12-R1,-136.40912107692304,-19.932829964384595,-1773.3185740000008,684.3439758461539,True
29,development,strict_mixed_stratified,13,R12-R2,0.0,0.0,0.0,547.9348547692308,True
30,development,strict_mixed_stratified,14,R1-R0,0.0,0.0,0.0,644.4137772142857,True
30,development,strict_mixed_stratified,14,R2-R0,-135.33493299999998,-21.00124761221505,-1894.6890619999995,644.4137772142857,True
30,development,strict_mixed_stratified,14,R12-R0,-135.33493299999998,-21.00124761221505,-1894.6890619999995,644.4137772142857,True
30,development,strict_mixed_stratified,14,R12-R1,-135.33493299999998,-21.00124761221505,-1894.6890619999995,644.4137772142857,True
30,development,strict_mixed_stratified,14,R12-R2,0.0,0.0,0.0,509.0788442142857,True
31,development,strict_mixed_stratified,15,R1-R0,0.0,0.0,0.0,575.345288,True
31,development,strict_mixed_stratified,15,R2-R0,-144.3323849333333,-25.086220039284182,-2164.985773999999,575.345288,True
31,development,strict_mixed_stratified,15,R12-R0,-144.3323849333333,-25.086220039284182,-2164.985773999999,575.345288,True
31,development,strict_mixed_stratified,15,R12-R1,-144.3323849333333,-25.086220039284182,-2164.985773999999,575.345288,True
31,development,strict_mixed_stratified,15,R12-R2,0.0,0.0,0.0,431.0129030666667,True
32,development,strict_mixed_stratified,16,R1-R0,-6.047890437499973,-1.6401219339798572,-96.76624699999957,368.746390875,True
32,development,strict_mixed_stratified,16,R2-R0,49.185516250000035,13.338575635489612,786.9682600000006,368.746390875,True
32,development,strict_mixed_stratified,16,R12-R0,44.70264487500003,12.122869804616915,715.2423180000005,368.746390875,True
32,development,strict_mixed_stratified,16,R12-R1,50.750535312500006,13.992485563431577,812.0085650000001,362.6985004375,True
32,development,strict_mixed_stratified,16,R12-R2,-4.482871375000002,-1.0726320002313707,-71.72594200000003,417.931907125,True
33,development,strict_mixed_stratified,10,R1-R0,0.0,0.0,0.0,886.3136449,True
33,development,strict_mixed_stratified,10,R2-R0,-126.80085469999995,-14.306544351385506,-1268.0085469999995,886.3136449,True
33,development,strict_mixed_stratified,10,R12-R0,-126.80085469999995,-14.306544351385506,-1268.0085469999995,886.3136449,True
33,development,strict_mixed_stratified,10,R12-R1,-126.80085469999995,-14.306544351385506,-1268.0085469999995,886.3136449,True
33,development,strict_mixed_stratified,10,R12-R2,0.0,0.0,0.0,759.5127902,True
34,development,strict_mixed_stratified,11,R1-R0,0.0,0.0,0.0,784.5731118181818,True
34,development,strict_mixed_stratified,11,R2-R0,-179.37938199999996,-22.863309906747048,-1973.173202,784.5731118181818,True
34,development,strict_mixed_stratified,11,R12-R0,-179.37938199999996,-22.863309906747048,-1973.173202,784.5731118181818,True
34,development,strict_mixed_stratified,11,R12-R1,-179.37938199999996,-22.863309906747048,-1973.173202,784.5731118181818,True
34,development,strict_mixed_stratified,11,R12-R2,0.0,0.0,0.0,605.1937298181819,True
35,development,strict_mixed_stratified,12,R1-R0,0.0,0.0,0.0,740.8541470833334,True
