time_s,r_m,Ta_K,Ca_kgkg,Tb_K,Cb_kgkg,abs_dT_K,abs_dC_kgkg
840.0,0.02,304.57801646615627,1.7744365424473496,304.5775538327261,1.7761018436254468,0.00046263343017471925,0.001665301178097156
900.0,0.0,302.47734322862107,2.549999994984343,302.4752114482894,2.549999999656845,0.0021317803316946993,4.672501940916618e-09
900.0,0.0001,302.4773963403055,2.549999994927588,302.4752645134251,2.549999999652786,0.002131826880429344,4.725198010646636e-09
900.0,0.0005,302.478671020732,2.549999993565463,302.47668547983767,2.549999999544099,0.0019855408943385555,5.978636252734759e-09
900.0,0.001,302.48324452689207,2.5499999886782097,302.48051924526163,2.5499999991936093,0.002725281630432619,1.0515399662125446e-08
900.0,0.005,302.61052398937454,2.549998196951063,302.6088201410422,2.5499995638499087,0.0017038483323403852,1.3668988456672082e-06
900.0,0.01,303.02706733541083,2.5493842804741274,303.0258581668737,2.549612990321668,0.0012091685371160565,0.00022870984754064239
900.0,0.015,303.7672352074866,2.499454524601367,303.76641613420895,2.5032515875068753,0.0008190732776256482,0.003797062905508408
900.0,0.019,304.6260382647207,2.029115458122665,304.6254987252154,2.034782673478433,0.0005395395053255925,0.005667215355767752
900.0,0.0195,304.749404986401,1.9098038953409044,304.7509456321303,1.9047835553228523,0.0015406457293352105,0.005020340018052183
900.0,0.02,304.88103396940585,1.7528852136536806,304.8805591494106,1.7542899406176595,0.0004748199952473442,0.001404726963978975
960.0,0.0,302.69912618541025,2.549999987720901,302.69693936820636,2.5499999988740516,0.002186817203892133,1.1153150403231393e-08
960.0,0.0001,302.6991825003321,2.5499999875990755,302.6969956488483,2.549999998862228,0.0021868514837706243,1.1263152632778883e-08
960.0,0.0005,302.70053405845465,2.5499999846752557,302.69850271937054,2.5499999985456205,0.00203133908411246,1.3870364856671813e-08
960.0,0.001,302.70538339894097,2.549999974184698,302.7025685021423,2.5499999975422334,0.0028148967986680873,2.335753546134356e-08
960.0,0.005,302.84006683039394,2.5499967399252688,302.838348147297,2.54999906668367,0.001718683096953555,2.326758401061113e-06
960.0,0.01,303.27754610328776,2.5491354871923564,303.27634360754075,2.549422956816004,0.0012024957470089248,0.0002874696236476737
960.0,0.015,304.04776922432177,2.491961404842267,304.0468654137851,2.4957782384943723,0.0009038105366698801,0.003816833652105167
960.0,0.019,304.9448412836137,2.007886709092049,304.9440870801109,2.013320313602137,0.0007542035028222926,0.005433604510087786
960.0,0.0195,305.0748062646328,1.8881414775394036,305.0764883598754,1.8832762903883489,0.0016820952425860014,0.004865187151054773
960.0,0.02,305.2145301184186,1.7322778240068948,305.21381320660345,1.733457317963616,0.0007169118151750808,0.0011794939567211227
1020.0,0.0,302.93287321739416,2.549999972195661,302.93064346744023,2.5499999967146247,0.00222974995392633,2.4518963748221267e-08
1020.0,0.0001,302.93293227810346,2.5499999719511295,302.93070249382816,2.549999996683776,0.002229784275300517,2.4732646597414032e-08
1020.0,0.0005,302.9343497351259,2.549999966082365,302.932283089326,2.549999995857714,0.002066645799914113,2.977534929726744e-08
1020.0,0.001,302.93943551842426,2.5499999450254554,302.93654707579884,2.5499999932790653,0.0028884426254194295,4.825360999660688e-08
1020.0,0.005,303.0805539706115,2.549994399106841,303.0788070319454,2.5499981496010067,0.0017469386660877717,3.750494165899454e-06
1020.0,0.01,303.53769725022664,2.54882297810782,303.5364721359265,2.549174010048158,0.001225114300154928,0.00035103194033814233
1020.0,0.015,304.3389889390934,2.4841898706420595,304.3381941634957,2.4880055279767657,0.0007947755976829285,0.003815657334706124
1020.0,0.019,305.2553358830386,1.987481901698131,305.2549277705399,1.9927095864256967,0.00040811249868966115,0.005227684727565629
1020.0,0.0195,305.3857277255966,1.8673967749251725,305.3872851877286,1.8626778505269603,0.0015574621319842663,0.004718924398212199
1020.0,0.02,305.523860290692,1.7125572765447399,305.5235444137259,1.7135303588287565,0.00031587696611268257,0.000973082284016602
1080.0,0.0,303.1774108175902,2.5499999411658933,303.17513193295855,2.549999991334194,0.0022788846316643685,5.016830062487543e-08
1080.0,0.0001,303.1774724635265,2.5499999407030534,303.1751935490719,2.5499999912609757,0.0022789144546209172,5.055792229313738e-08
1080.0,0.0005,303.1789519659974,2.5499999295948954,303.17684349166103,2.5499999893003524,0.0021084743363530833,5.970545702282948e-08
1080.0,0.001,303.1842603660664,2.5499998897392357,303.1812944434418,2.5499999832604385,0.0029659226245826176,9.35212027819432e-08
1080.0,0.005,303.3314384067314,2.549990797187589,303.3296725540264,2.549996563450758,0.0017658527050343764,5.766263169171282e-06
1080.0,0.01,303.80639272373764,2.548439692613065,303.8051805341961,2.5488579818582977,0.0012121895415475592,0.00041828924523290567
1080.0,0.015,304.63411777038544,2.4761803094420536,304.633164849266,2.4799781692349576,0.0009529211194490017,0.0037978597929040347
1080.0,0.019,305.5940726690428,1.9678392144334493,305.5931741509084,1.9728832699939303,0.000898518134420101,0.005044055560480931
1080.0,0.0195,305.7334660827145,1.8474957013959377,305.73529184641785,1.8429156608745187,0.0018257637033798346,0.0045800405214189155
1080.0,0.02,305.88382885088026,1.6936517192779463,305.8829454921079,1.694437874129818,0.0008833587723415803,0.0007861548518717232
1140.0,0.0,303.4319267616431,2.549999882674389,303.42960600930087,2.549999979054901,0.0023207523422570375,9.638051201577014e-08
1140.0,0.0001,303.4319907626326,2.5499998818424863,303.4296699765356,2.549999978894775,0.0023207860970160255,9.70522888721348e-08
1140.0,0.0005,303.4335267863804,2.549999861876822,303.43138287693233,2.5499999746069637,0.0021439094480797394,1.1273014166590656e-07
1140.0,0.001,303.43903798269787,2.5499997902407587,303.4360035972109,2.5499999615504736,0.003034385486955671,1.7130971485812552e-07
1140.0,0.005,303.59179272156763,2.5499854597052334,303.5899889679597,2.5499939672859724,0.0018037536079305028,8.507580739003373e-06
1140.0,0.01,304.0848863688642,2.547979180256038,304.08360581545855,2.548467327201447,0.001280553405649698,0.00048814694540899595
1140.0,0.015,304.9470881159224,2.4679688142803355,304.94619317971535,2.471735805945165,0.0008949362070325151,0.003766991664829522
1140.0,0.019,305.9377399055706,1.9488994153765062,305.9372071640518,1.9537814955900745,0.0005327415187821316,0.004882080213568285
1140.0,0.0195,306.07938224050827,1.828364151780369,306.0811115405391,1.8239160549499553,0.0017293000308313822,0.004448096830413695
1140.0,0.02,306.22996605946264,1.6754537305913813,306.22952387251826,1.676081077972987,0.0004421869443831383,0.0006273473816058583
