audit,certified_clears,clear_attempts,cleared,completion_reason,device,discovery_nodes,distance_m,execution_backend,localization_observations,mean_time_per_source_s,measures,mixed,optical_fallbacks,policy,problem,runtime_s,seed,status,total,variant,virtual_time_s,wall_s
True,12,12,12,coverage_exhausted,cpu,7,15474.608101319503,LOCAL_DEV,32,315.74346841666664,107,False,0,P3,3,0.864608899995801,31,FULL_CLEAR,12,A,3788.921621,0.865016600000672
True,12,12,12,coverage_exhausted,cpu,7,12938.178923582725,LOCAL_DEV,36,282.80298225,125,False,0,P3,3,0.7743874000007054,31,FULL_CLEAR,12,D,3393.635787,0.7751203999941936
True,15,15,15,coverage_exhausted,cpu,7,19482.240887805867,LOCAL_DEV,40,303.76321153333333,99,False,0,P3,3,1.0454763999878196,32,FULL_CLEAR,15,A,4556.448173,1.0459149999951478
True,15,15,15,coverage_exhausted,cpu,7,15766.933420108984,LOCAL_DEV,43,260.62577913333337,115,False,0,P3,3,1.1610298000014154,32,FULL_CLEAR,15,D,3909.386687,1.1615256999939447
True,11,11,11,coverage_exhausted,cpu,7,17572.440865690427,LOCAL_DEV,29,381.5898339090909,106,False,0,P3,3,0.8093127000029199,33,FULL_CLEAR,11,A,4197.488173,0.8097797999944305
True,11,11,11,coverage_exhausted,cpu,7,13699.460311084,LOCAL_DEV,31,317.9901873636364,118,False,0,P3,3,0.7155978999944637,33,FULL_CLEAR,11,D,3497.892061,0.7160708000010345
True,15,15,15,coverage_exhausted,cpu,7,14428.38400310178,LOCAL_DEV,43,239.3117868,106,False,0,P3,3,0.9275365999928908,34,FULL_CLEAR,15,A,3589.676802,0.9280150000122376
True,15,15,15,coverage_exhausted,cpu,7,14717.565530979864,LOCAL_DEV,45,251.16754053333335,126,False,0,P3,3,1.1380891000007978,34,FULL_CLEAR,15,D,3767.513108,1.138613000002806
True,11,11,11,coverage_exhausted,cpu,7,16876.356835271752,LOCAL_DEV,31,375.7519423636364,118,False,0,P3,3,0.7558199999912176,35,FULL_CLEAR,11,A,4133.271366,0.7563138999976218
True,11,11,11,coverage_exhausted,cpu,7,15409.680182052163,LOCAL_DEV,30,350.0850939090909,120,False,0,P3,3,0.6371776000014506,35,FULL_CLEAR,11,D,3850.936033,0.6376741999993101
True,14,14,14,coverage_exhausted,cpu,7,14581.124858722094,LOCAL_DEV,38,259.6589266428571,109,False,0,P3,3,0.7853782000020146,36,FULL_CLEAR,14,A,3635.224973,0.78565219999291
True,14,14,14,coverage_exhausted,cpu,7,14581.124858722094,LOCAL_DEV,38,259.6589266428571,109,False,0,P3,3,0.8340389999939362,36,FULL_CLEAR,14,D,3635.224973,0.8343300999986241
True,15,15,15,coverage_exhausted,cpu,7,18850.256416194836,LOCAL_DEV,40,299.4700858,109,False,0,P3,3,0.928405800004839,37,FULL_CLEAR,15,A,4492.051287,0.9289168999966932
True,15,15,15,coverage_exhausted,cpu,7,19875.845186604045,LOCAL_DEV,39,312.8112689333333,108,False,0,P3,3,0.9606315999990329,37,FULL_CLEAR,15,D,4692.169034,0.961135599995032
True,15,30,16,coverage_exhausted,cpu,7,18046.14887186978,LOCAL_DEV,43,274.389360625,111,False,1,P3,3,1.1021287000039592,38,FULL_CLEAR,16,A,4390.22977,1.1026774999918416
True,16,16,16,coverage_exhausted,cpu,7,15833.11157666815,LOCAL_DEV,46,247.5388946875,120,False,0,P3,3,0.9514023999945493,38,FULL_CLEAR,16,D,3960.622315,0.9520032000000356
True,15,15,15,coverage_exhausted,cpu,7,18471.20255795964,LOCAL_DEV,39,288.61603433333335,95,False,0,P3,3,1.056201900006272,39,FULL_CLEAR,15,A,4329.240515,1.056657199995243
