id,variant,channel,adopted,saving_us,planning_wall_s
20,B,10,True,801118,0.016748899972299114
21,A,14,True,856732,0.08850849998998456
21,A,4,True,26807,0.032819899992318824
21,A,8,True,24888,0.030660899996291846
21,A,7,True,3811316,0.0341109000146389
21,A,17,True,244,0.10607049998361617
21,A,5,True,1768640,0.03291829998488538
21,A,2,True,736521,0.11841089997324161
21,A,9,True,5248246,0.03651249996619299
21,A,3,True,2122207,0.04223279998404905
21,A,6,True,2219284,0.13441599998623133
21,A,1,True,3640854,0.10475120000774041
21,A,18,True,4112214,0.026957099995343015
21,A,15,True,355284,0.030131900013657287
21,B,5,True,3982635,0.11269189999438822
21,B,17,True,1871683,0.031773700000485405
21,B,2,True,1528714,0.10408369998913258
21,B,9,True,2135306,0.032554500008700415
21,B,7,True,2231700,0.02840680000372231
21,B,3,True,566395,0.023771500011207536
21,B,1,True,562138,0.026916900009382516
21,B,15,True,2136226,0.034015600016573444
21,B,4,True,2582996,0.021398199984105304
21,B,8,True,563326,0.026347700011683628
21,B,18,True,651149,0.10790590001852252
21,B,6,True,2029302,0.026473699981579557
22,A,2,True,18032,0.032435899978736416
22,A,4,True,4829565,0.03909949999069795
22,A,14,True,3483700,0.02976540001691319
22,A,19,True,2925074,0.029628599964780733
22,A,6,True,4544741,0.02992390000144951
22,A,10,True,2169123,0.025898699997924268
22,A,16,True,626624,0.09850779999396764
22,A,11,True,338810,0.026811899966560304
22,A,17,True,3513102,0.02961699999286793
22,A,15,True,3570672,0.024720999994315207
22,A,9,True,4895469,0.0274982999835629
22,A,8,True,1354877,0.02737420002813451
22,B,10,True,3588615,0.018899899994721636
22,B,6,True,3031911,0.1522209000249859
22,B,19,True,3794552,0.024387699988437817
22,B,2,True,614677,0.02702459998545237
22,B,4,True,2715809,0.025393799965968356
22,B,15,True,2780492,0.02845700000762008
22,B,9,True,859731,0.12164830000256188
22,B,8,True,2744615,0.06216819997644052
22,B,16,True,1170215,0.0983917000121437
22,B,11,True,1204483,0.01923270002589561
22,B,14,True,4898296,0.029037000000244007
22,B,17,True,1184416,0.02875799997127615
23,A,14,True,2324982,0.08440189997782
23,A,6,True,1273393,0.02144040001439862
23,A,3,True,2032677,0.030324999999720603
23,A,5,True,3300340,0.10147460000007413
23,A,17,True,4886900,0.0207349999982398
23,A,16,True,1225211,0.11484810002730228
23,A,8,True,29683,0.028497599996626377
23,A,10,True,2756111,0.047683200013125315
23,A,15,True,6010,0.02658010000595823
23,A,18,True,4398930,0.10801299999002367
23,A,4,True,3324618,0.03440549998776987
23,A,1,True,1949276,0.12107069999910891
23,A,9,True,1386959,0.041973300016252324
23,A,11,True,684526,0.10962739997194149
23,A,12,True,192040,0.10038399999029934
23,A,19,True,2723370,0.02937740000197664
23,B,6,True,168774,0.04482340000686236
23,B,14,True,4162512,0.03437879998818971
23,B,3,True,2245105,0.030702799966093153
23,B,15,True,4683800,0.037643599964212626
23,B,18,True,3294597,0.033291100000496954
23,B,1,True,1165870,0.03744649997679517
23,B,9,True,1437,0.04008980002254248
23,B,11,True,127826,0.03363869999884628
23,B,12,True,571498,0.09208219998981804
23,B,19,True,4951857,0.09783250000327826
23,B,8,True,4672272,0.11556440001004376
