id,step,repeat,channel,source_ess,source_proposals,noise_samples,selected_noise_ess,zero_source_weights
169,9,2,1,103.54332498231685,128,512,322.0,1
169,9,2,3,55.38800924584656,128,512,59.99999999999998,15
169,9,2,4,127.9810558060889,128,512,512.0,0
169,9,2,5,69.5636133102263,128,512,430.9999999999993,11
169,9,2,6,78.52663081478958,128,512,88.00000000000006,10
169,9,2,7,90.70787668523089,128,512,61.00000000000002,3
169,9,2,11,82.36050022537805,128,512,512.0,8
169,9,2,12,94.8159181873339,128,512,468.00000000000034,2
169,9,2,13,126.946138733899,128,512,512.0,1
169,9,2,14,49.195651617367474,128,512,254.9999999999999,29
169,9,2,17,127.78311703477405,128,512,512.0,0
169,9,2,19,92.83044265352066,128,512,268.00000000000034,2
169,9,2,20,127.0,128,512,512.0,1
169,9,0,1,99.543753766067,128,512,457.99999999999966,5
169,9,0,3,68.17780453334802,128,512,336.9999999999997,13
169,9,0,4,127.98929256234915,128,512,512.0,0
169,9,0,5,74.00972466624563,128,512,467.00000000000017,12
169,9,0,6,82.12190734539502,128,512,484.99999999999966,9
169,9,0,7,86.9512770096684,128,512,509.9999999999991,4
169,9,0,11,92.54207672774449,128,512,512.0,9
169,9,0,12,91.21748536286604,128,512,329.9999999999999,10
169,9,0,13,126.94295728037648,128,512,512.0,1
169,9,0,14,54.45396113627477,128,512,289.0000000000003,19
169,9,0,17,127.91105574077301,128,512,512.0,0
169,9,0,19,93.42922059420512,128,512,232.99999999999943,1
169,9,0,20,127.0,128,512,512.0,1
169,9,1,1,99.61657473114737,128,512,108.00000000000009,2
169,9,1,3,56.17885222641651,128,512,298.0000000000002,16
169,9,1,4,126.00000000000003,128,512,512.0,2
169,9,1,5,72.65915836369766,128,512,392.9999999999997,9
169,9,1,6,73.45506237280269,128,512,482.99999999999926,12
169,9,1,7,81.33307060487401,128,512,30.000000000000025,10
169,9,1,11,89.20330019427645,128,512,455.9999999999998,4
169,9,1,12,89.80021298313416,128,512,508.0,8
169,9,1,13,126.76495860639051,128,512,512.0,1
169,9,1,14,43.611441413736706,128,512,138.9999999999999,17
169,9,1,17,127.0,128,512,512.0,1
169,9,1,19,93.5601265445163,128,512,70.00000000000018,4
169,9,1,20,127.86030017983973,128,512,512.0,0
751,9,1,1,93.75128742730288,128,512,511.0,5
751,9,1,3,83.77710537375523,128,512,446.0,8
751,9,1,4,78.05974957028661,128,512,505.0000000000002,10
751,9,1,5,73.91784432716071,128,512,101.99999999999974,7
751,9,1,6,83.232461396406,128,512,468.99999999999943,11
751,9,1,7,75.08559761293915,128,512,467.00000000000017,13
751,9,1,12,85.72240836976285,128,512,244.99999999999997,7
751,9,1,14,83.65797347373702,128,512,195.9999999999999,10
751,9,1,16,83.21186459433865,128,512,512.0,5
751,9,1,18,55.95596043649166,128,512,122.99999999999964,18
751,9,1,19,90.10508759689083,128,512,509.0000000000003,10
751,9,0,1,90.25896485582533,128,512,355.0000000000002,5
751,9,0,3,81.9629718563991,128,512,427.000000000001,6
751,9,0,4,76.51674567183943,128,512,498.9999999999996,13
751,9,0,5,65.20391049567708,128,512,315.0000000000001,13
751,9,0,6,96.1224723413158,128,512,499.00000000000017,3
751,9,0,7,72.85054650247248,128,512,340.0000000000001,10
751,9,0,12,91.64277909148211,128,512,19.999999999999993,4
751,9,0,14,86.74474133598352,128,512,512.0,7
751,9,0,16,87.27669305430676,128,512,491.00000000000006,6
751,9,0,18,65.1812420675447,128,512,474.00000000000045,10
751,9,0,19,87.76074635227074,128,512,438.00000000000017,5
751,9,2,1,91.1882655634832,128,512,512.0,3
751,9,2,3,84.74748390032612,128,512,472.9999999999997,6
751,9,2,4,71.80366854422824,128,512,507.0000000000003,11
751,9,2,5,74.53242657176011,128,512,463.00000000000006,9
751,9,2,6,86.86890365235229,128,512,455.9999999999998,10
751,9,2,7,88.46719961418255,128,512,512.0000000000002,9
751,9,2,12,92.24529749912408,128,512,507.0000000000003,4
751,9,2,14,88.15386320666377,128,512,512.0,5
751,9,2,16,83.7948075365596,128,512,454.0000000000007,5
