certified_clears,clear_attempts,clear_rate,cleared,distance_m,error,evidence,localization_observations,mean_time_per_source_s,measure_count,mixed,optical_fallbacks,policy,runtime_s,seed,stress,switch_count,total,use_negative,virtual_time_s
8,15,1.0,14,35024.67762869213,,synthetic_local,45,756.4239661241734,593,True,6,P4,0.542242700000001,19,cluster,547,14,False,10589.935525738427
16,16,1.0,16,34758.74598028326,,synthetic_local,42,469.67182475354065,86,False,0,P1,0.040945000000000675,20,random,53,16,True,7514.74919605665
16,16,1.0,16,37459.58765495926,,synthetic_local,43,503.74484568699074,87,False,0,P2,0.9289778000000002,20,random,53,16,True,8059.917530991852
14,32,1.0,16,14879.190022913048,,synthetic_local,49,233.11487528641308,105,False,2,P3,0.6346428,20,random,101,16,True,3729.8380045826093
6,904,1.0,16,417438.5474770437,,synthetic_local,33,5502.60684346305,317,True,10,P1,0.08447359999999904,20,random,225,16,True,88041.7094954088
11,309,1.0,16,160307.6047397066,,synthetic_local,55,2220.345059246332,427,True,5,P4,0.8710605999999999,20,random,370,16,True,35525.52094794131
10,314,1.0,16,137953.89166393553,,synthetic_local,53,1941.548645799192,426,True,6,P4,0.6716157000000003,20,random,370,16,False,31064.77833278707
12,12,1.0,12,26759.26952903425,,synthetic_local,34,511.07115881723763,125,False,0,P1,0.03453060000000008,21,edge,96,12,True,6132.853905806852
12,12,1.0,12,27492.383047994612,,synthetic_local,33,522.8730507999101,124,False,0,P2,0.859040199999999,21,edge,96,12,True,6274.476609598921
12,12,1.0,12,16223.233023090308,,synthetic_local,29,334.7205503848385,120,False,0,P3,0.7074043000000003,21,edge,112,12,True,4016.6466046180617
2,1674,1.0,12,539778.0551549698,,synthetic_local,17,9720.63425258284,621,True,10,P1,0.10071690000000011,21,edge,541,12,True,116647.61103099409
7,362,1.0,12,95969.50862838405,,synthetic_local,28,2006.0751438063987,636,True,5,P4,0.5865989999999996,21,edge,589,12,True,24072.901725676784
5,331,1.0,12,86407.98180153874,,synthetic_local,25,1839.3830300256457,637,True,7,P4,0.5717163999999997,21,edge,589,12,False,22072.596360307747
15,15,1.0,15,33898.531853450106,,synthetic_local,44,495.0470913793348,101,False,0,P1,0.05054279999999878,22,bias,66,15,True,7425.706370690022
15,15,1.0,15,35320.592631514744,,synthetic_local,42,513.3412350868633,99,False,0,P2,0.8846430000000005,22,bias,66,15,True,7700.11852630295
15,15,1.0,15,16714.3767452949,,synthetic_local,40,266.058356603932,97,False,0,P3,0.7019841999999983,22,bias,88,15,True,3990.87534905898
9,402,1.0,15,125810.0083354838,,synthetic_local,35,1931.2667778064497,442,True,6,P1,0.08914299999999997,22,bias,361,15,True,28969.001667096745
12,72,1.0,15,41013.72391853713,,synthetic_local,50,773.7829855804954,535,True,3,P4,0.7678738000000003,22,bias,483,15,True,11606.74478370743
11,73,1.0,15,41019.944387073236,,synthetic_local,48,774.0659251609769,535,True,4,P4,0.6229732000000006,22,bias,483,15,False,11610.988877414653
10,10,1.0,10,22680.75801704586,,synthetic_local,30,515.9151603409173,100,False,0,P1,0.02558700000000158,23,cluster,73,10,True,5159.151603409173
10,10,1.0,10,24652.377806031025,,synthetic_local,30,555.3475561206205,100,False,0,P2,0.7180076,23,cluster,73,10,True,5553.475561206205
10,10,1.0,10,12156.98898738973,,synthetic_local,30,307.03977974779457,100,False,0,P3,0.556780100000001,23,cluster,89,10,True,3070.3977974779455
5,634,1.0,10,212360.94071023818,,synthetic_local,19,4751.118814204767,531,True,5,P1,0.061704800000001114,23,cluster,462,10,True,47511.18814204767
2,22,1.0,10,34590.86472768795,,synthetic_local,24,1098.0172945537593,670,True,8,P4,0.5928557000000012,23,cluster,626,10,True,10980.172945537592
2,22,1.0,10,34590.86472768795,,synthetic_local,24,1098.0172945537593,670,True,8,P4,0.4515533999999981,23,cluster,626,10,False,10980.172945537592
12,12,1.0,12,27456.6800996214,,synthetic_local,32,513.3613349936901,106,False,0,P1,0.029125799999999202,24,random,79,12,True,6160.336019924282
12,12,1.0,12,29356.86603904664,,synthetic_local,32,545.0311006507773,106,False,0,P2,0.7081254000000001,24,random,79,12,True,6540.373207809327
12,12,1.0,12,16922.55373030423,,synthetic_local,32,339.2092288384038,106,False,0,P3,0.6627804999999967,24,random,96,12,True,4070.5107460608456
6,703,1.0,12,192485.71162531673,,synthetic_local,23,3612.261860421951,465,True,6,P1,0.06697489999999817,24,random,392,12,True,43347.14232506341
7,31,1.0,12,38815.785270153436,,synthetic_local,48,922.013087835891,540,True,5,P4,0.6131789999999988,24,random,484,12,True,11064.157054030693
7,118,1.0,12,59308.86167982047,,synthetic_local,41,1282.8143613303412,534,True,5,P4,0.5817639000000021,24,random,484,12,False,15393.772335964093
13,13,1.0,13,29439.634980471328,,synthetic_local,37,510.4559227764819,119,False,0,P1,0.030741800000001263,25,edge,88,13,True,6635.926996094265
13,13,1.0,13,30228.024850907183,,synthetic_local,35,521.8157669370337,117,False,0,P2,0.7355617000000017,25,edge,88,13,True,6783.604970181437
13,13,1.0,13,17245.546923137146,,synthetic_local,31,321.9314911251869,113,False,0,P3,0.5349940999999987,25,edge,106,13,True,4185.10938462743
