cohort,seed,seed_hex,source_seed,derivation_index,contrast,reference,candidate,valid_pair,reference_status,candidate_status,mean_time_per_source_delta,virtual_time_s_delta,last_source_first_seen_s_delta,last_source_first_seen_per_source_s_delta,detect_count_delta,switch_count_delta,discovery_measures_delta,discovery_travel_s_delta,discovery_measure_s_delta,discovery_switch_s_delta,final_discovery_measure_s_delta,post_last_seen_discovery_s_delta,post_all_cleared_discovery_s_delta,distance_delta,stage_discovery_s_delta,stage_active_localization_s_delta,stage_diagnostic_s_delta,stage_optical_fallback_s_delta,stage_certified_clear_s_delta,comparison,last_discovery_comparison
holdout128,53,048c727c7d3498e9015ab8bcb1aca3291bfa39614405d9f9dfd2944730ef83da,,85,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-74.09629590909094,-815.0592550000001,-2683.0303030000005,-243.91184572727275,-31,-28,-28,-525.7035800000012,-140.0,-27.0,-815.0592550000001,1536.3008739999996,-103.1742090000007,-3160.2962761991585,-692.7035799999994,-281.39907700000094,0.0,0.0,159.04340200000115,win,win
holdout128,53,048c727c7d3498e9015ab8bcb1aca3291bfa39614405d9f9dfd2944730ef83da,,85,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,20.24781609090917,222.72597700000006,415.72597699999915,37.79327063636356,9,9,9,87.95213799999874,45.0,9.0,222.72597700000006,-193.0000000000009,-193.0,843.6298805513579,141.95213799999874,1.82061499999827,0.0,0.0,78.9532240000035,loss,loss
holdout128,54,fcb9ff8dc19666a65850aee6b4ec31617745faf5e22d205663dd64355e836813,,86,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-69.85868627272725,-768.445549,-2566.0898540000003,-233.28089581818185,-5,2,-1,-631.9612900000002,-5.0,1.0,-768.445549,1548.8976789999997,1328.4584009999999,-3727.227748806261,-635.9612899999993,-188.66198699999916,0.0,0.0,56.17772799999943,win,win
holdout128,54,fcb9ff8dc19666a65850aee6b4ec31617745faf5e22d205663dd64355e836813,,86,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,tie
holdout128,55,e9915d0e2c787582afb1bf960e666d4b06009b6dfc5b2fe7cb528f4b42889051,,87,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-47.042705750000096,-564.5124690000011,757.2629539999998,63.105246166666575,-20,-20,-16,-422.7651480000004,-80.0,-16.0,-564.5124690000011,-1064.7840239999996,-538.4091399999998,-2222.5623197016102,-518.7651480000004,-634.5711139999992,35.155395000000226,0.0,553.668397999998,win,loss
holdout128,55,e9915d0e2c787582afb1bf960e666d4b06009b6dfc5b2fe7cb528f4b42889051,,87,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,tie
holdout128,56,336c9c5bb3d4ad770fda67d300b1ee9bec7eebe2ef5f46095758597e93436e17,,88,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-83.10687774999997,-997.2825329999996,-1847.2993480000005,-153.9416123333334,34,44,42,-810.3954690000028,210.0,45.0,-997.2825329999996,782.040309,975.040309,-6056.41267647317,-555.3954690000028,272.49882100000207,-786.2347219999999,0.0,71.8488370000004,win,win
holdout128,56,336c9c5bb3d4ad770fda67d300b1ee9bec7eebe2ef5f46095758597e93436e17,,88,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,tie
holdout128,57,09166f3d0a83adae1857b5b747682064ada884b99919586e7a268ae6e5aad125,,89,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-169.5577586153846,-2204.250862000001,-5624.588226999999,-432.6606328461538,8,18,16,-469.8985789999979,80.0,18.0,-2204.250862000001,3081.4976500000002,1095.9353119999996,-8836.254298700558,-371.8985789999988,-85.0056210000023,-282.4853949999999,-1325.0383590000001,-139.82290800000044,win,win
holdout128,57,09166f3d0a83adae1857b5b747682064ada884b99919586e7a268ae6e5aad125,,89,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,-50.31768099999999,-654.1298530000004,-135.45665499999996,-10.419742692307693,-47,-44,-44,-146.27218400000038,-220.0,-43.0,-654.1298530000004,-369.5649830000002,3031.162229999999,-1875.649282157654,-409.27218399999947,-325.48997000000054,0.0,0.0,80.63230100000033,win,win
holdout128,58,53daf11a4fe2ae6f10f8e69386b70909a1c578dff6ddbee212483b57bc760d5b,,90,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-79.9510417272727,-879.4614590000001,-2904.3211549999996,-264.02919590909084,-104,-106,-106,-521.8438139999998,-530.0,-107.0,-879.4614590000001,1930.6100390000001,1930.6100390000001,-1267.3072846510404,-1158.8438139999998,71.52019799999994,0.0,0.0,207.86215700000002,win,win
holdout128,58,53daf11a4fe2ae6f10f8e69386b70909a1c578dff6ddbee212483b57bc760d5b,,90,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,tie
holdout128,59,04d2b3490622f10c50519d75624ee3d77cc8d1c48e22d23c098c740e8e5da17d,,91,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-42.21626641666671,-506.59519700000055,-1225.0891890000003,-102.09076575000006,0,2,4,-326.6150929999976,20.0,3.0,-506.59519700000055,601.1378400000012,-446.68276499999956,-2542.9759840087936,-303.6150929999985,-607.1244720000009,228.68158099999982,0.0,175.46278699999823,win,win
holdout128,59,04d2b3490622f10c50519d75624ee3d77cc8d1c48e22d23c098c740e8e5da17d,,91,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,-23.729566750000004,-284.75480099999913,-1336.9803049999991,-111.4150254166666,-92,-95,-94,107.04850199999782,-470.0,-95.0,-284.75480099999913,987.2137519999987,1358.2736619999996,1351.2260023373601,-457.95149800000036,466.50470700000096,-228.68158099999982,0.0,-64.62642899999855,win,win
holdout128,60,429513cdf8c936c46eae19bb395d0774f784633b38f720396b7365cc8ce47d56,,92,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-130.02182973333333,-1950.3274459999993,-2141.5418070000014,-142.76945380000006,3,11,11,-1360.0895919999994,55.0,15.0,-1950.3274459999993,-35.67307699999765,-555.322431999999,-9881.637223089638,-1290.0895919999984,-329.15464599999746,-525.7119570000004,0.0,194.62874899999844,win,win
holdout128,60,429513cdf8c936c46eae19bb395d0774f784633b38f720396b7365cc8ce47d56,,92,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,50.93805120000002,764.0707679999996,-1230.9330089999994,-82.06220059999998,-68,-70,-70,1071.1970919999994,-350.0,-72.0,764.0707679999996,2010.150353,-178.95529800000077,5870.353844011981,649.1970920000003,-540.9248960000023,542.431313,0.0,113.3672590000017,loss,win
holdout128,61,efd0246f3f2243222baf279a0d0ccad33fff0b4b05d4831d436df077ab94aa48,,93,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-137.12687500000004,-1508.395625000001,-3037.1251459999994,-276.10228599999994,-96,-92,-92,-1038.8068379999995,-460.0,-92.0,-1508.395625000001,985.4839859999984,-512.1559870000019,-4681.978126806833,-1590.8068379999986,97.73498800000004,47.259799999999814,0.0,-62.58357500000125,win,win
holdout128,61,efd0246f3f2243222baf279a0d0ccad33fff0b4b05d4831d436df077ab94aa48,,93,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,-39.41191181818192,-433.5310300000001,-3913.252497,-355.750227,-71,-70,-67,177.849424,-335.0,-67.0,-433.5310300000001,3565.029839,4547.1568130000005,-42.65515759208938,-224.150576,-12.803022999999484,-359.14135499999975,0.0,162.56392399999862,win,win
holdout128,62,d1ea47c711ff89dec1cbf0a975edde50dea1223bf426db945efe3b3476e1d9b9,,94,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-45.85186399999998,-458.51864000000023,-849.4106089999996,-84.94106089999991,11,11,12,-189.6949050000012,60.0,14.0,-458.51864000000023,329.76231299999836,-285.23768700000073,-2622.59319572604,-115.69490500000211,-715.9918730000004,174.33082999999988,0.0,198.8373080000016,win,win
holdout128,62,d1ea47c711ff89dec1cbf0a975edde50dea1223bf426db945efe3b3476e1d9b9,,94,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,tie
holdout128,63,5669dff0e487f578d3f297b24b4e6045bfaa5f1cdee89e9b97e6440c9b2fc6ad,,95,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-124.06875292307689,-1612.8937879999994,-1684.4291970000004,-129.57147669230778,-31,-25,-29,-855.4245949999986,-145.0,-25.0,-1612.8937879999994,-210.4406969999991,1809.325675000001,-7164.468959499296,-1025.4245949999968,164.81853200000296,-641.6034209999998,0.0,-110.68430400000466,win,win
