cohort,problem,seed,seed_hex,baseline,candidate,baseline_s_per_source,candidate_s_per_source,delta_s_per_source,comparison,total_time_delta_s,distance_delta_m,certificate_travel_delta_m,discovery_delta_s,active_localization_delta_s,diagnostic_delta_s,optical_fallback_delta_s,certified_clear_delta_s
development100,4,19,0000000000000000000000000000000000000000000000040000000000000000,mec_center,nccp,1075.4917470909093,1074.2083592727272,-1.2833878181820637,win,-14.11726600000111,-70.58634472278209,-80.8789334007879,3.1462050000009185,-1.786127999999735,0.6984419999998863,0.0,-16.175785000001895
development100,4,19,0000000000000000000000000000000000000000000000040000000000000000,mec_center,segment_entry,1075.4917470909093,1074.0402028181818,-1.4515442727274603,win,-15.96698699999979,-79.83494636098476,-76.94261820415932,1.6810829999994894,-1.814564999997856,-0.44498200000043653,0.0,-15.388523000001669
development100,4,19,0000000000000000000000000000000000000000000000040000000000000000,nccp,segment_entry,1074.2083592727272,1074.0402028181818,-0.16815645454539663,win,-1.8497209999986808,-9.248601638202672,3.936315196628584,-1.4651220000014291,-0.028436999998120882,-1.1434240000003228,0.0,0.7872620000002257
development100,4,20,0000000000000000000000000000000000000000000001000000000000000000,mec_center,nccp,646.6978756875,645.7542194375,-0.9436562500000036,win,-15.098500000000058,-75.49250482116622,-126.80020912829332,6.408342000002449,3.892273999995723,-0.03907299999991665,0.0,-25.36004299999547
development100,4,20,0000000000000000000000000000000000000000000001000000000000000000,mec_center,segment_entry,646.6978756875,645.7793114375,-0.9185642499999176,win,-14.697027999998681,-73.48512764261977,-117.03808873237813,6.003292000003057,2.746598999998241,-0.03929900000002817,0.0,-23.407619999998587
development100,4,20,0000000000000000000000000000000000000000000001000000000000000000,nccp,segment_entry,645.7542194375,645.7793114375,0.025092000000086045,loss,0.4014720000013767,2.0073771785464487,9.76212039591519,-0.40504999999939173,-1.1456749999974818,-0.00022600000011152588,0.0,1.9524229999968838
development100,4,21,0000000000000000000000000000000000000000000040000000000000000000,mec_center,nccp,807.6463910714285,805.6717753571429,-1.974615714285619,win,-27.644619999999122,-138.2231046105735,-144.47304151556727,0.7304340000009688,0.5195529999991777,0.0,0.0,-28.894606999998928
development100,4,21,0000000000000000000000000000000000000000000040000000000000000000,mec_center,segment_entry,807.6463910714285,805.7574772857142,-1.8889137857142941,win,-26.444793000000573,-132.2239751866946,-141.2756042681808,1.4016430000010587,0.4086819999999989,0.0,0.0,-28.25511800000129
development100,4,21,0000000000000000000000000000000000000000000040000000000000000000,nccp,segment_entry,805.6717753571429,805.7574772857142,0.08570192857132497,loss,1.1998269999985496,5.999129423878912,3.1974372473864605,0.6712090000000899,-0.11087099999917882,0.0,0.0,0.6394889999976385
development100,4,22,0000000000000000000000000000000000000000001000000000000000000000,mec_center,nccp,1161.7291606000001,1163.2527848,1.5236241999998583,loss,15.236241999999038,1.181207127207017,-99.1054142602402,-0.08091000000058557,35.1382339999991,0.0,0.0,-19.821081999999933
