seed,method,diameter_m,mec_radius_m,time_s
43,NBV,82.99125326607296,41.4956266430365,199.7623640057386
44,random_safe,19.968346622017208,9.98417332100861,122.95900404451693
44,perpendicular_midpoint,42.124326668577055,21.062163344288557,164.81668060833846
44,NBV,63.10729243278959,31.553646226394818,193.50436917902465
45,random_safe,44.100195626216966,22.05009782310851,169.98844820982896
45,perpendicular_midpoint,47.490141541465846,23.745070780732924,166.02078248699883
45,NBV,97.1512469291446,48.575623474572325,199.83567498192946
46,random_safe,113.2511880110246,56.62559401551231,193.08881166872925
46,perpendicular_midpoint,91.01711028680725,45.50855515340363,165.02976316462968
46,NBV,113.2511880110246,56.62559401551231,193.08881166872925
47,random_safe,297.25065832719764,148.62532917359883,209.8128772481969
47,perpendicular_midpoint,29.07511769494771,14.537558857473863,164.994623798198
47,NBV,28.67722342651866,14.338961153662721,173.4599147625131
48,random_safe,152.51947623717487,76.25973812858754,191.0825886909198
48,perpendicular_midpoint,158.51021653220644,79.25510827610326,166.08230349707262
48,NBV,126.44426494498587,63.22213248249294,179.34447035569266
49,random_safe,43.93438052815139,21.967190274075715,165.37273650914557
49,perpendicular_midpoint,43.280560585071626,21.640280302535814,166.04920180867992
49,NBV,57.18393070936911,28.59196536468457,187.11648622722237
50,random_safe,63.537898667639666,31.768949343819873,165.41654534117694
50,perpendicular_midpoint,64.48605466294293,32.24302734147151,165.2933798441637
50,NBV,38.675051042635864,19.33752553131795,197.45622250122685
51,random_safe,33.71175122685862,16.855875623429345,194.39243016472264
51,perpendicular_midpoint,35.21703706527617,17.6085185426381,165.90990295739354
51,NBV,33.71175122685862,16.855875623429345,194.39243016472264
52,random_safe,51.96170297708239,25.98085149854122,190.91831576251747
52,perpendicular_midpoint,79.11287474103075,39.5564373805154,166.07338472935845
52,NBV,51.96170297708239,25.98085149854122,190.91831576251747
53,random_safe,32.569561244185095,16.28478063209256,126.29675980700495
53,perpendicular_midpoint,63.33102190911862,31.665510964559314,165.07162486415413
53,NBV,101.89324193080893,50.94662097540447,196.1864809130933
54,random_safe,76.51017248189036,38.25508625094518,175.0997093550769
54,perpendicular_midpoint,96.87368438901852,48.43684220450929,165.6507954414635
54,NBV,76.51017248189036,38.25508625094518,175.0997093550769
55,random_safe,85.08150846195797,42.54075424097905,157.6600780547239
55,perpendicular_midpoint,80.27587528754198,40.137937653771,164.92198625152827
55,NBV,55.454365968421804,27.72718299421092,178.02621260317505
56,random_safe,26.002594320965642,13.001297170482848,129.5273826085667
56,perpendicular_midpoint,32.54873505000723,16.27436753500364,164.82346381247038
56,NBV,34.1227153861523,17.06135770307615,175.09970935507704
57,random_safe,174.86260872242255,87.43130437121131,129.4957353997258
57,perpendicular_midpoint,242.7535251169145,121.37676256845725,164.6938518505635
57,NBV,166.2164080579763,83.10820403898816,174.76410702562856
58,random_safe,109.82023677826983,54.91011839913493,191.10257561471067
58,perpendicular_midpoint,81.2048947056106,40.6024473628053,164.72160948907737
58,NBV,77.06906440966362,38.53453221483181,179.30968181137396
59,random_safe,53.07332119425742,26.536660607128738,165.41654534117697
59,perpendicular_midpoint,51.7426674665469,25.87133374327346,165.03999828528057
59,NBV,50.27851742616719,25.139258723083625,175.09970935507718
60,random_safe,750.9044973527937,375.45224868639684,160.1808994705587
60,perpendicular_midpoint,44.70245685898332,22.35122843949166,165.31700813546132
60,NBV,64.09913046971639,32.0495652448582,191.03906711013542
61,random_safe,39.2106009897397,19.605300504869852,200.21559666005095
61,perpendicular_midpoint,60.05678774839035,30.028393884195175,165.6036371498107
61,NBV,39.518093327550524,19.759046673775288,197.45622250122688
62,random_safe,174.883085077147,87.44154254857355,129.51778696472365
62,perpendicular_midpoint,108.83639461026921,54.41819731513468,166.07990072911352
62,NBV,69.47996294137707,34.7399814806886,200.15243552207923
63,random_safe,72.86670723390614,36.43335362695313,186.92300571594578
63,perpendicular_midpoint,107.229729718746,53.614864869373,164.66778822966754
63,NBV,72.86670723390614,36.43335362695313,186.92300571594578
64,random_safe,30.67310928057898,15.336554650289512,129.5273826085666
64,perpendicular_midpoint,29.55707071816684,14.778535369083421,165.57668300675874
64,NBV,37.385636201698425,18.692818110849245,183.5331227353466
65,random_safe,39.00487451122368,19.502437265611892,165.47705323460315
65,perpendicular_midpoint,39.27877815422854,19.63938908711431,164.7983538780428
