seed,method,point_error_m,point_attempt_success,diameter_stop,mec_stop,mec_center_error_m
41,NBV,9.645156278863336,True,False,False,8.451727647939729
42,random_safe,6.912600686264493,True,True,True,6.897023993156525
42,perpendicular_midpoint,8.423169659809847,True,False,False,9.135422563054943
42,NBV,6.912600686264493,True,True,True,6.897023993156525
43,random_safe,4.040393727172698,True,False,False,3.6617587174573165
43,perpendicular_midpoint,5.4268589088696215,True,False,False,5.186930432944995
43,NBV,4.040393727172698,True,False,False,3.6617587174573165
44,random_safe,5.433941709885759,True,True,True,5.4520437275891265
44,perpendicular_midpoint,5.269372232415492,True,False,False,4.913544947282519
44,NBV,6.973957996096568,True,False,False,7.273333150105349
45,random_safe,5.639769438914892,True,False,False,5.758866108257127
45,perpendicular_midpoint,6.038125865818047,True,False,False,5.8859679198464745
45,NBV,22.190077642842436,False,False,False,22.31938012564967
46,random_safe,6.519503545904415,True,False,False,6.941422825728259
46,perpendicular_midpoint,39.960111246654435,False,False,False,39.95367021556839
46,NBV,6.519503545904415,True,False,False,6.941422825728259
47,random_safe,53.22605173635346,False,False,False,53.37891485569082
47,perpendicular_midpoint,7.279676499239665,True,True,True,7.270545261008726
47,NBV,7.587883522679685,True,True,True,7.597569436243484
48,random_safe,42.03971459641415,False,False,False,48.212591951703786
48,perpendicular_midpoint,35.81448394299512,False,False,False,29.119112522246294
48,NBV,19.984116280043736,True,False,False,16.125053948378564
49,random_safe,13.452972775214944,True,False,False,13.405670481833095
49,perpendicular_midpoint,6.788174467915921,True,False,False,6.43491244482572
49,NBV,12.663859355505519,True,False,False,12.540703015492708
50,random_safe,5.0002436609839656,True,False,False,3.6047711639775426
50,perpendicular_midpoint,4.001093261852766,True,False,False,2.88206576337212
50,NBV,1.7395084134691474,True,True,True,1.5317906307637275
51,random_safe,8.521852609016038,True,True,True,8.57187900473216
51,perpendicular_midpoint,7.957440801068363,True,True,True,7.795177678934499
51,NBV,8.521852609016038,True,True,True,8.57187900473216
52,random_safe,7.789684975446873,True,False,False,8.590249191725015
52,perpendicular_midpoint,10.369492188657409,True,False,False,12.402287223473877
52,NBV,7.789684975446873,True,False,False,8.590249191725015
53,random_safe,1.7304318279592787,True,True,True,1.5663578265422682
53,perpendicular_midpoint,13.552798563006027,True,False,False,13.687537893353872
53,NBV,23.356951376180817,False,False,False,23.456125634317953
54,random_safe,34.855140782789164,False,False,False,36.62437084382435
54,perpendicular_midpoint,36.010101078998915,False,False,False,38.91418385669668
54,NBV,34.855140782789164,False,False,False,36.62437084382435
55,random_safe,23.85050743828275,False,False,False,26.160589150297483
55,perpendicular_midpoint,14.198462378085555,True,False,False,16.156580889910437
55,NBV,14.78583107025088,True,False,False,13.869501859610534
56,random_safe,1.9802133156803767,True,True,True,2.244487101349384
56,perpendicular_midpoint,3.464650777372831,True,True,True,3.1990814206296543
56,NBV,1.9312077307557636,True,True,True,2.2298582522066015
57,random_safe,101.5822755536001,False,False,False,24.151725832152678
57,perpendicular_midpoint,40.06150394889305,False,False,False,27.4125609993349
57,NBV,35.745733666255866,False,False,False,30.944005409641154
58,random_safe,17.03549852616875,True,False,False,16.812254224324832
58,perpendicular_midpoint,14.97804093696885,True,False,False,14.774641235924582
58,NBV,17.887774510948468,True,False,False,18.07816830199111
59,random_safe,8.875106348838402,True,False,False,9.068709415758859
59,perpendicular_midpoint,15.879937100768922,True,False,False,15.915168515167723
59,NBV,5.738255042104997,True,False,False,5.34395981043531
60,random_safe,132.90493369679686,False,False,False,120.84738113504669
60,perpendicular_midpoint,3.146330197949226,True,False,False,3.3232493499718303
60,NBV,2.519221979811028,True,False,False,2.415625466469577
61,random_safe,17.830348069430187,True,True,True,18.13385577943916
61,perpendicular_midpoint,29.08639394411139,False,False,False,27.857051098291603
61,NBV,16.67470974145858,True,True,True,16.458318962618314
62,random_safe,31.40898860187732,False,False,False,23.436946059767415
62,perpendicular_midpoint,31.61719985965345,False,False,False,28.134364444792862
62,NBV,28.137294298696162,False,False,False,26.665687867522323
63,random_safe,5.269358235615276,True,False,False,6.729491009217221
63,perpendicular_midpoint,17.311012283429,True,False,False,13.632722193698491
63,NBV,5.269358235615276,True,False,False,6.729491009217221
64,random_safe,2.386248661621032,True,True,True,1.9706968577127262
64,perpendicular_midpoint,3.055531521086247,True,True,True,2.809242342385891
64,NBV,1.1068063998647775,True,True,True,0.8125154200491818
65,random_safe,8.085675152956906,True,True,True,7.8428097846721245
65,perpendicular_midpoint,12.54503241425912,True,True,True,12.494213604714794
65,NBV,8.06397884458735,True,False,False,8.500996105468838
66,random_safe,15.797658060296508,True,False,False,18.15880483244582
66,perpendicular_midpoint,64.61594990257396,False,False,False,20.90566393840244
66,NBV,25.89184883548484,False,False,False,19.77054724680414
67,random_safe,5.98841331422714,True,False,False,5.860041531588104
67,perpendicular_midpoint,2.6408596662133443,True,True,True,2.6516889631572957
67,NBV,3.5910719961037985,True,False,False,3.719098211119775
68,random_safe,18.057604104615596,True,False,False,18.016462178137363
68,perpendicular_midpoint,9.512701510693093,True,False,False,9.722676034676962
68,NBV,27.548684864136018,False,False,False,27.539595578830745
69,random_safe,40.966351819098115,False,False,False,32.38044875726678
69,perpendicular_midpoint,56.291213865595076,False,False,False,46.95678768509
69,NBV,37.18779970223964,False,False,False,32.01085929061974
70,random_safe,6.638669506268657,True,False,False,11.698306202598532
70,perpendicular_midpoint,37.546933742756266,False,False,False,30.581472178670968
70,NBV,22.66388424575766,False,False,False,26.669215478934778
71,random_safe,6.073027265924698,True,True,True,6.159337625722054
71,perpendicular_midpoint,15.238184018008864,True,False,False,15.245284918619163
71,NBV,6.490642941663315,True,False,False,6.999374916144055
72,random_safe,21.081706370780225,False,False,False,28.147090269648654
72,perpendicular_midpoint,3.673601724917386,True,False,False,6.418196012106757
72,NBV,3.5262582091747996,True,False,False,2.1613179424833833
73,random_safe,3.9842269715822383,True,False,False,4.211941659137065
73,perpendicular_midpoint,3.9767826638896717,True,False,False,3.7771730011937374
73,NBV,3.9842269715822383,True,False,False,4.211941659137065
74,random_safe,30.38085639795216,False,False,False,28.519924533880207
74,perpendicular_midpoint,31.419023470562113,False,False,False,34.755528677378706
74,NBV,26.10624675521157,False,False,False,27.297856291865756
75,random_safe,5.7493205382938735,True,True,True,5.776102919183937
75,perpendicular_midpoint,5.099639289692184,True,False,False,5.42171006013215
75,NBV,9.160509711653658,True,False,False,9.004085579628272
76,random_safe,21.33336309282405,False,False,False,49.934817220864744
76,perpendicular_midpoint,4.4941460854252595,True,True,True,4.884869175234806
76,NBV,4.064400456235632,True,True,True,3.9160296976899813
77,random_safe,5.876901939226393,True,False,False,35.852040337592726
77,perpendicular_midpoint,7.3266224534965305,True,False,False,6.338266037488618
77,NBV,5.888941473296778,True,True,True,5.891164229404748
78,random_safe,5.3243484587500935,True,False,False,11.58445959039473
78,perpendicular_midpoint,12.785992696981689,True,False,False,4.105468017967556
78,NBV,6.207558845245462,True,False,False,0.8681940412367228
79,random_safe,9.179209250365407,True,True,True,9.13540699465125
79,perpendicular_midpoint,10.247534998001646,True,True,True,10.074111428995607
79,NBV,19.06012492925926,True,False,False,19.044072884055165
80,random_safe,229.3382066291096,False,False,False,163.19436803612572
80,perpendicular_midpoint,8.337763007450832,True,False,False,7.102495539791733
80,NBV,6.770312679828587,True,True,True,7.164671372870594
81,random_safe,21.977137144903192,False,False,False,14.425226443917735
81,perpendicular_midpoint,30.454307789053647,False,False,False,35.28617685206515
81,NBV,15.14770044098478,True,False,False,16.754765401738457
82,random_safe,6.357929356047064,True,False,False,6.390985133835105
82,perpendicular_midpoint,11.826997267187844,True,False,False,11.767266449944797
82,NBV,6.357929356047064,True,False,False,6.390985133835105
83,random_safe,148.0803605674723,False,False,False,110.25895727718768
83,perpendicular_midpoint,81.13763401277218,False,False,False,92.37761349329101
83,NBV,41.74323963980956,False,False,False,47.32565915824162
84,random_safe,12.660534264816464,True,True,True,13.0197957181389
84,perpendicular_midpoint,10.68023250456092,True,True,True,10.472958560959809
84,NBV,10.527820277896309,True,True,True,10.659960507131995
85,random_safe,22.25212168768918,False,False,False,22.28333109127347
85,perpendicular_midpoint,18.72574527834976,True,False,False,18.716875678192288
85,NBV,6.743780928318409,True,False,False,6.837428177973709
86,random_safe,2.06065076413317,True,True,True,1.8650431519085169
86,perpendicular_midpoint,9.75617068830406,True,False,False,9.655092676294442
86,NBV,3.4003048628632673,True,False,False,3.3743802794399302
87,random_safe,16.40339190884184,True,False,False,16.466487313886525
