time_s,radius_m,mean_dry_basis_C,conditional_dry_mass_ratio,material_water_budget_relative
1.645200000000000000e+05,1.200000000000000025e-02,1.260283754223662234e-01,8.851231850358689535e-01,1.560849649802381232e-04
1.645800000000000000e+05,1.200000000000000025e-02,1.260014371368223807e-01,8.851413278213465796e-01,1.560850029200854590e-04
1.646400000000000000e+05,1.200000000000000025e-02,1.259745214604100216e-01,8.851594563353505363e-01,1.560850408097768434e-04
1.647000000000000000e+05,1.200000000000000025e-02,1.259476283634233806e-01,8.851775705955465812e-01,1.560850786493122764e-04
1.647600000000000000e+05,1.200000000000000025e-02,1.259207578162087060e-01,8.851956706195713842e-01,1.560851164386917308e-04
1.648200000000000000e+05,1.200000000000000025e-02,1.258939097891644543e-01,8.852137564250330826e-01,1.560851541780894109e-04
1.648800000000000000e+05,1.200000000000000025e-02,1.258670842527412903e-01,8.852318280295091713e-01,1.560851918675052624e-04
1.649400000000000000e+05,1.200000000000000025e-02,1.258402811774414487e-01,8.852498854505495007e-01,1.560852295071134624e-04
1.650000000000000000e+05,1.200000000000000025e-02,1.258135005338193446e-01,8.852679287056743895e-01,1.560852670967398609e-04
1.650600000000000000e+05,1.200000000000000025e-02,1.257867422924809353e-01,8.852859578123745132e-01,1.560853046369069079e-04
1.651200000000000000e+05,1.200000000000000025e-02,1.257600064240836923e-01,8.853039727881125698e-01,1.560853421274404804e-04
1.651800000000000000e+05,1.200000000000000025e-02,1.257332928993366017e-01,8.853219736503218362e-01,1.560853795685146744e-04
1.652400000000000000e+05,1.200000000000000025e-02,1.257066016890000804e-01,8.853399604164067238e-01,1.560854169601295438e-04
1.653000000000000000e+05,1.200000000000000025e-02,1.256799327638855879e-01,8.853579331037435551e-01,1.560854543024592117e-04
1.653600000000000000e+05,1.200000000000000025e-02,1.256532860948559316e-01,8.853758917296786768e-01,1.560854915955036781e-04
1.654200000000000000e+05,1.200000000000000025e-02,1.256266616528247670e-01,8.853938363115312349e-01,1.560855288392629429e-04
1.654800000000000000e+05,1.200000000000000025e-02,1.256000594087568201e-01,8.854117668665911767e-01,1.560855660342594831e-04
1.655400000000000000e+05,1.200000000000000025e-02,1.255734793336674981e-01,8.854296834121195836e-01,1.560856031801449717e-04
1.656000000000000000e+05,1.200000000000000025e-02,1.255469213986228905e-01,8.854475859653492265e-01,1.560856402770935858e-04
1.656600000000000000e+05,1.200000000000000025e-02,1.255203855747398234e-01,8.854654745434851204e-01,1.560856773252794483e-04
1.657200000000000000e+05,1.200000000000000025e-02,1.254938718331853609e-01,8.854833491637034149e-01,1.560857143247025862e-04
1.657800000000000000e+05,1.200000000000000025e-02,1.254673801451771098e-01,8.855012098431515044e-01,1.560857512755371495e-04
1.658400000000000000e+05,1.200000000000000025e-02,1.254409104819827203e-01,8.855190565989494722e-01,1.560857881779572612e-04
1.659000000000000000e+05,1.200000000000000025e-02,1.254144628149203022e-01,8.855368894481886466e-01,1.560858250317887982e-04
1.659600000000000000e+05,1.200000000000000025e-02,1.253880371153575923e-01,8.855547084079323783e-01,1.560858618372058836e-04
1.660200000000000000e+05,1.200000000000000025e-02,1.253616333547126482e-01,8.855725134952160404e-01,1.560858985943827215e-04
1.660800000000000000e+05,1.200000000000000025e-02,1.253352515044530713e-01,8.855903047270471395e-01,1.560859353033192576e-04
1.661400000000000000e+05,1.200000000000000025e-02,1.253088915360962563e-01,8.856080821204049824e-01,1.560859719640155191e-04
1.662000000000000000e+05,1.200000000000000025e-02,1.252825534212091974e-01,8.856258456922403433e-01,1.560860085768198059e-04
1.662600000000000000e+05,1.200000000000000025e-02,1.252562371314083767e-01,8.856435954594780169e-01,1.560860451417321452e-04
1.663200000000000000e+05,1.200000000000000025e-02,1.252299426383597925e-01,8.856613314390130443e-01,1.560860816587524827e-04
1.663800000000000000e+05,1.200000000000000025e-02,1.252036699137784870e-01,8.856790536477138209e-01,1.560861181280549955e-04
1.664400000000000000e+05,1.200000000000000025e-02,1.251774189294287409e-01,8.856967621024208759e-01,1.560861545494655607e-04
