time_s,radius_m,mean_dry_basis_C,conditional_dry_mass_ratio,material_water_budget_relative
7.200000000000000000e+03,1.625000000000000056e-02,1.897320932748499889e+00,7.819467044463646044e-01,1.594809256859532488e-04
7.260000000000000000e+03,1.623387406873347955e-02,1.892742635933092776e+00,7.813651410766387917e-01,1.595150418467429151e-04
7.320000000000000000e+03,1.621831800048065611e-02,1.888174950655618911e+00,7.808363323061883188e-01,1.594960912746074119e-04
7.380000000000000000e+03,1.620330122566690859e-02,1.883619531153375437e+00,7.803572925050334952e-01,1.595807713484101258e-04
7.440000000000000000e+03,1.618879317471761878e-02,1.879075773513611436e+00,7.799248491096315572e-01,1.595722531786240308e-04
7.500000000000000000e+03,1.617476327805816155e-02,1.874543945532344047e+00,7.795362846864876127e-01,1.596579343131860696e-04
7.560000000000000000e+03,1.616118096611391872e-02,1.870023713227920048e+00,7.791881342156928847e-01,1.596794005174250527e-04
7.620000000000000000e+03,1.614801566931026514e-02,1.865514445023686463e+00,7.788783670721639574e-01,1.596847042398100744e-04
7.680000000000000000e+03,1.613523681807257915e-02,1.861017685879030381e+00,7.786036232310679095e-01,1.597367726528770666e-04
7.740000000000000000e+03,1.612281384282624602e-02,1.856533547649736882e+00,7.783606208921658443e-01,1.598209230397100932e-04
7.800000000000000000e+03,1.611071617399664063e-02,1.852060058934702269e+00,7.781468471071080195e-01,1.597934837209191207e-04
7.860000000000000000e+03,1.609891324200913090e-02,1.847598150265373551e+00,7.779593795664889733e-01,1.598994726436120146e-04
7.920000000000000000e+03,1.608737447728911252e-02,1.843147531976993658e+00,7.777944848787905485e-01,1.599014492084497338e-04
7.980000000000000000e+03,1.607606931026195687e-02,1.838708447995966999e+00,7.776502645611214071e-01,1.599170778448304154e-04
8.040000000000000000e+03,1.606496717135304231e-02,1.834281444237691572e+00,7.775236689884736929e-01,1.599748454797761529e-04
8.100000000000000000e+03,1.605403749098774369e-02,1.829867704462179390e+00,7.774110292236851016e-01,1.599901011367317388e-04
8.160000000000000000e+03,1.604324969959144281e-02,1.825466797601731805e+00,7.773099794050981615e-01,1.600982524623175286e-04
8.220000000000000000e+03,1.603257322758952150e-02,1.821076635894708806e+00,7.772171635590023886e-01,1.600857675979333724e-04
8.280000000000000000e+03,1.602197750540735460e-02,1.816698908951478675e+00,7.771297964676816550e-01,1.601606700616854835e-04
8.340000000000000000e+03,1.601143196347032047e-02,1.812333277405569376e+00,7.770450028485578198e-01,1.601352686395868643e-04
8.400000000000000000e+03,1.600090603220380089e-02,1.807980660513892834e+00,7.769602080151529755e-01,1.602276232615760664e-04
8.460000000000000000e+03,1.599036914203316381e-02,1.803640475646752117e+00,7.768717668305022972e-01,1.602774201128372969e-04
8.520000000000000000e+03,1.597979072338380144e-02,1.799311443878252703e+00,7.767770798534009424e-01,1.603408735023517217e-04
8.580000000000000000e+03,1.596914020668108516e-02,1.794993246429551270e+00,7.766729279835933308e-01,1.603340104967630590e-04
8.640000000000000000e+03,1.595838702235040027e-02,1.790687688451058523e+00,7.765563502375720795e-01,1.603880564751746310e-04
8.700000000000000000e+03,1.594750060081711468e-02,1.786394569431738688e+00,7.764246211778274009e-01,1.604066438491240083e-04
8.760000000000000000e+03,1.593645037250661367e-02,1.782113620753815075e+00,7.762748974763139520e-01,1.604642722808238646e-04
8.820000000000000000e+03,1.592520576784427211e-02,1.777843699267238620e+00,7.761042636473874934e-01,1.604991115627407716e-04
8.880000000000000000e+03,1.591373621725546833e-02,1.773585314587281303e+00,7.759091153967134780e-01,1.605565392751301520e-04
8.940000000000000000e+03,1.590201115116558761e-02,1.769339217584650070e+00,7.756865843121468762e-01,1.605594046976699396e-04
9.000000000000000000e+03,1.589000000000000135e-02,1.765104701331201120e+00,7.754339519198568675e-01,1.606663034914955078e-04
