time_s,radius_m,mean_dry_basis_C,conditional_dry_mass_ratio,material_water_budget_relative
6.294000000000000000e+04,2.000000000000000042e-02,6.087249779446811671e-01,1.847927542348334118e+00,1.559007441061271602e-04
6.300000000000000000e+04,2.000000000000000042e-02,6.081627854480560202e-01,1.848415236270223083e+00,1.559022523199859761e-04
6.306000000000000000e+04,2.000000000000000042e-02,6.076014821589372783e-01,1.848902497117370647e+00,1.559037577368664585e-04
6.312000000000000000e+04,2.000000000000000042e-02,6.070410664309975335e-01,1.849389325116055360e+00,1.559052603622543992e-04
6.318000000000000000e+04,2.000000000000000042e-02,6.064815366210909442e-01,1.849875720493169062e+00,1.559067602017227057e-04
6.324000000000000000e+04,2.000000000000000042e-02,6.059228910892453523e-01,1.850361683476216434e+00,1.559082572604959588e-04
6.330000000000000000e+04,2.000000000000000042e-02,6.053651281986575095e-01,1.850847214293311227e+00,1.559097515439728616e-04
6.336000000000000000e+04,2.000000000000000042e-02,6.048082463156856381e-01,1.851332313173170485e+00,1.559112430577263219e-04
6.342000000000000000e+04,2.000000000000000042e-02,6.042522438098425486e-01,1.851816980345120767e+00,1.559127318066326202e-04
6.348000000000000000e+04,2.000000000000000042e-02,6.036971190537913090e-01,1.852301216039091258e+00,1.559142177963516985e-04
6.354000000000000000e+04,2.000000000000000042e-02,6.031428704233368077e-01,1.852785020485610445e+00,1.559157010324564371e-04
6.360000000000000000e+04,2.000000000000000042e-02,6.025894962974193136e-01,1.853268393915809220e+00,1.559171815198231168e-04
6.366000000000000000e+04,2.000000000000000042e-02,6.020369950581092588e-01,1.853751336561414664e+00,1.559186592640246451e-04
6.372000000000000000e+04,2.000000000000000042e-02,6.014853650906007987e-01,1.854233848654749828e+00,1.559201342703726368e-04
6.378000000000000000e+04,2.000000000000000042e-02,6.009346047832042625e-01,1.854715930428733506e+00,1.559216065441787610e-04
6.384000000000000000e+04,2.000000000000000042e-02,6.003847125273408247e-01,1.855197582116872912e+00,1.559230760905805369e-04
6.390000000000000000e+04,2.000000000000000042e-02,5.998356867175360652e-01,1.855678803953269229e+00,1.559245429149766948e-04
6.396000000000000000e+04,2.000000000000000042e-02,5.992875257514139742e-01,1.856159596172608284e+00,1.559260070225047270e-04
6.402000000000000000e+04,2.000000000000000042e-02,5.987402280296898471e-01,1.856639959010165208e+00,1.559274684186504252e-04
6.408000000000000000e+04,2.000000000000000042e-02,5.981937919561646222e-01,1.857119892701797115e+00,1.559289271083771856e-04
6.414000000000000000e+04,2.000000000000000042e-02,5.976482159377189962e-01,1.857599397483943982e+00,1.559303830970836847e-04
6.420000000000000000e+04,2.000000000000000042e-02,5.971034983843063193e-01,1.858078473593626212e+00,1.559318363899945300e-04
6.426000000000000000e+04,2.000000000000000042e-02,5.965596377089470437e-01,1.858557121268442636e+00,1.559332869921601522e-04
6.432000000000000000e+04,2.000000000000000042e-02,5.960166323277222844e-01,1.859035340746567844e+00,1.559347349088051316e-04
6.438000000000000000e+04,2.000000000000000042e-02,5.954744806597688234e-01,1.859513132266751079e+00,1.559361801453281718e-04
6.444000000000000000e+04,2.000000000000000042e-02,5.949331811272706716e-01,1.859990496068313126e+00,1.559376227067797304e-04
6.450000000000000000e+04,2.000000000000000042e-02,5.943927321554550725e-01,1.860467432391146536e+00,1.559390625982972993e-04
6.456000000000000000e+04,2.000000000000000042e-02,5.938531321725850631e-01,1.860943941475710739e+00,1.559404998251054321e-04
6.462000000000000000e+04,2.000000000000000042e-02,5.933143796099542566e-01,1.861420023563031823e+00,1.559419343920804635e-04
6.468000000000000000e+04,2.000000000000000042e-02,5.927764729018814016e-01,1.861895678894699868e+00,1.559433663047952198e-04
6.474000000000000000e+04,2.000000000000000042e-02,5.922394104857016117e-01,1.862370907712867396e+00,1.559447955680389201e-04
6.480000000000000000e+04,2.000000000000000042e-02,5.917031908017635899e-01,1.862845710260246701e+00,1.559462221870361450e-04
6.486000000000000000e+04,2.000000000000000042e-02,5.911678122934217461e-01,1.863320086780108298e+00,1.559476461668373251e-04
6.492000000000000000e+04,2.000000000000000042e-02,5.906332734070309787e-01,1.863794037516278257e+00,1.559490675124928908e-04
6.498000000000000000e+04,2.000000000000000042e-02,5.900995725919404578e-01,1.864267562713137982e+00,1.559504862293144571e-04
