time_s,radius_m,mean_dry_basis_C,conditional_dry_mass_ratio,material_water_budget_relative
1.015200000000000000e+05,1.201999999999999943e-02,1.773668267480404404e-01,8.550546581888582853e-01,1.559940938099546343e-04
1.015800000000000000e+05,1.201999999999999943e-02,1.772777107480319470e-01,8.551092135062717814e-01,1.559943347267836011e-04
1.016400000000000000e+05,1.201999999999999943e-02,1.771887353997452785e-01,8.551636918747834715e-01,1.559945750704762487e-04
1.017000000000000000e+05,1.201999999999999943e-02,1.770999003730359123e-01,8.552180934554335368e-01,1.559948148429482809e-04
1.017600000000000000e+05,1.201999999999999943e-02,1.770112053387563611e-01,8.552724184088346115e-01,1.559950540461153747e-04
1.018200000000000000e+05,1.201999999999999943e-02,1.769226499687528431e-01,8.553266668951735596e-01,1.559952926813707027e-04
1.018800000000000000e+05,1.201999999999999943e-02,1.768342339358617843e-01,8.553808390742120293e-01,1.559955307506299960e-04
1.019400000000000000e+05,1.201999999999999943e-02,1.767459569139059883e-01,8.554349351052887851e-01,1.559957682556347813e-04
1.020000000000000000e+05,1.201999999999999943e-02,1.766578185776922216e-01,8.554889551473205955e-01,1.559960051981265584e-04
1.020600000000000000e+05,1.201999999999999943e-02,1.765698186030069117e-01,8.555428993588023445e-01,1.559962415794985272e-04
1.021200000000000000e+05,1.201999999999999943e-02,1.764819566666132877e-01,8.555967678978092517e-01,1.559964774018405957e-04
1.021800000000000000e+05,1.201999999999999943e-02,1.763942324462477174e-01,8.556505609219978714e-01,1.559967126667200594e-04
1.022400000000000000e+05,1.201999999999999943e-02,1.763066456206164589e-01,8.557042785886074254e-01,1.559969473757043224e-04
1.023000000000000000e+05,1.201999999999999943e-02,1.762191958693922755e-01,8.557579210544603576e-01,1.559971815307090886e-04
1.023600000000000000e+05,1.201999999999999943e-02,1.761318828732111319e-01,8.558114884759639995e-01,1.559974151333017077e-04
1.024200000000000000e+05,1.201999999999999943e-02,1.760447063136686696e-01,8.558649810091125687e-01,1.559976481850495296e-04
1.024800000000000000e+05,1.201999999999999943e-02,1.759576658733169041e-01,8.559183988094860585e-01,1.559978806878682580e-04
1.025400000000000000e+05,1.201999999999999943e-02,1.758707612356610606e-01,8.559717420322543457e-01,1.559981126431511471e-04
1.026000000000000000e+05,1.201999999999999943e-02,1.757839920851559934e-01,8.560250108321756368e-01,1.559983440526396695e-04
1.026600000000000000e+05,1.201999999999999943e-02,1.756973581072031054e-01,8.560782053636001310e-01,1.559985749180753519e-04
1.027200000000000000e+05,1.201999999999999943e-02,1.756108589881466286e-01,8.561313257804692434e-01,1.559988052410256256e-04
1.027800000000000000e+05,1.201999999999999943e-02,1.755244944152708764e-01,8.561843722363182696e-01,1.559990350230577860e-04
1.028400000000000000e+05,1.201999999999999943e-02,1.754382640767964130e-01,8.562373448842769408e-01,1.559992642662617413e-04
1.029000000000000000e+05,1.201999999999999943e-02,1.753521676618770564e-01,8.562902438770690905e-01,1.559994929716823641e-04
1.029600000000000000e+05,1.201999999999999943e-02,1.752662048605965750e-01,8.563430693670182059e-01,1.559997211412353314e-04
1.030200000000000000e+05,1.201999999999999943e-02,1.751803753639651351e-01,8.563958215060434309e-01,1.559999487763138700e-04
1.030800000000000000e+05,1.201999999999999943e-02,1.750946788639164420e-01,8.564485004456644512e-01,1.560001758788336567e-04
1.031400000000000000e+05,1.201999999999999943e-02,1.750091150533041873e-01,8.565011063370003841e-01,1.560004024501879184e-04
1.032000000000000000e+05,1.201999999999999943e-02,1.749236836258989680e-01,8.565536393307733309e-01,1.560006284922923591e-04
1.032600000000000000e+05,1.201999999999999943e-02,1.748383842763848728e-01,8.566060995773071562e-01,1.560008540061918515e-04
1.033200000000000000e+05,1.201999999999999943e-02,1.747532167003565395e-01,8.566584872265301520e-01,1.560010789939762495e-04
1.033800000000000000e+05,1.201999999999999943e-02,1.746681805943156585e-01,8.567108024279752598e-01,1.560013034568646028e-04
