seed,total,C_s_per_source,R12_s_per_source,delta_s_per_source,delta_distance_m
179,10,934.1319401000001,685.4266729,-248.7052672000001,-6280.263347858661
180,10,909.2902064,785.6936686,-123.59653779999996,-2944.8268760937353
181,13,704.2224858461539,547.2062735384615,-157.0162123076924,-6946.053784570355
182,13,679.5546323076924,493.94005069230764,-185.61458161538474,-9004.94780535093
183,13,730.7819565384616,526.7990781538462,-203.98287838461545,-9278.887050478988
184,10,985.0035025,782.3875586,-202.61594389999993,-6825.7971647673
185,15,593.1519840666666,502.7291428,-90.42284126666664,-4766.7131004003495
186,14,660.7702579999999,508.7174140714286,-152.0528439285713,-6688.699051589192
187,14,622.8395495000001,482.7091782142857,-140.13037128571438,-6534.125964515792
188,10,942.8331625000001,705.1405784,-237.6925841000001,-7889.629186487942
189,10,939.2011203,789.5666117,-149.6345086,-3966.7254188088664
190,12,823.63695925,591.317764,-232.31919525,-10319.151685943492
191,16,599.17696925,503.831059125,-95.34591012499993,-4517.6728123353605
192,12,787.3021516666666,574.0341251666667,-213.2680264999999,-8811.081569359168
193,14,671.9798979999999,549.0843135714287,-122.89558442857128,-5752.690874936186
194,16,432.8646859375,446.4610791875,13.596393250000006,2657.7114681231833
195,15,584.0776842666667,468.66291566666666,-115.4147686,-5726.107613620326
196,15,575.2428504666666,445.0007424666667,-130.24210799999992,-6328.158064112293
197,12,837.4093190833333,600.2902635833333,-237.11905550000006,-9917.143344406799
198,11,880.202649909091,669.6278874545454,-210.57476245454552,-7336.611923710043
199,13,679.4940391538462,528.1356135384615,-151.3584256153847,-6908.2976564532
200,12,800.0811349166667,563.3881703333333,-236.69296458333338,-10421.577864992607
201,16,331.2419598125,369.792439625,38.55047981249999,2804.0383969239374
202,10,873.7340891,680.6261153,-193.10797379999997,-6075.398672852782
203,16,420.770472875,471.3909038125,50.62043093750003,4474.634490407036
204,14,669.0112972142857,589.1405479285714,-79.87074928571428,-2500.952425528354
205,11,785.8810553636363,622.1597656363637,-163.72128972727262,-5884.670940958138
206,13,677.979178,507.0782632307692,-170.90091476923084,-8818.559432804781
207,12,767.5290572499999,588.8292436666667,-178.69981358333325,-7501.988804136228
208,12,731.5147828333334,595.8005890833333,-135.71419375000005,-4597.851604238025
209,14,655.1396795714285,484.3181932142857,-170.82148635714276,-9217.504028644791
210,15,623.6506016666666,494.58232506666667,-129.06827659999993,-6355.120719470593
211,11,835.71758,610.4927427272728,-225.2248372727272,-8062.366056235856
212,14,676.6913952857143,461.7852705,-214.90612478571427,-10688.428710674194
213,10,912.4128721,692.0954864,-220.31738569999993,-8170.86927648414
214,13,682.4357075384615,550.1016173076923,-132.33409023076922,-7891.715852136855
215,16,329.86042625,217.396742625,-112.46368362499999,-5402.0946893066775
216,16,539.3636223125,367.8066705625,-171.55695174999994,-10799.556153033776
217,16,425.2807025,265.063508,-160.2171945,-9122.375544506811
218,16,491.4510435,407.1288431875,-84.3222003125,-2540.7759772424506
219,15,576.0177723333333,438.7748112666667,-137.24296106666657,-7688.222053659592
220,10,976.7262112000001,724.1901783999999,-252.53603280000016,-9081.801647218195
221,12,773.78445675,578.9133155000001,-194.87114124999994,-6182.268469733288
222,10,925.4844633,765.6998436,-159.7846197,-4459.2309797286725
223,11,813.5762468181819,577.1054104545454,-236.4708363636364,-9365.895971569877
224,15,600.1067996666667,492.3696978666667,-107.7371018,-5040.282623413936
225,12,765.77814175,593.7177194166667,-172.06042233333335,-6023.625342050502
226,12,829.4327425,619.92044975,-209.51229275000003,-7760.737556533899
227,10,922.8878333,821.2203224000001,-101.66751089999991,-2308.3755328869083
228,12,779.5114247500001,627.10915825,-152.4022665000001,-4789.135990526032
